vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
274,Sesal,øjendråber,"0,25 mg/ml + 5 mg/ml",10 ml (bott.pk),28100843083,,,10,S01GA51
277,"Tylosin ""Scanvet"" Vet.","injektionsvæske, opløsning",200 mg/ml,12 x 100 ml,28101597794,200,MGM,1200,QJ01FA90
279,"Resorcinol ""Ophtha""",øjendråber,1%,10 ml (bott.pk.),28100746876,1,PC,10,S01AX06
283,Serenase Dekanoat,"injektionsvæske, opløsning",100 mg/ml,5 amp. x 1 ml,28103121699,100,MGM,5,N05AD01
288,"Antitrombin III ""Baxter""","pulver og solvens til injektions- og infusionsvæske, opløsning",,1000 IE,28101258786,,,1000,B01AB02
290,Puregon,"injektionsvæske, opløsning",300 IE,"1 stk.(0,36 ml)",28103060799,300,IU,1,G03GA06
291,Stellamune Mycoplasma Vet.,"injektionsvæske, emulsion",6000 RU/dosis,4 x 250 ml,28101500492,6000,UDO,1000,QI09AB13
299,Primcillin,"granulat til oral suspension, enkeltdosisbeholder",250 mg,18 stk.,28100902576,250,MG,18,J01CE02
302,Stellamune Mycoplasma Vet.,"injektionsvæske, emulsion",6000 RU/dosis,1/4 af: 4 x 250 ml,28101500492,6000,UDO,250,QI09AB13
307,Primcillin,"granulat til orale dråber, opløsning",250 mg/ml,Fl. a 20 ml,28100926377,250,MGM,20,J01CE02
315,"Natriumklorid 9 mg/ml ""Fresenius Kabi""","infusionsvæske, opløsning",9 mg/ml,30 x 100 ml (excel),28101404390,9,MGM,3000,B05BB01
316,Puregon,"injektionsvæske, opløsning",600 IE,"1 stk.(0,72 ml)",28103235701,600,IU,1,G03GA06
323,Berodual,inhalationsaerosol,,300 doser,28101329188,,,300,R03AK03
328,Pulmicort Turbuhaler,inhalationspulver,200 mikg/dosis,100 doser,28103090099,200,RGD,100,R03BA02
331,Theo-dur,depottabletter,300 mg,30 stk.,28101004578,300,MG,30,R03DA04
339,Pulmicort Turbuhaler,inhalationspulver,200 mikg/dosis,200 doser (2x100),28103090099,200,RGD,200,R03BA02
344,Pulmicort Turbuhaler,inhalationspulver,400 mikg/dosis,200 doser (2 x 100),28103090199,400,RGD,200,R03BA02
350,Bisiprol,tabletter,5 mg,100 stk. (blister),28103108199,5,MG,100,C07AB07
361,Bisiprol,tabletter,10 mg,30 stk. (blister),28103108299,10,MG,30,C07AB07
373,Maxalt Smelt,smeltetabletter,10 mg,6 stk. (blister),28103008298,10,MG,6,N02CC04
374,Bisiprol,tabletter,10 mg,100 stk. (blister),28103108299,10,MG,100,C07AB07
384,Mevacor,tabletter,20 mg,56 stk. (blister),28103044098,20,MG,56,C10AA02
395,Mevacor,tabletter,20 mg,84 stk. (blister),28103044098,20,MG,84,C10AA02
398,Banminth Vet.,oral pasta,439 mg/g (hest),10 sprøjter a 20 ml,28100699876,439,MGG,200,QP52AF02
417,Mevacor,tabletter,40 mg,56 stk. (blister),28103044198,40,MG,56,C10AA02
418,Seroquel,filmovertrukne tabletter,25 mg,60 stk. (blister),28103233401,25,MG,60,N05AH04
421,"Atacand Zid 16 mg/12,5 mg",tabletter,"16 + 12,5 mg",28 stk. (blister),28103169100,,,28,C09DA06
426,Gemzar,"pulver til infusionsvæske, opløsning",1 g,1 htgl.,28103122099,1,G,1,L01BC05
428,Mevacor,tabletter,40 mg,84 stk. (blister),28103044198,40,MG,84,C10AA02
429,Cefagold Vet.,intramammær suspension,300 mg,1/20 af: 20 x 10 ml,28101933497,300,MG,10,QJ51DB08
430,Banminth Vet.,oral pasta,439 mg/g (hest),2 sprøjter a 20 ml,28100699876,439,MGG,40,QP52AF02
443,Tenormin,filmovertrukne tabletter,25 mg,30 stk. (blister),28101337988,25,MG,30,C07AB03
448,Elocon,kutanopløsning,"0,1%",100 ml,28101401390,0.1,PC,100,D07AC13
462,"Laktulose ""Danipharm""",oral opløsning,667 mg/ml,500 ml,28103103299,667,MGM,500,A06AD11
463,"Cephalothin ""GLAXO""",injektionssubstans,4 G,5 htgl.,28100692376,4,G,5,J01DB03
467,Tenoretic,filmovertrukne tabletter,100+25 mg,30 stk. (blister),28101027479,,,30,C07CB03
469,Tenoretic Mite,filmovertrukne tabletter,"50+12,5 mg",30 stk. (blister),28101195584,,,30,C07CB03
471,Rohypnol,tabletter,2 mg,10 stk.,28100654274,2,MG,10,N05CD03
475,Allergodil,"øjendråber, opløsning","0,05%",6 ml,28103020598,0.05,PC,6,S01GX07
478,Atridox,"pulver og solvens til tandkødsgel, fyldt injektionssprøjte",44 mg,1 stk. (a+b),28103201900,44,MG,1,A01AB22
484,Denagard Vet.,"injektionsvæske, opløsning",200 mg/ml,100 ml,28101177084,200,MGM,100,QJ01XQ01
490,"Laktulose ""Danipharm""",oral opløsning,667 mg/ml,1000 ml,28103103299,667,MGM,1000,A06AD11
493,Act-hib,"pulver og solvens til injektionsvæske, opløsning",,1 dosis + 1 solvens,28101457491,,,1,J07AG01
496,Seroquel,filmovertrukne tabletter,100 mg,60 stk. (blister),28103233501,100,MG,60,N05AH04
507,Seroquel,filmovertrukne tabletter,200 mg,60 stk. (blister),28103233601,200,MG,60,N05AH04
514,Tenoretic,filmovertrukne tabletter,100+25 mg,100 stk. (blister),28101027479,,,100,C07CB03
516,Denagard Vet.,oralt pulver,20 mg/g,5 kg,28101170783,20,MGG,5,QJ01XQ01
518,Seroquel Startpakke,filmovertrukne tabletter,,"6x25 mg, 3x100 mg, 1x200 mg",28103233701,,,10,N05AH04
525,Tenoretic Mite,filmovertrukne tabletter,"50+12,5 mg",100 stk. (blister),28101195584,,,100,C07CB03
534,"Atacand Zid 16 mg/12,5 mg",tabletter,"16 + 12,5 mg",100 stk.,28103169100,,,100,C09DA06
548,Zaditen,"øjendråber, opløsning","0,25 mg/ml",5 ml,28103170100,0.25,MGM,5,S01GX08
552,Caverject Dual,"pulver og solvens til injektionsvæske, opløsning",20 mikg,2 sæt,28103222101,20,RG,2,G04BE01
554,Nitam,tabletter,5 mg,10 stk. (blister),28101551893,5,MG,10,N05CD02
555,Topimax,"kapsler, hårde",15 mg,60 stk.,28101958997,15,MG,60,N03AX11
561,Denagard Vet.,oralt pulver,20 mg/g,25 kg,28101170783,20,MGG,25,QJ01XQ01
565,Zaditen,"øjendråber, opløsning, enkeltdosisbeholder","0,25 mg/ml","20 x 0,4 ml",28103170200,0.25,MGM,20,S01GX08
573,Zaditen,"øjendråber, opløsning, enkeltdosisbeholder","0,25 mg/ml","60 x 0,4 ml",28103170200,0.25,MGM,60,S01GX08
576,"Papaverin ""OBA""",tabletter,35 mg,100 stk.,28100742176,35,MG,100,A03AD01
588,Nitam,tabletter,5 mg,20 stk. (blister),28101551893,5,MG,20,N05CD02
596,Ferriphor 10% Vet.,injektionsvæske,100 mg/ml,12 htgl. a 100 ml,28100644374,100,MGM,1200,QB03AC90
598,Topimax,"kapsler, hårde",25 mg,60 stk.,28101959097,25,MG,60,N03AX11
609,Tenormin,filmovertrukne tabletter,50 mg,30 stk. (blister),28100690976,50,MG,30,C07AB03
612,Atacand,tabletter,4 mg,100 stk.,28101897297,4,MG,100,C09CA06
619,"Klorhexidin ""Galderma""",mundskyllevæske,"0,2%",250 ml,28101376289,0.2,PC,250,A01AB03
621,"Mepyramin ""Galderma""",creme,2 %,30 ml,28100733776,2,PC,30,D04AA02
622,Tenormin,filmovertrukne tabletter,100 mg,30 stk. (blister),28100691076,100,MG,30,C07AB03
626,"Isofluran ""Baxter""",væske til inhalationsdamp,,1 x 100 ml,28101543293,,,100,N01AB06
629,Intralipid,"infusionsvæske, emulsion",10%,12 x 500 ml,28100389461,10,PC,6000,B05BA02
632,"Zopiclone ""Fisons""",tabletter,"7,5 mg",100 stk.,28101933297,7.5,MG,100,N05CF01
633,"Klorhexidin ""Galderma""",mundskyllevæske,"0,2%",500 ml,28101376289,0.2,PC,500,A01AB03
634,IntronA,"pulver og solvens til injektionsvæske, opløsning",3 Mill. IE,6 htgl. + 6 amp. solvens,28103077399,3,MIU,12,L03AB05
637,"Zolpidem ""Cross Pharma""",tabletter,10 mg,15 stk. (blister),28101922397,10,MG,15,N05CF02
640,"Budesonid ""Cross Pharma""",inhalationspulver,200 mikg/dosis,1 x 100 doser,28101871197,200,RGD,100,R03BA02
641,Intralipid,"infusionsvæske, emulsion",20%,10 x 100 ml,28100413062,20,PC,1000,B05BA02
645,"Terbutalin ""Cross Pharma""",inhalationspulver,"0,5 mg/dosis",200 doser,28103030198,0.5,MGD,200,R03AC03
646,Norvasc,tabletter,10 mg,30 stk.,28101333588,10,MG,30,C08CA01
650,"Terbutalin ""Cross Pharma""",inhalationsaerosol,"0,25 mg/dosis",400 doser,28103035598,0.25,MGD,400,R03AC03
651,"Zolpidem ""Cross Pharma""",tabletter,10 mg,90 stk. (blister),28101922397,10,MG,90,N05CF02
652,Intralipid,"infusionsvæske, emulsion",20%,10 x 250 ml,28100413062,20,PC,2500,B05BA02
654,"Budesonid ""Cross Pharma""",inhalationspulver,200 mikg/dosis,200 doser,28101871197,200,RGD,200,R03BA02
658,"Salicyl ""Galderma""",salve,10%,30 ml,28100829379,10,PC,30,D02AF
663,Intralipid,"infusionsvæske, emulsion",20%,12 x 500 ml,28100413062,20,PC,6000,B05BA02
664,Tenormin,filmovertrukne tabletter,25 mg,100 stk. (blister),28101337988,25,MG,100,C07AB03
666,"Sumatriptan ""Cross Pharma""",tabletter,100 mg,18 stk. (blister),28101870097,100,MG,18,N02CC01
669,"Salicyl ""Galderma""",salve,5%,30 ml,28100829279,5,PC,30,D02AF
674,"Budesonid ""Cross Pharma""",inhalationspulver,400 mikg/dosis,100 doser,28101871097,400,RGD,100,R03BA02
675,Tenormin,filmovertrukne tabletter,50 mg,100 stk. (blister),28100690976,50,MG,100,C07AB03
676,"Terbinafin ""Cross Pharma""",tabletter,250 mg,14 stk. (blister),28101885497,250,MG,14,D01BA02
677,"Felodipin ""Cross Pharma""",depottabletter,5 mg,28 stk. (blister),28101894097,5,MG,28,C08CA02
682,"Sumatriptan ""Cross Pharma""",tabletter,100 mg,12 stk. (blister),28101870097,100,MG,12,N02CC01
685,"Budesonid ""Cross Pharma""",inhalationspulver,400 mikg/dosis,2 x 100 doser,28101871097,400,RGD,200,R03BA02
686,Tenormin,filmovertrukne tabletter,100 mg,100 stk. (blister),28100691076,100,MG,100,C07AB03
688,IntronA,"pulver og solvens til injektionsvæske, opløsning",10 Mill. IE,6 htgl. + 6 amp. solvens,28103077599,10,MIU,12,L03AB05
692,"Isotretinoin ""Cross Pharma""",kapsler,10 mg,50 stk. (blister),28101918697,10,MG,50,D10BA01
701,Bactroban,creme,2%,1 x 15 g,28103065199,2,PC,15,D06AX09
702,"Terbinafin ""Cross Pharma""",tabletter,250 mg,28 stk. (blister),28101885497,250,MG,28,D01BA02
709,"Nystatin ""Cross Pharma""",mikstur,100.000 IE/ml,60 ml,28101921297,100000,IUM,60,A07AA02
719,"Terbinafin ""Cross Pharma""",tabletter,250 mg,98 stk. (blister),28101885497,250,MG,98,D01BA02
720,"Cetirizin ""Cross Pharma""",tabletter,10 mg,50 stk. (blister),28101869297,10,MG,50,R06AE07
724,"Nifedipin ""Cross Pharma"" Depot",depottabletter,30 mg,98 stk. (blister),28101920497,30,MG,98,C08CA05
726,"Isotretinoin ""Cross Pharma""",kapsler,20 mg,50 stk. (blister),28101918797,20,MG,50,D10BA01
733,"Felodipin ""Cross Pharma""",depottabletter,5 mg,98 stk. (blister),28101894097,5,MG,98,C08CA02
734,Havrix,"injektionsvæske, suspension",1440 EU/ml,3 x 10 x 1 ml (endosissprøjte),28101565493,1440,EUM,30,J07BC02
738,"Lamotrigin ""Cross Pharma""",tabletter,50 mg,56 stk. (blister),28101868597,50,MG,56,N03AX09
741,"Nifedipin ""Cross Pharma"" Depot",depottabletter,60 mg,98 stk. (blister),28101920597,60,MG,98,C08CA05
749,"Lamotrigin ""Cross Pharma""",tabletter,100 mg,56 stk. (blister),28101868697,100,MG,56,N03AX09
784,Caverject Dual,"pulver og solvens til injektionsvæske, opløsning",10 mikg,2 stk.,28103222001,10,RG,2,G04BE01
799,Allergodil,"næsespray, opløsning","0,14 mg/dosis",70 doser (10 ml),28101475291,0.14,MGD,70,R01AC03
801,Benylan,oral opløsning,"2,8 mg/ml",125 ml,28100107155,2.8,MGM,125,R06AA02
803,Omnic,"depotkapsler, hårde","0,4 mg",30 stk. (blister),28103124799,0.4,MG,30,G04CA02
804,"Lamotrigin ""Cross Pharma""",tabletter,200 mg,60 stk. (blister),28101868797,200,MG,60,N03AX09
805,Zocor,filmovertrukne tabletter,20 mg,56 stk. (blister),28103043498,20,MG,56,C10AA01
806,Plendil,depottabletter,5 mg,42 stk. (blister),28103046298,5,MG,42,C08CA02
812,Meloden 28,overtrukne tabletter,75 + 20 mikrogram,3 x 28 stk. (blister),28101686794,,,84,G03AA10
814,Trizivir,filmovertrukne tabletter,300 + 150 + 300 mg,60 stk. (blister),28103123099,,,60,J05AR04
815,Benylan,oral opløsning,"1,4 mg/ml",125 ml,28103117299,1.4,MGM,125,R06AA02
818,Orbax Vet.,filmovertrukne tabletter,75 mg,8 stk. (blister),28103114499,75,MG,8,QJ01MA95
820,Ovestin,vagitorier,"0,5 mg",15 stk.,28101532792,0.5,MG,15,G03CA04
826,Omnic,"depotkapsler, hårde","0,4 mg",90 stk. (blister),28103124799,0.4,MG,90,G04CA02
839,Orbax Vet.,filmovertrukne tabletter,25 mg,10 stk. (blister),28103114399,25,MG,10,QJ01MA95
861,Risperdal,filmovertrukne tabletter,"0,5 mg",500 stk.,28103023098,0.5,MG,500,N05AX08
875,"Hydrokortison ""DnE""",creme,1%,10 ml,28100718376,1,PC,10,D07AA02
878,"Klorhexidin ""Galderma""",creme,1%,30 ml,28100724676,1,PC,30,D08AC02
884,Risperdal,filmovertrukne tabletter,1 mg,500 stk.,28101497692,1,MG,500,N05AX08
890,"Isofluran ""Baxter""",væske til inhalationsdamp,,1 x 250 ml,28101543293,,,250,N01AB06
891,Didronate,tabletter,200 mg,60 stk. (blister),28101062381,200,MG,60,M05BA01
892,"Hydrokortison ""DnE""",creme,1%,30 ml,28100718376,1,PC,30,D07AA02
895,Risperdal,filmovertrukne tabletter,2 mg,500 stk.,28101497792,2,MG,500,N05AX08
897,Nobilis gumboro D78 Vet.,pulver til opløsning i drikkevand,10.000 TCID50/dosis,10 x 5000 doser,28101493392,10000,TCI,50000,QI01AA01
898,"Hydrokortison ""DnE""",salve,1 %,10 ml,28100718476,1,PC,10,D07AA02
900,"Simvastatin ""Cross Pharma""",filmovertrukne tabletter,10 mg,28 stk. (blister),28101869097,10,MG,28,C10AA01
901,Pylorid,filmovertrukne tabletter,400 mg,14 stk. (blister),28101763295,400,MG,14,A02BA07
902,"Isosorbidmononitrat ""Cross Pharma""",depottabletter (duretter),60 mg,28 stk.,28103019198,60,MG,28,C01DA14
908,"Valproinsyre ""Cross Pharma"" Retard",depottabletter,300 mg,100 stk. (blister),28103029998,300,MG,100,N03AG01
909,"Hydrokortison ""DnE""",salve,1 %,30 ml,28100718476,1,PC,30,D07AA02
914,Nobilis gumboro D78 Vet.,pulver til opløsning i drikkevand,10.000 TCID50/dosis,1/10 af: 10 x 5000 doser,28101493392,10000,TCI,5000,QI01AA01
915,"Pravastatin ""Cross Pharma""",tabletter,20 mg,28 stk. (blister),28103045998,20,MG,28,C10AA03
916,"Ramipril ""Cross Pharma""",tabletter,"2,5 mg",98 stk. (blister),28103036098,2.5,MG,98,C09AA05
919,Pylorid,filmovertrukne tabletter,400 mg,28 stk. (blister),28101763295,400,MG,28,A02BA07
920,"Valproinsyre ""Cross Pharma"" Retard",depottabletter,500 mg,100 stk. (blister),28103030098,500,MG,100,N03AG01
921,"Enalapril ""Mylan""",tabletter,5 mg,28 stk. (blister),28103119099,5,MG,28,C09AA02
922,Fem-Mono Retard,depottabletter,60 mg,30 stk. (blister),28103067699,60,MG,30,C01DA14
933,"Enalapril ""Mylan""",tabletter,5 mg,98 stk. (blister),28103119099,5,MG,98,C09AA02
934,"Simvastatin ""Cross Pharma""",filmovertrukne tabletter,10 mg,84 stk. (blister),28101869097,10,MG,84,C10AA01
937,"Amiodaron ""Cross Pharma""",tabletter,200 mg,30 stk. (3 x 10) (blister),28103039198,200,MG,30,C01BD01
940,"Pravastatin ""Cross Pharma""",tabletter,20 mg,98 stk. (blister),28103045998,20,MG,98,C10AA03
944,"Enalapril ""Mylan""",tabletter,10 mg,28 stk. (blister),28103119199,10,MG,28,C09AA02
946,"Amiodaron ""Cross Pharma""",tabletter,200 mg,60 stk. (6 x 10) (blister),28103039198,200,MG,60,C01BD01
949,"Ramipril ""Cross Pharma""",tabletter,5 mg,98 stk. (blister),28103036198,5,MG,98,C09AA05
955,"Enalapril ""Mylan""",tabletter,10 mg,98 stk. (blister),28103119199,10,MG,98,C09AA02
957,Genotropin,"pulver og solvens til injektionsvæske, opløsning",5 mg,1 tokammerampul,28103108599,5,MG,1,H01AC01
966,"Enalapril ""Mylan""",tabletter,20 mg,28 stk. (blister),28103119299,20,MG,28,C09AA02
967,"Simvastatin ""Cross Pharma""",filmovertrukne tabletter,20 mg,28 stk. (blister),28101869197,20,MG,28,C10AA01
971,diTeBooster,"injektionsvæske, suspension, hætteglas",,"1 htgl. a 0,5 ml",28101482791,,,0.5,J07AM51
974,Nicorette,inhalator,10 mg,42 stk. (blister),28103125999,10,MG,42,N07BA01
976,Sirdalud,tabletter,2 mg,30 stk.,28101124183,2,MG,30,M03BX02
977,"Enalapril ""Mylan""",tabletter,20 mg,98 stk. (blister),28103119299,20,MG,98,C09AA02
983,Risperdal,oral opløsning,1 mg/ml,100 ml,28104562309,1,MGM,100,N05AX08
989,"Simvastatin ""Cross Pharma""",filmovertrukne tabletter,20 mg,84 stk. (blister),28101869197,20,MG,84,C10AA01
991,Fem-Mono Retard,depottabletter,60 mg,100 stk.,28103067699,60,MG,100,C01DA14
992,Pylorid,filmovertrukne tabletter,400 mg,56 stk. (blister),28101763295,400,MG,56,A02BA07
994,diTeBooster,"injektionsvæske, suspension, hætteglas",,"5 htgl. a 0,5 ml",28101482791,,,2.5,J07AM51
1004,Fragmin,"injektionsvæske, opløsning, fyldt injektionssprøjte",12.500 anti-Xa IE/ml,"25 x 0,2 ml",28101295187,12500,XAM,1,B01AB04
1008,Sirdalud,tabletter,2 mg,100 stk.,28101124183,2,MG,100,M03BX02
1009,Burinex,"injektionsvæske, opløsning","0,5 mg/ml",5 amp. x 4 ml,28101212185,0.5,MGM,20,C03CA02
1012,Jectofer,injektionsvæske,50 mg/ml,10 x 2 ml,28100370261,50,MGM,20,B03AC03
1018,PegIntron,"pulver og solvens til injektionsvæske, opløsning","50 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssæt,28103079999,100,RGM,4,L03AB10
1019,Zestoretic,tabletter,,42 stk. (blister),28103029698,,,42,C09BA03
1024,Sirdalud,tabletter,4 mg,30 stk.,28101124283,4,MG,30,M03BX02
1025,Selo-zok,depottabletter,25 mg,28 stk. (blister),28103132300,25,MG,28,C07AB02
1029,Fragmin,"injektionsvæske, opløsning, fyldt injektionssprøjte",25.000 anti-Xa IE/ml,"25 x 0,2 ml",28101295287,25000,XAM,1,B01AB04
1031,Zestoretic,tabletter,,98 stk. (blister),28103029698,,,98,C09BA03
1035,"Isosorbidmononitrat ""Cross Pharma""",depottabletter (duretter),60 mg,98 stk.,28103019198,60,MG,98,C01DA14
1039,PegIntron,"pulver og solvens til injektionsvæske, opløsning","100 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssæt,28103080199,200,RGM,4,L03AB10
1043,PegIntron,"pulver og solvens til injektionsvæske, opløsning","150 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssæt,28103080399,300,RGM,4,L03AB10
1068,Sinemet Depot Mite,depottabletter,100+25 mg,100 stk. (blister),28103145400,,,100,N04BA02
1071,Rabdomun Vet.,"injektionsvæske, suspension",,10 x 1 ml,28101055180,,,10,QI07AA02
1105,Finadyne Vet.,"granulat, enkeltdosisbeholder",250 mg,1/10 af: 10 x 10 g,28103063099,250,MG,10,QM01AG90
1115,Sirdalud,tabletter,4 mg,100 stk.,28101124283,4,MG,100,M03BX02
1123,Klacid,filmovertrukne tabletter,250 mg,100 stk.,28101394190,250,MG,100,J01FA09
1131,Klacid,filmovertrukne tabletter,500 mg,42 stk. (blister),28101552793,500,MG,42,J01FA09
1156,Duphacyclin Prolongatum Vet.,injektionsvæske,200 mg/ml,12 x 100 ml,28101128483,200,MGM,1200,QJ01AA06
1163,Brufen,oral suspension,20 mg/ml,200 ml,28101080081,20,MGM,200,M01AE01
1167,Orgalutran,"injektionsvæske, opløsning","0,25 mg/0,5 ml",1 stk.,28103039498,0.5,MGM,1,H01CC01
