vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
261,Lactaclox Vet.,Lactaclox Vet.,intramammÃ¦r suspension,15 +40 mg/applikator,24 sprÃ¸jter a 5 g,28101728294,,,"24,000"
263,"Tylosin ""Scanvet"" Vet.","Tylosin ""ScanVet"" Vet.","injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,1 x 100 ml,28101597794,"200,000",MGM,"100,000"
265,Citanest Dental Octapressin,Citanest Dental Octapressin,"injektionsvÃ¦ske, oplÃ¸sning","30 mg/ml+0,54mikg/ml",100 tubuler til selvasp.spr.,28100484865,,,"100,000"
266,Stellamune Mycoplasma Vet.,Stella Mune Mycoplasma Vet.,"injektionsvÃ¦ske, emulsion",6000 RU/dosis,1/10 af: 10 x 100 ml,28101500492,"6,000,000",UDO,"100,000"
268,Terramycin Vet.,Terramycin Vet.,pulver til oral oplÃ¸sning,20%,1/6 af: 6 x 500 g,28100639173,"20,000",PC,"500,000"
269,"Albumin ""Baxter""","Albumin ""Baxter""","infusionsvÃ¦ske, oplÃ¸sning",200 mg/ml,100 ml,28101081481,"200,000",MGM,"100,000"
272,Pulmicort Turbuhaler,Pulmicort Turbuhaler,inhalationspulver,400 mikg/dosis,100 doser,28103090199,"400,000",RGD,"100,000"
274,Sesal,Sesal,Ã¸jendrÃ¥ber,"0,25 mg/ml + 5 mg/ml",10 ml (bott.pk),28100843083,,,"10,000"
277,"Tylosin ""Scanvet"" Vet.","Tylosin ""ScanVet"" Vet.","injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,12 x 100 ml,28101597794,"200,000",MGM,"1,200,000"
279,"Resorcinol ""Ophtha""","Resorcinol ""Ophtha""",Ã¸jendrÃ¥ber,1%,10 ml (bott.pk.),28100746876,"1,000",PC,"10,000"
283,Serenase Dekanoat,Haldol decanoate,"injektionsvÃ¦ske, oplÃ¸sning",100 mg/ml,5 amp. x 1 ml,28103121699,"100,000",MGM,"5,000"
288,"Antitrombin III ""Baxter""","Antithrombin III ""Baxter""","pulver og solvens til injektions- og infusionsvÃ¦ske, oplÃ¸sning",,1000 IE,28101258786,,,"1,000,000"
290,Puregon,Puregon,"injektionsvÃ¦ske, oplÃ¸sning",300 IE,"1 stk.(0,36 ml)",28103060799,"300,000",IU,"1,000"
291,Stellamune Mycoplasma Vet.,Stella Mune Mycoplasma Vet.,"injektionsvÃ¦ske, emulsion",6000 RU/dosis,4 x 250 ml,28101500492,"6,000,000",UDO,"1,000,000"
299,Primcillin,primcillin,"granulat til oral suspension, enkeltdosisbeholder",250 mg,18 stk.,28100902576,"250,000",MG,"18,000"
302,Stellamune Mycoplasma Vet.,Stella Mune Mycoplasma Vet.,"injektionsvÃ¦ske, emulsion",6000 RU/dosis,1/4 af: 4 x 250 ml,28101500492,"6,000,000",UDO,"250,000"
307,Primcillin,primcillin,"granulat til orale drÃ¥ber, oplÃ¸sning",250 mg/ml,Fl. a 20 ml,28100926377,"250,000",MGM,"20,000"
315,"Natriumklorid 9 mg/ml ""Fresenius Kabi""","Sodium chloride 9 mg / ml ""Fresenius Kabi""","infusionsvÃ¦ske, oplÃ¸sning",9 mg/ml,30 x 100 ml (excel),28101404390,"9,000",MGM,"3,000,000"
316,Puregon,Puregon,"injektionsvÃ¦ske, oplÃ¸sning",600 IE,"1 stk.(0,72 ml)",28103235701,"600,000",IU,"1,000"
323,Berodual,Berodual,inhalationsaerosol,,300 doser,28101329188,,,"300,000"
328,Pulmicort Turbuhaler,Pulmicort Turbuhaler,inhalationspulver,200 mikg/dosis,100 doser,28103090099,"200,000",RGD,"100,000"
331,Theo-dur,Theo-dur,depottabletter,300 mg,30 stk.,28101004578,"300,000",MG,"30,000"
339,Pulmicort Turbuhaler,Pulmicort Turbuhaler,inhalationspulver,200 mikg/dosis,200 doser (2x100),28103090099,"200,000",RGD,"200,000"
344,Pulmicort Turbuhaler,Pulmicort Turbuhaler,inhalationspulver,400 mikg/dosis,200 doser (2 x 100),28103090199,"400,000",RGD,"200,000"
350,Bisiprol,Bisiprol,tabletter,5 mg,100 stk. (blister),28103108199,"5,000",MG,"100,000"
361,Bisiprol,Bisiprol,tabletter,10 mg,30 stk. (blister),28103108299,"10,000",MG,"30,000"
373,Maxalt Smelt,Maxalt,smeltetabletter,10 mg,6 stk. (blister),28103008298,"10,000",MG,"6,000"
374,Bisiprol,Bisiprol,tabletter,10 mg,100 stk. (blister),28103108299,"10,000",MG,"100,000"
384,Mevacor,Mevacor,tabletter,20 mg,56 stk. (blister),28103044098,"20,000",MG,"56,000"
395,Mevacor,Mevacor,tabletter,20 mg,84 stk. (blister),28103044098,"20,000",MG,"84,000"
398,Banminth Vet.,Banminth Vet.,oral pasta,439 mg/g (hest),10 sprÃ¸jter a 20 ml,28100699876,"439,000",MGG,"200,000"
417,Mevacor,Mevacor,tabletter,40 mg,56 stk. (blister),28103044198,"40,000",MG,"56,000"
418,Seroquel,Seroquel,filmovertrukne tabletter,25 mg,60 stk. (blister),28103233401,"25,000",MG,"60,000"
421,"Atacand Zid 16 mg/12,5 mg",Atacand Plus 16 mg / 12.5 mg,tabletter,"16 + 12,5 mg",28 stk. (blister),28103169100,,,"28,000"
426,Gemzar,Gemzar,"pulver til infusionsvÃ¦ske, oplÃ¸sning",1 g,1 htgl.,28103122099,"1,000",G,"1,000"
428,Mevacor,Mevacor,tabletter,40 mg,84 stk. (blister),28103044198,"40,000",MG,"84,000"
429,Cefagold Vet.,Cefagold Vet.,intramammÃ¦r suspension,300 mg,1/20 af: 20 x 10 ml,28101933497,"300,000",MG,"10,000"
430,Banminth Vet.,Banminth Vet.,oral pasta,439 mg/g (hest),2 sprÃ¸jter a 20 ml,28100699876,"439,000",MGG,"40,000"
443,Tenormin,Tenormin,filmovertrukne tabletter,25 mg,30 stk. (blister),28101337988,"25,000",MG,"30,000"
448,Elocon,Elocon,kutanoplÃ¸sning,0.10%,100 ml,28101401390,0.100,PC,"100,000"
462,"Laktulose ""Danipharm""","Lactulose ""Danipharm""",oral oplÃ¸sning,667 mg/ml,500 ml,28103103299,"667,000",MGM,"500,000"
463,"Cephalothin ""GLAXO""","Cephalothin ""GLAXO""",injektionssubstans,4 G,5 htgl.,28100692376,"4,000",G,"5,000"
467,Tenoretic,Tenoretic,filmovertrukne tabletter,100+25 mg,30 stk. (blister),28101027479,,,"30,000"
469,Tenoretic Mite,Tenoretic Mite,filmovertrukne tabletter,"50+12,5 mg",30 stk. (blister),28101195584,,,"30,000"
471,Rohypnol,Rohypnol,tabletter,2 mg,10 stk.,28100654274,"2,000",MG,"10,000"
475,Allergodil,ALLERGODIL,"Ã¸jendrÃ¥ber, oplÃ¸sning",0.05%,6 ml,28103020598,0.050,PC,"6,000"
478,Atridox,Atridox,"pulver og solvens til tandkÃ¸dsgel, fyldt injektionssprÃ¸jte",44 mg,1 stk. (a+b),28103201900,"44,000",MG,"1,000"
484,Denagard Vet.,Denagard Vet.,"injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,100 ml,28101177084,"200,000",MGM,"100,000"
490,"Laktulose ""Danipharm""","Lactulose ""Danipharm""",oral oplÃ¸sning,667 mg/ml,1000 ml,28103103299,"667,000",MGM,"1,000,000"
493,Act-hib,Act-HIB,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",,1 dosis + 1 solvens,28101457491,,,"1,000"
496,Seroquel,Seroquel,filmovertrukne tabletter,100 mg,60 stk. (blister),28103233501,"100,000",MG,"60,000"
507,Seroquel,Seroquel,filmovertrukne tabletter,200 mg,60 stk. (blister),28103233601,"200,000",MG,"60,000"
514,Tenoretic,Tenoretic,filmovertrukne tabletter,100+25 mg,100 stk. (blister),28101027479,,,"100,000"
516,Denagard Vet.,Denagard Vet.,oralt pulver,20 mg/g,5 kg,28101170783,"20,000",MGG,"5,000"
518,Seroquel Startpakke,Seroquel Starter pack,filmovertrukne tabletter,,"6x25 mg, 3x100 mg, 1x200 mg",28103233701,,,"10,000"
525,Tenoretic Mite,Tenoretic Mite,filmovertrukne tabletter,"50+12,5 mg",100 stk. (blister),28101195584,,,"100,000"
534,"Atacand Zid 16 mg/12,5 mg",Atacand Plus 16 mg / 12.5 mg,tabletter,"16 + 12,5 mg",100 stk.,28103169100,,,"100,000"
548,Zaditen,ZADITEN,"Ã¸jendrÃ¥ber, oplÃ¸sning","0,25 mg/ml",5 ml,28103170100,0.250,MGM,"5,000"
552,Caverject Dual,Caverject,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",20 mikg,2 sÃ¦t,28103222101,"20,000",RG,"2,000"
554,Nitam,Nitam,tabletter,5 mg,10 stk. (blister),28101551893,"5,000",MG,"10,000"
555,Topimax,Topamax,"kapsler, hÃ¥rde",15 mg,60 stk.,28101958997,"15,000",MG,"60,000"
561,Denagard Vet.,Denagard Vet.,oralt pulver,20 mg/g,25 kg,28101170783,"20,000",MGG,"25,000"
565,Zaditen,ZADITEN,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder","0,25 mg/ml","20 x 0,4 ml",28103170200,0.250,MGM,"20,000"
573,Zaditen,ZADITEN,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder","0,25 mg/ml","60 x 0,4 ml",28103170200,0.250,MGM,"60,000"
576,"Papaverin ""OBA""","Papaverine ""OBA""",tabletter,35 mg,100 stk.,28100742176,"35,000",MG,"100,000"
588,Nitam,Nitam,tabletter,5 mg,20 stk. (blister),28101551893,"5,000",MG,"20,000"
596,Ferriphor 10% Vet.,Ferriphor 10% Vet.,injektionsvÃ¦ske,100 mg/ml,12 htgl. a 100 ml,28100644374,"100,000",MGM,"1,200,000"
598,Topimax,Topamax,"kapsler, hÃ¥rde",25 mg,60 stk.,28101959097,"25,000",MG,"60,000"
609,Tenormin,Tenormin,filmovertrukne tabletter,50 mg,30 stk. (blister),28100690976,"50,000",MG,"30,000"
612,Atacand,Atacand,tabletter,4 mg,100 stk.,28101897297,"4,000",MG,"100,000"
619,"Klorhexidin ""Galderma""","Chlorhexidine ""Galderma""",mundskyllevÃ¦ske,0.20%,250 ml,28101376289,0.200,PC,"250,000"
621,"Mepyramin ""Galderma""","Mepyramine ""Galderma""",creme,2%,30 ml,28100733776,"2,000",PC,"30,000"
622,Tenormin,Tenormin,filmovertrukne tabletter,100 mg,30 stk. (blister),28100691076,"100,000",MG,"30,000"
626,"Isofluran ""Baxter""","Isoflurane ""Baxter""",vÃ¦ske til inhalationsdamp,,1 x 100 ml,28101543293,,,"100,000"
629,Intralipid,Intralipid,"infusionsvÃ¦ske, emulsion",10%,12 x 500 ml,28100389461,"10,000",PC,"6,000,000"
632,"Zopiclone ""Fisons""","Zopiclone ""Fisons""",tabletter,"7,5 mg",100 stk.,28101933297,"7,500",MG,"100,000"
633,"Klorhexidin ""Galderma""","Chlorhexidine ""Galderma""",mundskyllevÃ¦ske,0.20%,500 ml,28101376289,0.200,PC,"500,000"
634,IntronA,IntronA,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",3 Mill. IE,6 htgl. + 6 amp. solvens,28103077399,"3,000",MIU,"12,000"
637,"Zolpidem ""Cross Pharma""","Zolpidem ""Cross Pharma""",tabletter,10 mg,15 stk. (blister),28101922397,"10,000",MG,"15,000"
640,"Budesonid ""Cross Pharma""","Budesonide ""Cross Pharma""",inhalationspulver,200 mikg/dosis,1 x 100 doser,28101871197,"200,000",RGD,"100,000"
641,Intralipid,Intralipid,"infusionsvÃ¦ske, emulsion",20%,10 x 100 ml,28100413062,"20,000",PC,"1,000,000"
645,"Terbutalin ""Cross Pharma""","Terbutaline ""Cross Pharma""",inhalationspulver,"0,5 mg/dosis",200 doser,28103030198,0.500,MGD,"200,000"
646,Norvasc,Norvasc,tabletter,10 mg,30 stk.,28101333588,"10,000",MG,"30,000"
650,"Terbutalin ""Cross Pharma""","Terbutaline ""Cross Pharma""",inhalationsaerosol,"0,25 mg/dosis",400 doser,28103035598,0.250,MGD,"400,000"
651,"Zolpidem ""Cross Pharma""","Zolpidem ""Cross Pharma""",tabletter,10 mg,90 stk. (blister),28101922397,"10,000",MG,"90,000"
652,Intralipid,Intralipid,"infusionsvÃ¦ske, emulsion",20%,10 x 250 ml,28100413062,"20,000",PC,"2,500,000"
654,"Budesonid ""Cross Pharma""","Budesonide ""Cross Pharma""",inhalationspulver,200 mikg/dosis,200 doser,28101871197,"200,000",RGD,"200,000"
658,"Salicyl ""Galderma""","Salicylic ""Galderma""",salve,10%,30 ml,28100829379,"10,000",PC,"30,000"
663,Intralipid,Intralipid,"infusionsvÃ¦ske, emulsion",20%,12 x 500 ml,28100413062,"20,000",PC,"6,000,000"
664,Tenormin,Tenormin,filmovertrukne tabletter,25 mg,100 stk. (blister),28101337988,"25,000",MG,"100,000"
666,"Sumatriptan ""Cross Pharma""","Sumatriptan ""Cross Pharma""",tabletter,100 mg,18 stk. (blister),28101870097,"100,000",MG,"18,000"
669,"Salicyl ""Galderma""","Salicylic ""Galderma""",salve,5%,30 ml,28100829279,"5,000",PC,"30,000"
674,"Budesonid ""Cross Pharma""","Budesonide ""Cross Pharma""",inhalationspulver,400 mikg/dosis,100 doser,28101871097,"400,000",RGD,"100,000"
675,Tenormin,Tenormin,filmovertrukne tabletter,50 mg,100 stk. (blister),28100690976,"50,000",MG,"100,000"
676,"Terbinafin ""Cross Pharma""","Terbinafine ""Cross Pharma""",tabletter,250 mg,14 stk. (blister),28101885497,"250,000",MG,"14,000"
677,"Felodipin ""Cross Pharma""","Felodipine ""Cross Pharma""",depottabletter,5 mg,28 stk. (blister),28101894097,"5,000",MG,"28,000"
682,"Sumatriptan ""Cross Pharma""","Sumatriptan ""Cross Pharma""",tabletter,100 mg,12 stk. (blister),28101870097,"100,000",MG,"12,000"
685,"Budesonid ""Cross Pharma""","Budesonide ""Cross Pharma""",inhalationspulver,400 mikg/dosis,2 x 100 doser,28101871097,"400,000",RGD,"200,000"
686,Tenormin,Tenormin,filmovertrukne tabletter,100 mg,100 stk. (blister),28100691076,"100,000",MG,"100,000"
688,IntronA,IntronA,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",10 Mill. IE,6 htgl. + 6 amp. solvens,28103077599,"10,000",MIU,"12,000"
692,"Isotretinoin ""Cross Pharma""","Isotretinoin ""Cross Pharma""",kapsler,10 mg,50 stk. (blister),28101918697,"10,000",MG,"50,000"
701,Bactroban,Bactroban,creme,2%,1 x 15 g,28103065199,"2,000",PC,"15,000"
702,"Terbinafin ""Cross Pharma""","Terbinafine ""Cross Pharma""",tabletter,250 mg,28 stk. (blister),28101885497,"250,000",MG,"28,000"
709,"Nystatin ""Cross Pharma""","Nystatin ""Cross Pharma""",mikstur,100.000 IE/ml,60 ml,28101921297,"100,000,000",IUM,"60,000"
719,"Terbinafin ""Cross Pharma""","Terbinafine ""Cross Pharma""",tabletter,250 mg,98 stk. (blister),28101885497,"250,000",MG,"98,000"
720,"Cetirizin ""Cross Pharma""","Cetirizine ""Cross Pharma""",tabletter,10 mg,50 stk. (blister),28101869297,"10,000",MG,"50,000"
724,"Nifedipin ""Cross Pharma"" Depot","Nifedipine ""Cross Pharma"" Depot",depottabletter,30 mg,98 stk. (blister),28101920497,"30,000",MG,"98,000"
726,"Isotretinoin ""Cross Pharma""","Isotretinoin ""Cross Pharma""",kapsler,20 mg,50 stk. (blister),28101918797,"20,000",MG,"50,000"
733,"Felodipin ""Cross Pharma""","Felodipine ""Cross Pharma""",depottabletter,5 mg,98 stk. (blister),28101894097,"5,000",MG,"98,000"
734,Havrix,Havrix,"injektionsvÃ¦ske, suspension",1440 EU/ml,3 x 10 x 1 ml (endosissprÃ¸jte),28101565493,"1,440,000",EUM,"30,000"
738,"Lamotrigin ""Cross Pharma""","Lamotrigine ""Cross Pharma""",tabletter,50 mg,56 stk. (blister),28101868597,"50,000",MG,"56,000"
741,"Nifedipin ""Cross Pharma"" Depot","Nifedipine ""Cross Pharma"" Depot",depottabletter,60 mg,98 stk. (blister),28101920597,"60,000",MG,"98,000"
749,"Lamotrigin ""Cross Pharma""","Lamotrigine ""Cross Pharma""",tabletter,100 mg,56 stk. (blister),28101868697,"100,000",MG,"56,000"
784,Caverject Dual,Caverject,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",10 mikg,2 stk.,28103222001,"10,000",RG,"2,000"
799,Allergodil,ALLERGODIL,"nÃ¦sespray, oplÃ¸sning","0,14 mg/dosis",70 doser (10 ml),28101475291,0.140,MGD,"70,000"
801,Benylan,Benylan,oral oplÃ¸sning,"2,8 mg/ml",125 ml,28100107155,"2,800",MGM,"125,000"
803,Omnic,Omnic,"depotkapsler, hÃ¥rde","0,4 mg",30 stk. (blister),28103124799,0.400,MG,"30,000"
804,"Lamotrigin ""Cross Pharma""","Lamotrigine ""Cross Pharma""",tabletter,200 mg,60 stk. (blister),28101868797,"200,000",MG,"60,000"
805,Zocor,Zocor,filmovertrukne tabletter,20 mg,56 stk. (blister),28103043498,"20,000",MG,"56,000"
806,Plendil,Plendil,depottabletter,5 mg,42 stk. (blister),28103046298,"5,000",MG,"42,000"
812,Meloden 28,Meloden 28,overtrukne tabletter,75 + 20 mikrogram,3 x 28 stk. (blister),28101686794,,,"84,000"
814,Trizivir,Trizivir,filmovertrukne tabletter,300 + 150 + 300 mg,60 stk. (blister),28103123099,,,"60,000"
815,Benylan,Benylan,oral oplÃ¸sning,"1,4 mg/ml",125 ml,28103117299,"1,400",MGM,"125,000"
818,Orbax Vet.,Orbax Vet.,filmovertrukne tabletter,75 mg,8 stk. (blister),28103114499,"75,000",MG,"8,000"
820,Ovestin,Ovestin,vagitorier,"0,5 mg",15 stk.,28101532792,0.500,MG,"15,000"
826,Omnic,Omnic,"depotkapsler, hÃ¥rde","0,4 mg",90 stk. (blister),28103124799,0.400,MG,"90,000"
839,Orbax Vet.,Orbax Vet.,filmovertrukne tabletter,25 mg,10 stk. (blister),28103114399,"25,000",MG,"10,000"
861,Risperdal,Risperdal,filmovertrukne tabletter,"0,5 mg",500 stk.,28103023098,0.500,MG,"500,000"
875,"Hydrokortison ""DnE""","Hydrocortisone ""DNE""",creme,1%,10 ml,28100718376,"1,000",PC,"10,000"
878,"Klorhexidin ""Galderma""","Chlorhexidine ""Galderma""",creme,1%,30 ml,28100724676,"1,000",PC,"30,000"
884,Risperdal,Risperdal,filmovertrukne tabletter,1 mg,500 stk.,28101497692,"1,000",MG,"500,000"
890,"Isofluran ""Baxter""","Isoflurane ""Baxter""",vÃ¦ske til inhalationsdamp,,1 x 250 ml,28101543293,,,"250,000"
891,Didronate,Didronate,tabletter,200 mg,60 stk. (blister),28101062381,"200,000",MG,"60,000"
892,"Hydrokortison ""DnE""","Hydrocortisone ""DNE""",creme,1%,30 ml,28100718376,"1,000",PC,"30,000"
895,Risperdal,Risperdal,filmovertrukne tabletter,2 mg,500 stk.,28101497792,"2,000",MG,"500,000"
897,Nobilis gumboro D78 Vet.,Nobilis Gumboro D78 Vet.,pulver til oplÃ¸sning i drikkevand,10.000 TCID50/dosis,10 x 5000 doser,28101493392,"10,000,000",TCI,"50,000,000"
898,"Hydrokortison ""DnE""","Hydrocortisone ""DNE""",salve,1%,10 ml,28100718476,"1,000",PC,"10,000"
900,"Simvastatin ""Cross Pharma""","Simvastatin ""Cross Pharma""",filmovertrukne tabletter,10 mg,28 stk. (blister),28101869097,"10,000",MG,"28,000"
901,Pylorid,Pylorid,filmovertrukne tabletter,400 mg,14 stk. (blister),28101763295,"400,000",MG,"14,000"
902,"Isosorbidmononitrat ""Cross Pharma""","Isosorbide mononitrate ""Cross Pharma""",depottabletter (duretter),60 mg,28 stk.,28103019198,"60,000",MG,"28,000"
908,"Valproinsyre ""Cross Pharma"" Retard","Valproic acid ""Cross Pharma"" Retard",depottabletter,300 mg,100 stk. (blister),28103029998,"300,000",MG,"100,000"
909,"Hydrokortison ""DnE""","Hydrocortisone ""DNE""",salve,1%,30 ml,28100718476,"1,000",PC,"30,000"
914,Nobilis gumboro D78 Vet.,Nobilis Gumboro D78 Vet.,pulver til oplÃ¸sning i drikkevand,10.000 TCID50/dosis,1/10 af: 10 x 5000 doser,28101493392,"10,000,000",TCI,"5,000,000"
