source_code,source_name,target_concept_id,rxnorm_id,target_name
P01AX07,trimetrexate,1750928,42333,Trimetrexate
N05CD11,loprazolam,19042550,38555,triazulenone
G03AC03,levonorgestrel,1589505,6373,Levonorgestrel
H02AB02,dexamethasone,1518254,3264,Dexamethasone
D06BB01,idoxuridine,19078156,5653,Idoxuridine
A10BX04,exenatide,1583722,60548,exenatide
J05AF10,entecavir,1711246,306266,entecavir
N06AA17,amoxapine,713109,722,Amoxapine
A16AA03,glutamine,19060985,4885,Glutamine
H05AA02,teriparatide,1521987,32915,Teriparatide
A06AC06,methylcellulose,905371,6873,Methylcellulose
R03CC14,reproterol,19035396,35373,reproterol
G02CB02,lisuride,19091472,6446,Lisuride
N05BA13,halazepam,801396,26412,halazepam
A04AA05,palonosetron,911354,70561,palonosetron
G03AD02,ulipristal,40225722,1005921,ulipristal
R06AX05,antazoline,951237,865,Antazoline
R03CC11,tulobuterol,19043191,38967,tulobuterol
C07AG02,carvedilol,1346823,20352,carvedilol
M03BX02,tizanidine,778474,57258,tizanidine
A14AA02,stanozolol,1636145,10032,Stanozolol
B05BA02,fat emulsions,19135909,91211,Fat emulsion
R03CC12,bambuterol,19034275,18751,bambuterol
G04BD08,solifenacin,916005,322167,Solifenacin
M02AA13,ibuprofen,1177480,5640,Ibuprofen
C01BA03,disopyramide,1335606,3541,Disopyramide
A04AD11,nabilone,913440,31447,nabilone
J05AC03,tromantadine,19101679,38868,tromantadine
B02BX01,etamsylate,19049350,4112,Ethamsylate
A07EA06,budesonide,939259,19831,Budesonide
D08AF01,nitrofural,920378,7455,Nitrofurazone
A16AA02,ademetionine,1363981,9504,S-Adenosylmethionine
H01CB02,octreotide,1522957,7617,Octreotide
M01AA06,kebuzone,19069191,28198,kebuzone
H01BA02,desmopressin,1517070,3251,desmopressin
D06BB05,inosine,44784845,1483575,Inosine
V04CD04,corticorelin,19048699,214461,Corticotropin-Releasing Hormone
P01AA04,chlorquinaldol,19095028,2407,Chlorquinaldol
R06AA02,diphenhydramine,1129625,3498,Diphenhydramine
L01XC13,pertuzumab,42801287,1298944,pertuzumab
B02BA02,menadione,19001579,6728,Vitamin K 3
C03AA05,polythiazide,948787,8565,Polythiazide
N01BB08,articaine,19080512,592464,Articaine
N05AD06,bromperidol,19039227,19777,bromperidol
D02BB01,betacarotene,19037223,19143,Beta Carotene
N04AA03,metixene,19072058,29682,methixene
C04AD01,pentifylline,19022570,33086,pentifylline
J01CA16,sulbenicillin,19000817,10168,Sulbenicillin
A04AA03,tropisetron,19002800,27392,tropisetron
C04AX11,bencyclane,19016320,1367,Bencyclane
A03FA02,cisapride,932196,35255,Cisapride
A03FA01,metoclopramide,906780,6915,Metoclopramide
J02AX06,anidulafungin,19026450,341018,anidulafungin
L03AA03,molgramostim,19009676,70161,molgramostim
P01AX02,emetine,19041857,3820,Emetine
D04AA04,tripelennamine,1105853,10847,Tripelennamine
N05BE01,buspirone,733301,1827,Buspirone
J01CA03,carbenicillin,1740546,2015,Carbenicillin
S01XA13,alteplase,1347450,8410,alteplase
V03AH01,diazoxide,1523280,3327,Diazoxide
R05DA04,codeine,1201620,2670,Codeine
C10AX09,ezetimibe,1526475,341248,ezetimibe
D04AB07,pramocaine,927478,34347,pramoxine
L01AX03,temozolomide,1341149,37776,temozolomide
C05BB05,phenol,923540,33290,phenol
A01AA01,sodium fluoride,19069022,9873,Sodium Fluoride
J07BL01,"yellow fever, live attenuated",559532,89890,Yellow Fever Vaccine
J05AB09,famciclovir,1703603,68099,famciclovir
V08AB08,iopentol,19069110,27779,iopentol
C01CA02,isoprenaline,1183554,6054,Isoproterenol
B05XA17,potassium acetate,19076414,54987,Potassium Acetate
L04AB04,adalimumab,1119119,327361,adalimumab
A07BC01,pectin,922191,32987,pectin
C01CA15,gepefrine,19103723,41157,gepefrine
G03DB08,dienogest,19054876,22968,dienogest
D04AA01,thonzylamine,43012162,1360721,thonzylamine
D08AX04,tosylchloramide sodium,19036053,20762,chloramine-T
D06BA03,mafenide,992716,6572,Mafenide
J01CA04,amoxicillin,1713332,723,Amoxicillin
J01XX05,methenamine,904356,6832,Methenamine
M01AE12,oxaprozin,1118045,32613,oxaprozin
N05AD07,benperidol,19016440,1373,Benperidol
B05XA15,potassium lactate,19014213,314797,POTASSIUM LACTATE
C01EA01,alprostadil,1381504,598,Alprostadil
S01AX09,chlorhexidine,1790812,2358,Chlorhexidine
B01AE01,desirudin,19011712,114934,desirudin
R03CC05,hexoprenaline,19068969,5307,Hexoprenaline
L01XD04,aminolevulinic acid,904351,683,Aminolevulinic Acid
N01AH04,phenoperidine,19132889,8143,Phenoperidine
N05AD05,pipamperone,19093225,33739,pipamperone
A03AX13,silicones,19066894,9778,Silicones
M01CB03,auranofin,1114771,1227,Auranofin
S01AD01,idoxuridine,19078156,5653,Idoxuridine
J06BB02,tetanus immunoglobulin,561401,91603,"Tetanus immune globulin, human"
J01MA15,gemifloxacin,1716721,138099,gemifloxacin
S02AA11,polymyxin B,948582,8536,Polymyxin B
D03AX03,dexpanthenol,988294,22701,dexpanthenol
S01EC03,dorzolamide,981709,60207,dorzolamide
J01MA14,moxifloxacin,1716903,139462,moxifloxacin
P02CA02,tiabendazole,1837289,10450,Thiabendazole
R02AB02,tyrothricin,19006842,10968,Tyrothricin
C10AB11,choline fenofibrate,43560137,1433887,Choline Fenofibrate
D10AF03,chloramphenicol,990069,2348,Chloramphenicol
A07AX04,nifurzide,19015225,31786,nifurzide
N02AX02,tramadol,1103314,10689,Tramadol
G04CB02,dutasteride,989482,228790,Dutasteride
P01AB07,secnidazole,19037983,36314,secnidazole
J01CA08,pivmecillinam,19088223,627,Amdinocillin Pivoxil
L03AC02,oprelvekin,1318030,139994,Oprelvekin
B05XB02,alanyl glutamine,42904285,1359422,alanylglutamine
D07XC01,betamethasone,920458,1514,Betamethasone
S01AE02,norfloxacin,1721543,7517,Norfloxacin
B02BC07,collagen,19069049,2714,Collagen
L01XE13,afatinib,43533090,1430438,Afatinib
D07AC09,budesonide,939259,19831,Budesonide
B05CA03,nitrofural,920378,7455,Nitrofurazone
M01AX07,benzydamine,19019620,1425,Benzydamine
N06AA11,protriptyline,754270,8886,Protriptyline
V04CC03,sincalide,19067803,9800,Sincalide
L01XD03,methyl aminolevulinate,19025194,337068,methyl 5-aminolevulinate
A10BB04,glibornuride,19001409,102846,glibornuride
D07XB02,triamcinolone,903963,10759,Triamcinolone
L04AA26,belimumab,40236987,1092437,belimumab
N02CX03,iprazochrome,19113032,51486,iprazochrome
B01AC11,iloprost,1344992,40138,Iloprost
G01AC03,chlorquinaldol,19095028,2407,Chlorquinaldol
C01BG01,moracizine,1344996,40169,Moricizine
N07AA30,ambenonium,787362,623,Ambenonium
