atc_concept_code,atc_concept_name,atc_concept_id,ingredient_concept_code,ingredient_concept_name,ingredient_concept_id,standard_concept,relationship_ids,n_relationships
D11AH04,alitretinoin,40253354,81864,alitretinoin,941052,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03FA05,alizapride,21600488,17311,alizapride,19030087,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CA21,allobarbital,21604624,516,allobarbital,19113034,S,"ATC - RxNorm,Maps to",2
M04AA01,allopurinol,21604131,519,Allopurinol,1167322,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03DC01,allylestrenol,21602552,525,Allylestrenol,19068397,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02AD05,almasilate,21600073,17614,aluminum magnesium silicate,19018438,S,"ATC - RxNorm,Maps to",2
M01AE16,alminoprofen,21603982,17387,alminoprofen,19018431,S,"ATC - RxNorm,Inferred class of,Maps to",3
R07AB07,almitrine,21603543,528,Almitrine,19113052,S,"ATC - RxNorm,Inferred class of,Maps to",3
N02CC05,almotriptan,21604380,279645,almotriptan,1103552,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BH04,alogliptin,21600787,1368001,alogliptin,43013884,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02AB06,aloglutamol,21600061,17392,aloglutamol,19030323,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03AE01,alosetron,21600170,85248,alosetron,948555,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AC15,aloxiprin,21600998,17393,aloxiprin,19018432,S,"ATC - RxNorm,Inferred class of,Maps to",3
N02BA02,aloxiprin,21604306,17393,aloxiprin,19018432,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05BA12,alprazolam,21604577,596,Alprazolam,781039,S,"ATC - RxNorm,Inferred class of,Maps to",3
C07AA01,alprenolol,21601667,597,Alprenolol,19081284,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01EA01,alprostadil,21600362,598,Alprostadil,1381504,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BE01,alprostadil,21602646,598,Alprostadil,1381504,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AD02,alteplase,21601008,8410,alteplase,1347450,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA13,alteplase,21605139,8410,alteplase,1347450,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX03,altretamine,21603786,5296,Altretamine,1368823,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA07,alum,21605133,54989,aluminum potassium sulfate,19115033,S,"ATC - RxNorm,Maps to",2
S02AA04,aluminium acetotartrate,21605150,46239,aluminum acetotartrate,19112524,S,"ATC - RxNorm,Maps to",2
D10AX01,aluminium chloride,21602312,46241,aluminum chloride,957393,S,"ATC - RxNorm,Maps to",2
M05BX02,aluminium chlorohydrate,21604167,17610,aluminum chlorhydrate,19030673,S,"ATC - RxNorm,Maps to",2
D09AA08,aluminium chlorohydrate,21602271,17610,aluminum chlorhydrate,19030673,S,"ATC - RxNorm,Maps to",2
A02AB07,aluminium glycinate,21600062,23162,dihydroxyaluminum aminoacetate,19089733,S,Inferred class of,1
A02AB01,aluminium hydroxide,21600056,612,Aluminum Hydroxide,985247,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AX04,aluminium oxide,21602315,615,Aluminum Oxide,19123348,S,"ATC - RxNorm,Maps to",2
A02AB03,aluminium phosphate,21600058,17618,aluminum phosphate,19030675,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03AX08,alverine,21600182,17627,alverine,19030751,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AH02,alvimopan,21600595,480639,alvimopan,19059654,S,"ATC - RxNorm,Inferred class of,Maps to",3
N04BB01,amantadine,21604471,620,Amantadine,19087090,S,"ATC - RxNorm,Inferred class of,Maps to",3
N07AA30,ambenonium,21604807,623,Ambenonium,787362,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02KX02,ambrisentan,21600449,358274,ambrisentan,1337068,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05CB06,ambroxol,21603385,625,Ambroxol,19088167,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AC11,amcinonide,21602130,17652,amcinonide,930747,S,"ATC - RxNorm,Inferred class of,Maps to",3
A08AA03,amfepramone,21600684,3389,Diethylpropion,725822,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BA01,amfetamine,21604754,725,Amphetamine,714785,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AF05,amifostine,21605273,4126,Amifostine,1350040,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AA21,amikacin,21603572,641,Amikacin,1790868,S,"ATC - RxNorm,Inferred class of,Maps to",3
D06AX12,amikacin,21602071,641,Amikacin,1790868,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01GB06,amikacin,21602999,641,Amikacin,1790868,S,"ATC - RxNorm,Inferred class of,Maps to",3
C03DB01,amiloride,21601539,644,Amiloride,991382,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA19,amineptine,21604706,17698,amineptin,19032424,S,"ATC - RxNorm,Maps to",2
B05BA01,amino acids,21601155,658,Amino Acids,19124969,S,"ATC - RxNorm,Inferred class of,Maps to",3
B05BA01,amino acids,21601155,3024,Cysteine,19010955,S,Inferred class of,1
D08AA02,aminoacridine,21602199,645,Aminacrine,19091514,S,"ATC - RxNorm,Maps to",2
D02BA01,aminobenzoic acid,21601981,74,4-Aminobenzoic Acid,19018384,S,"ATC - RxNorm,Inferred class of,Maps to",3
N03AG03,aminobutyric acid,21604424,70582,Aminobutyric Acid,19126447,,ATC - RxNorm,1
B02AA01,aminocaproic acid,21601035,99,6-Aminocaproic Acid,1369939,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02BG01,aminoglutethimide,21603839,677,Aminoglutethimide,1503057,S,"ATC - RxNorm,Inferred class of,Maps to",3
V04CH30,aminohippuric acid,21605330,42837,p-Aminohippurate,19053177,S,Inferred class of,1
V04CH30,aminohippuric acid,21605330,7832,4-Aminohippuric Acid,19129646,S,"ATC - RxNorm,Maps to",2
L01XD04,aminolevulinic acid,21603768,683,Aminolevulinic Acid,904351,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XD04,aminolevulinic acid,21603768,155002,Aminolevulinate,924120,S,Inferred class of,1
B02AA03,aminomethylbenzoic acid,21601037,14852,4-aminomethylbenzoic acid,19012200,S,"ATC - RxNorm,Maps to",2
N02BB03,aminophenazone,21604332,695,Aminopyrine,19125628,S,"ATC - RxNorm,Maps to",2
R03DA05,aminophylline,21603333,689,Aminophylline,1105775,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01BD01,amiodarone,21600270,703,Amiodarone,1309944,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AL05,amisulpride,21604552,46303,Amisulpride,19057607,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA09,amitriptyline,21604696,704,Amitriptyline,710062,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AD07,amlexanox,21600043,46307,amlexanox,957623,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03DX01,amlexanox,21603359,46307,amlexanox,957623,S,"ATC - RxNorm,Inferred class of,Maps to",3
C08CA01,amlodipine,21601747,17767,Amlodipine,1332418,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BA01,ammonium chloride,21602630,712,Ammonium Chloride,912362,S,"ATC - RxNorm,Inferred class of,Maps to",3
B05XA04,ammonium chloride,21601199,712,Ammonium Chloride,912362,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CA02,amobarbital,21604609,719,Amobarbital,712757,S,"ATC - RxNorm,Inferred class of,Maps to",3
P01BA06,amodiaquine,21604891,720,Amodiaquine,19012922,S,"ATC - RxNorm,Inferred class of,Maps to",3
D01AE16,amorolfine,21601955,17804,Amorolfine,19032619,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA17,amoxapine,21604704,722,Amoxapine,713109,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01CA04,amoxicillin,21602823,723,Amoxicillin,1713332,S,"ATC - RxNorm,Inferred class of,Maps to",3
J02AA01,amphotericin B,21603074,236594,amphotericin B liposomal,19056402,S,Inferred class of,1
G01AA03,amphotericin B,21602365,732,Amphotericin B,1717240,S,"ATC - RxNorm,Inferred class of,Maps to",3
A07AA07,amphotericin B,21600609,732,Amphotericin B,1717240,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AB04,amphotericin B,21600014,732,Amphotericin B,1717240,S,"ATC - RxNorm,Inferred class of,Maps to",3
J02AA01,amphotericin B,21603074,732,Amphotericin B,1717240,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AA19,ampicillin,21603570,733,Ampicillin,1717327,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01CA01,ampicillin,21602820,733,Ampicillin,1717327,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AE05,amprenavir,21603153,228656,Amprenavir,1789428,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01CE01,amrinone,21600307,738,Inamrinone,19017805,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX01,amsacrine,21603784,739,Amsacrine,19017810,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AB22,amyl nitrite,21605247,742,Amyl Nitrite,1319051,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX35,anagrelide,21603806,596724,anagrelide,1381253,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AC03,anakinra,21603917,72435,anakinra,1114375,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02BG03,anastrozole,21603841,84857,anastrozole,1348265,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AA12,ancestim,21603855,140502,ancestim,19018070,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AD09,ancrod,21601015,772,Ancrod,19024544,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AX02,anethole trithione,21600953,820,Anethole Trithione,19041226,S,"ATC - RxNorm,Inferred class of,Maps to",3
J02AX06,anidulafungin,21603088,341018,anidulafungin,19026450,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01AH05,anileridine,21604205,17933,anileridine,19032662,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BX11,aniracetam,21604779,17939,aniracetam,19032667,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AD03,anistreplase,21601009,40028,Anistreplase,19044890,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AX05,antazoline,21603508,865,Antazoline,951237,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AC04,antazoline,21605036,865,Antazoline,951237,S,"ATC - RxNorm,Inferred class of,Maps to",3
J07AC01,anthrax antigen,21601281,404774,Anthrax Vaccine Adsorbed,19045672,S,Inferred class of,1
J06BB01,anti-D (rh) immunoglobulin,21601259,35465,Rho(D) Immune Globulin,535714,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02AA30,"antiinfectives, combinations",21605163,168,Acetic Acid,929549,S,Inferred class of,1
S02AA30,"antiinfectives, combinations",21605163,14997,4-cresyl acetate,920064,S,Inferred class of,1
L04AA03,antilymphocyte immunoglobulin (horse),21603894,91601,Lymphocyte immune globulin,19061406,S,Inferred class of,1
R05CA07,antimony pentasulfide,21603374,1337969,antimony pentasulfide,42904041,S,"ATC - RxNorm,Maps to",2
B01AB02,antithrombin III,21600974,1009,Antithrombin III,1436169,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA04,antithymocyte immunoglobulin (rabbit),21603895,107044,Rabbit anti-human T-lymphocyte globulin,19003472,S,Inferred class of,1
B01AF02,apixaban,43534762,1364430,apixaban,43013024,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BE07,apomorphine,21602652,1043,Apomorphine,837027,S,"ATC - RxNorm,Inferred class of,Maps to",3
N04BC07,apomorphine,21604479,1043,Apomorphine,837027,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01EA03,apraclonidine,21603675,14845,apraclonidine,919986,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA32,apremilast,43534823,1492727,apremilast,44816294,S,"ATC - RxNorm,Maps to",2
A04AD12,aprepitant,21600505,754763,Fosaprepitant dimeglumine,19022131,S,Inferred class of,1
A04AD12,aprepitant,21600505,358255,aprepitant,936748,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01BB04,aprindine,21600263,1054,Aprindine,19006969,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CA05,aprobarbital,21604612,17381,aprobarbital,19030299,S,"ATC - RxNorm,Inferred class of,Maps to",3
B02AB01,aprotinin,21601039,1056,Aprotinin,19000729,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01GB12,arbekacin,21603005,26397,habekacin,19101402,S,"ATC - RxNorm,Maps to",2
C01CA22,arbutamine,21600301,61609,arbutamine,19086330,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AE03,argatroban,21601022,15202,argatroban,1322207,S,"ATC - RxNorm,Inferred class of,Maps to",3
A05BA01,arginine glutamate,21600523,114464,arginine glutamate,19011039,S,"ATC - RxNorm,Maps to",2
B05XB01,arginine hydrochloride,21601216,89918,Arginine hydrochloride,19135833,,ATC - RxNorm,1
H01BA06,argipressin,21602704,1098,Argipressin,19006871,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AX12,aripiprazole,21604562,89013,aripiprazole,757688,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX27,arsenic trioxide,21603802,18330,arsenic trioxide,1333379,S,"ATC - RxNorm,Inferred class of,Maps to",3
P01BE02,artemether,21604904,18343,artemether,19033634,S,"ATC - RxNorm,Maps to",2
P01BE03,artesunate,21604905,18346,artesunate,19018511,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BB08,articaine,21604236,592464,Articaine,19080512,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BB58,"articaine, combinations",21604245,592464,Articaine,19080512,S,Inferred class of,1
S01XA20,artificial tears and other indifferent preparations,21605143,4910,Glycerin,961145,S,Inferred class of,1
S01XA20,artificial tears and other indifferent preparations,21605143,38998,tyloxapol,943191,S,Inferred class of,1
S01XA20,artificial tears and other indifferent preparations,21605143,34693,Propylene glycol,929128,S,Inferred class of,1
S01XA20,artificial tears and other indifferent preparations,21605143,8610,Povidone,950056,S,Inferred class of,1
