vnr,Danish name,Active Substance,frequency,drugid,atccode,rxnorm_id,ingredient_concept_id,ingredient_concept_name
376434,Airomir,SALBUTAMOLSULFAT,853,28101697294,R03AC02,435,1154343,Albuterol
584797,Airomir Autohaler,SALBUTAMOLSULFAT,239,28101329088,R03AC02,237159,1192218,Levalbuterol
584797,Airomir Autohaler,SALBUTAMOLSULFAT,239,28101329088,R03AC02,435,1154343,Albuterol
88653,Airsalb,SALBUTAMOLSULFAT,73,28104043406,R03AC02,237159,1192218,Levalbuterol
88653,Airsalb,SALBUTAMOLSULFAT,73,28104043406,R03AC02,435,1154343,Albuterol
140178,Akarin,,50,28101950797,,,,
141119,Akarin,,1858,28101950797,,,,
139287,Akarin,,242,28101950897,,,,
139246,Akarin,,193,28101950897,,,,
141515,Akarin,,134,28103101599,,,,
140384,Akarin,,405,28101950697,,,,
138909,Akarin,,467,28101950897,,,,
140202,Akarin,,986,28101950797,,,,
141754,Akarin,,184,28103101599,,,,
140749,Akarin,,508,28101950697,,,,
140236,Akarin,,457,28101950797,,,,
148452,Akineton,Biperidenhydrochlorid,142,28100231857,N04AA02,1589,724908,Biperiden
198838,Akineton,Biperidenhydrochlorid,138,28100231857,N04AA02,1589,724908,Biperiden
426957,Alacor,,60,28101885097,,,,
426981,Alacor,,48,28101885197,,,,
427062,Alacor,,80,28101884997,,,,
594892,Alatopran,"LATANOPROST, TIMOLOLMALEAT",31,28104604009,S01ED51,,,
452862,Aldara,Imiquimod,48,28101813496,D06BB10,59943,981691,imiquimod
115568,Aldomet,,59,28100376261,,,,
22524,"Alendronat ""Arrow""",,673,28103778205,,,,
22493,"Alendronat ""Arrow""",,35,28103778105,,,,
22513,"Alendronat ""Arrow""",,280,28103778205,,,,
160953,"Alendronat ""Bluefish""",Natriumalendronattrihydrat,76,28104299808,M05BA04,236083,19055729,Alendronic acid
37687,"Alendronat ""Mylan""",Natriumalendronattrihydrat,117,28103606003,M05BA04,236083,19055729,Alendronic acid
37678,"Alendronat ""Mylan""",Natriumalendronattrihydrat,56,28103606003,M05BA04,236083,19055729,Alendronic acid
153895,"Alendronat ""Mylan""",Natriumalendronattrihydrat,175,28103606003,M05BA04,236083,19055729,Alendronic acid
435538,"Alendronat ""Orifarm""",Natriumalendronattrihydrat,90,28104655810,M05BA04,236083,19055729,Alendronic acid
522139,"Alendronat ""Pfizer""",,42,28104477409,,,,
112641,"Alendronat ""Ranbaxy""",,26,28103927406,,,,
108628,"Alendronat ""Sandoz""",Natriumalendronattrihydrat,661,28104110607,M05BA04,236083,19055729,Alendronic acid
108617,"Alendronat ""Sandoz""",Natriumalendronattrihydrat,39,28104110607,M05BA04,236083,19055729,Alendronic acid
143119,"Alendronat ""Sandoz""",Natriumalendronattrihydrat,407,28104110607,M05BA04,236083,19055729,Alendronic acid
143108,"Alendronat ""Sandoz""",Natriumalendronattrihydrat,90,28104110607,M05BA04,236083,19055729,Alendronic acid
28861,"Alendronat ""Stada""",Natriumalendronattrihydrat,96,28103778705,M05BA04,236083,19055729,Alendronic acid
28870,"Alendronat ""Stada""",Natriumalendronattrihydrat,259,28103778705,M05BA04,236083,19055729,Alendronic acid
111487,"Alendronat ""Teva""",Natriumalendronattrihydrat,49,28103833505,M05BA04,236083,19055729,Alendronic acid
111496,"Alendronat ""Teva""",Natriumalendronattrihydrat,335,28103833505,M05BA04,236083,19055729,Alendronic acid
24780,"Alendronat ""ratiopharm""",,92,28103778405,,,,
24993,"Alendronat ""ratiopharm""",,297,28103778405,,,,
65715,"Alfacalcidol ""Alternova""",ALFACALCIDOL,55,28103614403,A11CC03,12062,19014202,Alfacalcidol
22515,"Alfuzosin ""1A Farma""",,57,28103846305,,,,
28722,"Alfuzosin ""Orifarm""",ALFUZOSINHYDROCHLORID,49,28103472803,G04CA01,17300,930021,alfuzosin
173541,"Alfuzosin ""Pfizer""",ALFUZOSINHYDROCHLORID,33,28104579909,G04CA01,17300,930021,alfuzosin
42296,"Alfuzosin ""Sandoz""",ALFUZOSINHYDROCHLORID,109,28103846505,G04CA01,17300,930021,alfuzosin
42287,"Alfuzosin ""Sandoz""",ALFUZOSINHYDROCHLORID,87,28103846505,G04CA01,17300,930021,alfuzosin
45078,"Alfuzosin ""Stada""",ALFUZOSINHYDROCHLORID,54,28103845905,G04CA01,17300,930021,alfuzosin
462009,"Alfuzosin ""Teva""",ALFUZOSINHYDROCHLORID,50,28103473003,G04CA01,17300,930021,alfuzosin
45487,"Alfuzosin ""Winthrop""",,32,28103601903,,,,
45478,"Alfuzosin ""Winthrop""",,28,28103601903,,,,
546051,Alk (225) Phleum Pratense,Eng-rottehale,58,28101122783,V01AA02,,,
21709,Alk (503) Dermatophagoides Pteronyssinus,Dermatophagoides pteronyssinus,27,28101123283,V01AA03,,,
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,260051,19099126,WASP VENOM PROTEIN
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,1297537,42801309,yellow hornet venom protein
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,1297525,42801272,bald-faced hornet venom protein
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,854041,40162174,yellow hornet hymenoptera venom protein
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,854163,40162005,European honey bee venom protein
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,253189,19097029,Mixed vespid venom
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,324054,19082871,MIXED VESPID VENOM PROTEIN
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,235614,19055259,HYMENOPTERA ALLERGENIC EXTRACT
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,124428,19014846,White faced hornet venom
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,285170,19006951,yellowjacket venom protein
31500,Alk (802) Hvepsegift,Hveps,51,28101249785,V01AA07,124427,514834,Honey bee venom
132159,Alkasid,,71,28100912276,,,,
444406,Alkasid,,111,28100912276,,,,
48941,Allercetin,,350,28103558303,,,,
48923,Allercetin,,134,28103558303,,,,
48932,Allercetin,,168,28103558303,,,,
48914,Allercetin,,45,28103558303,,,,
475,Allergodil,AZELASTINHYDROCHLORID,70,28103020598,S01GX07,18603,934075,azelastine
109819,Allergodil,AZELASTINHYDROCHLORID,27,28101475291,R01AC03,18603,934075,azelastine
799,Allergodil,AZELASTINHYDROCHLORID,34,28101475291,R01AC03,18603,934075,azelastine
503169,Allocodan,,42,28100655674,,,,
197194,Allocodan,,121,28100473565,,,,
197186,Allocodan,,404,28100473565,,,,
503144,Allocodan,,157,28100655674,,,,
529321,"Allopurinol ""DAK""",ALLOPURINOL,576,28101058280,M04AA01,519,1167322,Allopurinol
440215,"Allopurinol ""DAK""",ALLOPURINOL,69,28101058280,M04AA01,519,1167322,Allopurinol
529362,"Allopurinol ""DAK""",ALLOPURINOL,356,28101058380,M04AA01,519,1167322,Allopurinol
11551,"Allopurinol ""DAK""",ALLOPURINOL,59,28101058280,M04AA01,519,1167322,Allopurinol
576346,"Allopurinol ""DAK""",ALLOPURINOL,35,28101058380,M04AA01,519,1167322,Allopurinol
4828,"Allopurinol ""Pharmacodane""",,25,28103198500,,,,
472442,"Allopurinol ""Teva""",ALLOPURINOL,55,28104453608,M04AA01,519,1167322,Allopurinol
137927,"Alminox ""DAK""","ALUMINIUMAMINOACETAT, hydrat, Magnesium",206,28100702376,A02AD01,,,
137901,"Alminox ""DAK""","ALUMINIUMAMINOACETAT, hydrat, Magnesium",86,28100702376,A02AD01,,,
137554,"Alminox ""DAK""",,137,28100702276,,,,
94111,Almogran,ALMOTRIPTAN DL-HYDROGEN MALEAT,29,28103149300,N02CC05,279645,1103552,almotriptan
16000,Almogran,ALMOTRIPTAN DL-HYDROGEN MALEAT,31,28103149300,N02CC05,279645,1103552,almotriptan
170240,Alnok,CETIRIZINDIHYDROCHLORID,39,28103323001,R06AE07,20610,1149196,Cetirizine
170251,Alnok,CETIRIZINDIHYDROCHLORID,88,28103323001,R06AE07,20610,1149196,Cetirizine
170262,Alnok,CETIRIZINDIHYDROCHLORID,141,28103323001,R06AE07,20610,1149196,Cetirizine
170273,Alnok,CETIRIZINDIHYDROCHLORID,217,28103323001,R06AE07,20610,1149196,Cetirizine
97824,"Alomide ""Alcon""",Lodoxamidtrometamol,63,28101700894,S01GX05,52151,967496,Lodoxamide
195479,Alopam,OXAZEPAM,30,28101202184,N05BA04,7781,724816,Oxazepam
141713,Alopam,OXAZEPAM,25,28101202284,N05BA04,7781,724816,Oxazepam
133181,Aloperidin,,48,28101917097,,,,
118745,Aloperidin,,46,28101730394,,,,
174664,Alphagan,BRIMONIDINTARTRAT,133,28101899997,S01EA05,134615,915542,brimonidine
174433,Alphagan,BRIMONIDINTARTRAT,261,28101899997,S01EA05,134615,915542,brimonidine
43043,Alterfast,FEXOFENADINHYDROCHLORID,89,28103632404,R06AX26,87636,1153428,fexofenadine
75709,Alterfast,FEXOFENADINHYDROCHLORID,27,28103632404,R06AX26,87636,1153428,fexofenadine
43052,Alterfast,FEXOFENADINHYDROCHLORID,39,28103632404,R06AX26,87636,1153428,fexofenadine
77463,Altifex,FEXOFENADINHYDROCHLORID,36,28103888705,R06AX26,87636,1153428,fexofenadine
482869,Altifex,FEXOFENADINHYDROCHLORID,32,28103888705,R06AX26,87636,1153428,fexofenadine
571046,Altifex,FEXOFENADINHYDROCHLORID,68,28103888705,R06AX26,87636,1153428,fexofenadine
198150,Alupent,,61,28100459164,,,,
4393,Amaryl,,52,28103186200,,,,
12310,Amaryl,GLIMEPIRID,273,28101688294,A10BB12,25789,1597756,glimepiride
4586,Amaryl,GLIMEPIRID,169,28101688594,A10BB12,25789,1597756,glimepiride
97881,Amaryl,GLIMEPIRID,227,28101688494,A10BB12,25789,1597756,glimepiride
91751,Amaryl,GLIMEPIRID,385,28101688294,A10BB12,25789,1597756,glimepiride
91769,Amaryl,GLIMEPIRID,714,28101688394,A10BB12,25789,1597756,glimepiride
21776,Amias,,40,28103722104,,,,
51209,Amias,,36,28104501309,,,,
51232,Amias,,28,28104501409,,,,
35933,Amias,,48,28103849905,,,,
38052,Amias,,37,28103833005,,,,
35951,Amias,,29,28103850005,,,,
21901,Amias,,66,28103722004,,,,
21890,Amias,,55,28103722004,,,,
155515,Amikal,,160,28101279386,,,,
5155,Amilco,"AMILORIDHYDROCHLORID DIHYDRAT, HYDROCHL",365,28101196884,C03EA01,,,
99135,Amilco,"AMILORIDHYDROCHLORID DIHYDRAT, HYDROCHL",141,28101196884,C03EA01,,,
81489,Amitrid,,33,28101176184,,,,
505438,"Amitriptylin ""DAK""",Amitriptylinhydrochlorid,278,28100695676,N06AA09,704,710062,Amitriptyline
578297,"Amitriptylin ""DAK""",Amitriptylinhydrochlorid,33,28100695476,N06AA09,704,710062,Amitriptyline
505420,"Amitriptylin ""DAK""",Amitriptylinhydrochlorid,655,28100695576,N06AA09,704,710062,Amitriptyline
476474,"Amitriptylin ""DAK""",Amitriptylinhydrochlorid,64,28100695576,N06AA09,704,710062,Amitriptyline
505404,"Amitriptylin ""DAK""",Amitriptylinhydrochlorid,453,28100695476,N06AA09,704,710062,Amitriptyline
98032,Amlarrow,,52,28103913306,,,,
98050,Amlarrow,,40,28103913406,,,,
127461,"Amlodipin ""1A Farma""",AMLODIPINBESILAT,64,28103655004,C08CA01,17767,1332418,Amlodipine
127484,"Amlodipin ""1A Farma""",AMLODIPINBESILAT,41,28103655204,C08CA01,17767,1332418,Amlodipine
17248,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,1841,28103370502,C08CA01,17767,1332418,Amlodipine
17218,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,1597,28103370602,C08CA01,17767,1332418,Amlodipine
21505,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,582,28103370502,C08CA01,17767,1332418,Amlodipine
17196,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,335,28103370502,C08CA01,17767,1332418,Amlodipine
21492,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,397,28103370602,C08CA01,17767,1332418,Amlodipine
17270,"Amlodipin ""Actavis""",AMLODIPINMESILATMONOHYDRAT,102,28103370602,C08CA01,17767,1332418,Amlodipine
94897,"Amlodipin ""BMM Pharma""",,28,28103909806,,,,
94915,"Amlodipin ""BMM Pharma""",,27,28103909906,,,,
94906,"Amlodipin ""BMM Pharma""",,109,28103909806,,,,
116220,"Amlodipin ""Bluefish""",AMLODIPINBESILAT,29,28104586809,C08CA01,17767,1332418,Amlodipine
116198,"Amlodipin ""Bluefish""",AMLODIPINBESILAT,116,28104586709,C08CA01,17767,1332418,Amlodipine
11237,"Amlodipin ""DuraScan""",,25,28103411902,,,,
18990,"Amlodipin ""GEA""",,141,28103538503,,,,
19012,"Amlodipin ""GEA""",,53,28103538603,,,,
86634,"Amlodipin ""Krka""",AMLODIPINBESILAT,98,28103935606,C08CA01,17767,1332418,Amlodipine
65933,"Amlodipin ""Krka""",AMLODIPINBESILAT,34,28103935506,C08CA01,17767,1332418,Amlodipine
86625,"Amlodipin ""Krka""",AMLODIPINBESILAT,229,28103935506,C08CA01,17767,1332418,Amlodipine
553024,"Amlodipin ""Orifarm""",,30,28103055498,,,,
111770,"Amlodipin ""Orifarm""",,102,28104649810,,,,
31796,"Amlodipin ""Orion""",AMLODIPINMALEAT,46,28103574903,C08CA01,17767,1332418,Amlodipine
18433,"Amlodipin ""PCD""",,47,28103527603,,,,
28645,"Amlodipin ""Pfizer""",,27,28101770895,,,,
18256,"Amlodipin ""Sandoz""",,31,28103530503,,,,
127495,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,98,28103655304,C08CA01,17767,1332418,Amlodipine
127507,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,72,28103655304,C08CA01,17767,1332418,Amlodipine
127518,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,104,28103655504,C08CA01,17767,1332418,Amlodipine
127529,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,38,28103655504,C08CA01,17767,1332418,Amlodipine
448413,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,673,28103655304,C08CA01,17767,1332418,Amlodipine
29021,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,128,28103655504,C08CA01,17767,1332418,Amlodipine
89152,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,376,28103655504,C08CA01,17767,1332418,Amlodipine
29010,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,384,28103655504,C08CA01,17767,1332418,Amlodipine
28998,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,30,28103655504,C08CA01,17767,1332418,Amlodipine
28986,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,151,28103655304,C08CA01,17767,1332418,Amlodipine
28975,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,542,28103655304,C08CA01,17767,1332418,Amlodipine
28964,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,58,28103655304,C08CA01,17767,1332418,Amlodipine
584856,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,284,28103655304,C08CA01,17767,1332418,Amlodipine
478421,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,191,28103655504,C08CA01,17767,1332418,Amlodipine
80460,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,37,28103655304,C08CA01,17767,1332418,Amlodipine
111454,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,44,28103655504,C08CA01,17767,1332418,Amlodipine
594610,"Amlodipin ""Sandoz""",AMLODIPINBESILAT,101,28103655304,C08CA01,17767,1332418,Amlodipine
151007,"Amlodipin ""Teva""",AMLODIPINBESILAT,311,28104249407,C08CA01,17767,1332418,Amlodipine
164761,"Amlodipin ""Teva""",AMLODIPINBESILAT,42,28104249407,C08CA01,17767,1332418,Amlodipine
151029,"Amlodipin ""Teva""",AMLODIPINBESILAT,232,28104249507,C08CA01,17767,1332418,Amlodipine
16192,"Amlodipin ""ratiopharm""",,56,28103538003,,,,
19261,Amlokamman,,69,28103152100,,,,
19234,Amlokamman,,438,28103151900,,,,
17354,Amlokamman,,28,28103151900,,,,
17453,Amlokamman,,94,28103151900,,,,
19239,Amlokamman,,240,28103152100,,,,
19254,Amlokamman,,39,28103151900,,,,
8295,Amlomas,,99,28103300801,,,,
8215,Amlomas,,57,28103300601,,,,
8273,Amlomas,,99,28103300601,,,,
18011,Amlori,,131,28103370302,,,,
18022,Amlori,,382,28103370302,,,,
18005,Amlori,,233,28103370402,,,,
43126,Amlori,,91,28103370302,,,,
43148,Amlori,,57,28103370402,,,,
17976,Amlori,,43,28103370402,,,,
18778,Amlovis,,42,28103361602,,,,
18751,Amlovis,,26,28103361702,,,,
19968,"Amoxicillin ""Mylan""",,93,28101226185,,,,
146697,"Amoxicillin/clavulansyre ""Actavis""","AMOXICILLINTRIHYDRAT, CLAVULANSYRE",172,28103243901,J01CR02,,,
146719,"Amoxicillin/clavulansyre ""Actavis""","AMOXICILLINTRIHYDRAT, KALIUMCLAVULANAT",53,28103244101,J01CR02,,,
553311,"Amoxicillin/clavulansyre ""Aurobindo""","AMOXICILLINTRIHYDRAT, KALIUMCLAVULANAT",83,28104514809,J01CR02,,,
31999,"Amoxicillin/clavuvlansyre ""2care4""","AMOXICILLINTRIHYDRAT, KALIUMCLAVULANAT",157,28104208807,J01CR02,,,
121582,Anafranil,CLOMIPRAMINHYDROCHLORID,46,28100983067,N06AA04,2597,798834,Clomipramine
176479,Anafranil Retard,CLOMIPRAMINHYDROCHLORID,57,28101426591,N06AA04,2597,798834,Clomipramine
60848,Anafranil Retard,CLOMIPRAMINHYDROCHLORID,33,28101129383,N06AA04,2597,798834,Clomipramine
60830,Anafranil Retard,CLOMIPRAMINHYDROCHLORID,163,28101129383,N06AA04,2597,798834,Clomipramine
63398,Anartan Comp.,,82,28103660504,,,,
63374,Anartan Comp.,,156,28103660404,,,,
45343,Ancozan,LOSARTANKALIUM,220,28104119807,C09CA01,52175,1367500,Losartan
45354,Ancozan,LOSARTANKALIUM,75,28104120007,C09CA01,52175,1367500,Losartan
45365,Ancozan,LOSARTANKALIUM,820,28104120007,C09CA01,52175,1367500,Losartan
45376,Ancozan,LOSARTANKALIUM,28,28104120207,C09CA01,52175,1367500,Losartan
45387,Ancozan,LOSARTANKALIUM,419,28104120207,C09CA01,52175,1367500,Losartan
45150,Ancozan Comp,"HYDROCHLORTHIAZID, LOSARTANKALIUM",179,28104155707,C09DA01,,,
502802,Ancozan Comp,"HYDROCHLORTHIAZID, LOSARTANKALIUM",60,28104155707,C09DA01,,,
45127,Ancozan Comp,"HYDROCHLORTHIAZID, LOSARTANKALIUM",235,28104155507,C09DA01,,,
45162,Ancozan Comp,"HYDROCHLORTHIAZID, LOSARTANKALIUM",147,28104155707,C09DA01,,,
463500,Ancozan Comp,"HYDROCHLORTHIAZID, LOSARTANKALIUM",111,28104155507,C09DA01,,,
156513,Andion Forte,,36,28101287686,,,,
159244,Andion Nasal,,88,28101220285,,,,
51235,Andriol,TESTOSTERONUNDECANOAT,34,28100926477,G03BA03,10379,1636780,Testosterone
589077,Angiact,,51,28101507592,,,,
580431,Angicor,NICORANDIL,219,28101445391,C01DX16,31748,19014977,Nicorandil
580407,Angicor,NICORANDIL,201,28101445291,C01DX16,31748,19014977,Nicorandil
152058,Anorfin,,134,28101355389,,,,
95588,Antabus,DISULFIRAM,540,28100289759,N07BB01,3554,735850,Disulfiram
197632,Antabus,DISULFIRAM,60,28100289759,N07BB01,3554,735850,Disulfiram
95117,Antabus,DISULFIRAM,34,28101133083,N07BB01,3554,735850,Disulfiram
531095,Antepsin,,26,28101028179,,,,
547620,Antepsin,SUCRALFAT,82,28101167883,A02BX02,10156,1036228,Sucralfate
197400,Antistina-privin,"ANTAZOLINSULFAT, NAPHAZOLINNITRAT",1298,28100546168,S01GA51,7247,914533,Naphazoline
495168,Aprovel,IRBESARTAN,153,28101838196,C09CA04,83818,1347384,irbesartan
495127,Aprovel,IRBESARTAN,125,28101838196,C09CA04,83818,1347384,irbesartan
19688,Aprovel,IRBESARTAN,49,28103570503,C09CA04,83818,1347384,irbesartan
19655,Aprovel,IRBESARTAN,54,28103570403,C09CA04,83818,1347384,irbesartan
19666,Aprovel,IRBESARTAN,192,28103570403,C09CA04,83818,1347384,irbesartan
495317,Aprovel,IRBESARTAN,27,28101838296,C09CA04,83818,1347384,irbesartan
24093,Aprovel,IRBESARTAN,29,28103570403,C09CA04,83818,1347384,irbesartan
15847,Aprovel,IRBESARTAN,50,28101838296,C09CA04,83818,1347384,irbesartan
45427,Apydan,OXCARBAZEPIN,28,28101866396,N03AF02,32624,718122,oxcarbazepine
1304,Apydan,OXCARBAZEPIN,58,28101866496,N03AF02,32624,718122,oxcarbazepine
1191,Apydan,OXCARBAZEPIN,295,28101866396,N03AF02,32624,718122,oxcarbazepine
504092,Aquanil,,257,28101329888,,,,
467431,Aquanil,,216,28101329888,,,,
69184,Arax,PARACETAMOL,170,28103909506,N02BE01,161,1125315,Acetaminophen
69173,Arax,PARACETAMOL,38,28103909506,N02BE01,161,1125315,Acetaminophen
