vnr,drug_concept_id,concept_class_id,pname,frequency,strnum,strunut,dosf_lt,concept_name,note
13102,40016517,Clinical Drug Form,Primcillin,4118,800,MG,filmovertrukne tabletter,Bromhexine / Penicillin V Oral Tablet,""
13102,40067083,Clinical Drug Form,Primcillin,4118,800,MG,filmovertrukne tabletter,Penicillin V Oral Tablet,""
145268,40011852,Clinical Drug Form,Centyl med Kaliumklorid,4079,,,overtrukne tabletter,Bendroflumethiazide / Potassium Chloride Oral Tablet,Manual mapping
186023,40169766,Clinical Drug,Eltroxin,3641,100,RG,tabletter,Levothyroxine Sodium 0.1 MG Oral Tablet,Manual mapping
166406,1539407,Clinical Drug,"Simvastatin ""Sandoz""",3611,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,Manual mapping
19019,19004043,Clinical Drug,Hjerdyl,3609,75,MG,tabletter,Aspirin 75 MG Oral Tablet,""
510313,19109333,Clinical Drug Comp,"Kodein ""DAK""",3457,25,MG,filmovertrukne tabletter,Codeine 25 MG,Manual mapping
579177,1307123,Clinical Drug Comp,Selo-zok,3414,50,MG,depottabletter,Metoprolol 50 MG,Manual mapping
124347,19072359,Clinical Drug,Ventoline,3328,0.2,MG,inhalationspulver,Albuterol 0.2 MG/ACTUAT Inhalant Powder,Manual mapping
124347,19072359,Clinical Drug,Ventoline,3328,0.2,MG,inhalationspulver,Albuterol 0.2 MG/ACTUAT Inhalant Powder,Manual mapping
491787,19107949,Clinical Drug,"Kinin ""DAK""",3328,100,MG,filmovertrukne tabletter,Quinine 100 MG Oral Tablet,""
8453,19107374,Clinical Drug,Panodil,3213,665,MG,tabletter med modificeret udløsning,Acetaminophen 665 MG Extended Release Oral Tablet,Manual mapping
59071,19134046,Clinical Drug Comp,Dolol,3157,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG,Manual mapping
139170,19020053,Clinical Drug,Pinex,3138,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
388363,19019073,Clinical Drug,Ibumetin,3064,600,MG,tabletter,Ibuprofen 600 MG Oral Tablet,Manual mapping
7535,1103398,Clinical Drug,Mandolgin,3018,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Oral Capsule,Manual mapping
415679,19022066,Clinical Drug,Vagifem,3007,25,RG,vaginaltabletter,Estradiol 0.025 MG Vaginal Tablet,Manual mapping
516039,19040242,Clinical Drug,"Prednisolon ""DAK""",2966,5,MG,tabletter,prednisolone acetate 5 MG Oral Tablet,""
516039,1550560,Clinical Drug,"Prednisolon ""DAK""",2966,5,MG,tabletter,prednisolone 5 MG Oral Tablet,""
429555,40175210,Clinical Drug,Eltroxin,2953,50,RG,tabletter,Levothyroxine Sodium 0.05 MG Oral Tablet,Manual mapping
65052,19004043,Clinical Drug,Hjertemagnyl,2777,75,MG,tabletter,Aspirin 75 MG Oral Tablet,""
83865,19020053,Clinical Drug,Panodil,2647,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
388371,19019073,Clinical Drug,Ibumetin,2639,600,MG,tabletter,Ibuprofen 600 MG Oral Tablet,Manual mapping
516195,1551198,Clinical Drug Comp,"Prednison ""DAK""",2591,5,MG,tabletter,Prednisone 5 MG,Manual mapping
95828,1113262,Clinical Drug Comp,"Magnyl Svage ""DAK""",2468,150,MG,tabletter,Aspirin 150 MG,Manual mapping
41830,1724668,Clinical Drug,Dicillin,2460,500,MG,"kapsler, hårde",Dicloxacillin 500 MG Oral Capsule,Manual mapping
588905,40165762,Clinical Drug,Corodil,2420,10,MG,tabletter,Enalapril Maleate 10 MG Oral Tablet,""
11244,40067083,Clinical Drug Form,Vepicombin Novum,2419,1,MIU,filmovertrukne tabletter,Penicillin V Oral Tablet,""
11244,40016517,Clinical Drug Form,Vepicombin Novum,2419,1,MIU,filmovertrukne tabletter,Bromhexine / Penicillin V Oral Tablet,""
24198,40167216,Clinical Drug,"Metoprololsuccinat ""Hexal""",2380,50,MG,depottabletter,metoprolol succinate 50 MG Extended Release Oral Tablet,""
447490,957136,Clinical Drug,Diural,2282,40,MG,tabletter,Furosemide 40 MG Oral Tablet,""
487934,,Not Mapped*,Berodual,2260,,,inhalationspulver i kapsler,,R03AK03
172973,19019820,Clinical Drug,Lucosil,2181,500,MG,tabletter,Sulfamethizole 500 MG Oral Tablet,""
143800,40000515,Clinical Drug Form,Litarex,2151,6,MMO,depottabletter,Lithium / Sodium Chloride Extended Release Tablet,""
458356,19088224,Clinical Drug,Selexid,2116,200,MG,tabletter,Amdinocillin Pivoxil 200 MG Oral Tablet,""
415141,19020053,Clinical Drug,Pamol,2110,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
74702,19102133,Ingredient,Eltroxin,2018,50,RG,tabletter,Levothyroxine Sodium,""
74691,19102133,Ingredient,Eltroxin,1949,100,RG,tabletter,Levothyroxine Sodium,""
59014,19135765,Clinical Drug,Dolol,1943,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
579128,40167200,Clinical Drug,Selo-zok,1893,100,MG,depottabletter,metoprolol succinate 100 MG Extended Release Oral Tablet,""
149625,40164929,Clinical Drug,"Metformin ""Hexal""",1883,500,MG,filmovertrukne tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
5588,19102097,Ingredient,Spiriva,1881,18,RG,inhalationspulver i kapsler,tiotropium bromide,""
541060,40163429,Clinical Drug,Bricanyl Turbuhaler,1878,0.5,MGD,inhalationspulver,Terbutaline Sulfate 0.5 MG Inhalant Powder,""
141119,19023636,Clinical Drug,Akarin,1858,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
17248,1332419,Clinical Drug,"Amlodipin ""Actavis""",1841,5,MG,tabletter,Amlodipine 5 MG Oral Tablet,""
388314,19019072,Clinical Drug,Ibumetin,1797,400,MG,tabletter,Ibuprofen 400 MG Oral Tablet,Manual mapping
24503,1113262,Clinical Drug Comp,Hjertemagnyl,1795,150,MG,filmovertrukne tabletter,Aspirin 150 MG,Manual mapping
62737,19075953,Clinical Drug,Betolvex,1785,1,MG,filmovertrukne tabletter,Vitamin B 12 1 MG Oral Tablet,""
183418,40033902,Clinical Drug Form,"Digoxin ""DAK""",1755,62.5,RG,tabletter,Digoxin Oral Tablet,""
373365,,Not Mapped*,Seretide,1741,,,"inhalationspulver, afdelt",,R03AK06
382507,19135765,Clinical Drug,Dolol,1730,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
22293,1332419,Clinical Drug,Norvasc,1719,5,MG,tabletter,Amlodipine 5 MG Oral Tablet,""
18978,19077546,Clinical Drug,Furix,1705,20,MG,tabletter,Furosemide 20 MG Oral Tablet,""
79061,40185304,Clinical Drug,Cozaar,1700,50,MG,filmovertrukne tabletter,Losartan Potassium 50 MG Oral Tablet,""
40833,40164929,Clinical Drug,Orabet,1678,500,MG,filmovertrukne tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
90084,,Not Mapped*,Sparkal,1662,,,tabletter,,C03EA01
588939,40165773,Clinical Drug,Corodil,1635,20,MG,tabletter,Enalapril Maleate 20 MG Oral Tablet,""
17218,19073093,Clinical Drug,"Amlodipin ""Actavis""",1597,10,MG,tabletter,Amlodipine 10 MG Oral Tablet,""
493718,956944,Clinical Drug,Furix Retard,1595,60,MG,"depotkapsler, hårde",Furosemide 60 MG Extended Release Oral Capsule,""
174813,19026335,Ingredient,Lysantin,1591,50,MG,filmovertrukne tabletter,Orphenadrine Hydrochloride,""
65706,40058182,Clinical Drug Form,Xalatan,1587,50,RGM,"øjendråber, opløsning",latanoprost / Timolol Ophthalmic Solution,""
65706,40058188,Clinical Drug Form,Xalatan,1587,50,RGM,"øjendråber, opløsning",latanoprost Ophthalmic Solution,""
588871,40165789,Clinical Drug,Corodil,1584,5,MG,tabletter,Enalapril Maleate 5 MG Oral Tablet,""
388322,19019072,Clinical Drug,Ibumetin,1545,400,MG,tabletter,Ibuprofen 400 MG Oral Tablet,Manual mapping
512855,40016517,Clinical Drug Form,"Vepicombin ""DAK""",1534,1,MIU,tabletter,Bromhexine / Penicillin V Oral Tablet,""
512855,40067083,Clinical Drug Form,"Vepicombin ""DAK""",1534,1,MIU,tabletter,Penicillin V Oral Tablet,""
474551,905233,Ingredient,Nasonex,1534,50,RGD,"næsespray, suspension",Mometasone,""
11018,40016517,Clinical Drug Form,Vepicombin Novum,1529,1,MIU,filmovertrukne tabletter,Bromhexine / Penicillin V Oral Tablet,""
11018,40067083,Clinical Drug Form,Vepicombin Novum,1529,1,MIU,filmovertrukne tabletter,Penicillin V Oral Tablet,""
135533,40058013,Clinical Drug Form,Serevent,1515,50,RG,inhalationspulver,fluticasone / salmeterol Inhalant Powder,""
135533,40100011,Clinical Drug Form,Serevent,1515,50,RG,inhalationspulver,salmeterol Inhalant Powder,""
139162,957136,Clinical Drug,Diural,1496,40,MG,tabletter,Furosemide 40 MG Oral Tablet,""
20444,19002396,Ingredient,Locoid,1489,0.1,PC,creme,Hydrocortisone butyrate,""
24231,40167200,Clinical Drug,"Metoprololsuccinat ""Hexal""",1488,100,MG,depottabletter,metoprolol succinate 100 MG Extended Release Oral Tablet,""
23993,929889,Clinical Drug,"Lansoprazol ""KRKA""",1484,30,MG,"enterokapsler, hårde",lansoprazole 30 MG Delayed Release Oral Capsule,""
180729,,Not Mapped*,Hydrocortison m.terramycin+polymyxin-B,1446,,,"øjen- og øredråber, suspension",,S03CA04
407777,19004043,Clinical Drug,Hjertemagnyl,1438,75,MG,filmovertrukne tabletter,Aspirin 75 MG Oral Tablet,""
13679,1539411,Clinical Drug,"Simvastatin ""Hexal""",1427,20,MG,filmovertrukne tabletter,Simvastatin 20 MG Oral Tablet,""
559062,19135765,Clinical Drug,Nobligan,1419,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
13701,1539407,Clinical Drug,"Simvastatin ""Hexal""",1397,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
490466,40163429,Clinical Drug,Terbasmin Turbuhaler,1359,0.5,MGD,inhalationspulver,Terbutaline Sulfate 0.5 MG Inhalant Powder,""
20343,1539407,Clinical Drug,"Simvastatin ""Actavis""",1350,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
93278,985708,Ingredient,Nizoral,1348,2,PC,shampoo,Ketoconazole,""
70233,1539407,Clinical Drug,"Simvastatin ""Actavis""",1345,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
97139,19006427,Clinical Drug,Pondocillin,1323,500,MG,filmovertrukne tabletter,Pivampicillin 500 MG Oral Tablet,""
197400,,Not Mapped*,Antistina-privin,1298,,,"øjendråber, opløsning",,S01GA51
409748,40052436,Clinical Drug Form,Imdur,1296,30,MG,depottabletter,Isosorbide Mononitrate Extended Release Tablet,""
485946,,Not Mapped*,Corodil Comp,1281,,,tabletter,,C09BA02
83644,19020053,Clinical Drug,Panodil,1277,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
29066,40058407,Clinical Drug Form,Flixonase,1276,50,RGD,"næsespray, suspension",fluticasone Nasal Suspension,""
7095,19109333,Clinical Drug Comp,"Kodein ""DAK""",1273,25,MG,filmovertrukne tabletter,Codeine 25 MG,""
17210,19079658,Clinical Drug,Spirix,1268,25,MG,tabletter,Spironolactone 25 MG Oral Tablet,""
458349,19088224,Clinical Drug,Selexid,1266,200,MG,tabletter,Amdinocillin Pivoxil 200 MG Oral Tablet,""
496950,,Not Mapped*,Ketogan,1249,,,tabletter,,N02AG02
6024,,Not Mapped*,NovoMix 30 FlexPen,1246,100,UML,"injektionsvæske, suspension, fyldt pen",,A10AD05
13957,1596977,Ingredient,Insulatard FlexPen,1243,100,IUM,"injektionsvæske, suspension, fyldt pen","Regular Insulin, Human",""
99242,19112521,Ingredient,Fucithalmic,1238,1,PC,"øjendråber, suspension",Fusidic Acid,""
513911,40169959,Clinical Drug,"Morfin ""DAK""",1223,20,MGM,"injektionsvæske, opløsning",Morphine Sulfate 20 MG/ML Injectable Solution,""
568964,19020053,Clinical Drug,Pinex,1200,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,""
96415,1539407,Clinical Drug,"Simvastatin ""Sandoz""",1198,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
7138,19022286,Clinical Drug,Nozinan,1186,25,MG,filmovertrukne tabletter,Methotrimeprazine 25 MG Oral Tablet,""
166395,1539411,Clinical Drug,"Simvastatin ""Sandoz""",1184,20,MG,filmovertrukne tabletter,Simvastatin 20 MG Oral Tablet,""
14290,907556,Clinical Drug,Benaliv,1167,0.5,MGM,"øjendråber, suspension",levocabastine 0.5 MG/ML Ophthalmic Suspension,""
147710,19135765,Clinical Drug,Mandolgin,1164,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
1362,,Not Mapped*,Spersadex Comp.,1147,,,"øjendråber, opløsning",,S01CA01
48744,19020053,Clinical Drug,Panodil,1144,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
515858,1102596,Clinical Drug Comp,"Petidin ""DAK""",1132,100,MG,suppositorier,Meperidine 100 MG,""
515858,40164994,Clinical Drug Comp,"Petidin ""DAK""",1132,100,MG,suppositorier,Meperidine Hydrochloride 100 MG,""
66278,19102097,Ingredient,Spiriva Respimat,1130,2.5,RG,"inhalationsvæske, opløsning",tiotropium bromide,""
81843,19023636,Clinical Drug,"Citalopram ""Sandoz""",1116,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
466094,40169893,Clinical Drug,Contalgin,1106,10,MG,depottabletter,Morphine Sulfate 10 MG Extended Release Oral Tablet,""
128355,,Not Mapped*,Centyl Mite med Kaliumklorid,1087,,,overtrukne tabletter,,C03AB01
6102,,Not Mapped*,Novorapid FlexPen,1083,100,UML,"injektionsvæske, opløsning",,A10AB05
11528,19106974,Clinical Drug,Daonil,1044,3.5,MG,tabletter,Glyburide 3.5 MG Oral Tablet,""
156810,1504672,Clinical Drug,Thycapzol,1044,5,MG,tabletter,Methimazole 5 MG Oral Tablet,""
184382,1550572,Clinical Drug,"Prednisolon ""DAK""",1026,25,MG,tabletter,prednisolone 25 MG Oral Tablet,""
79053,40185304,Clinical Drug,Cozaar,1018,50,MG,filmovertrukne tabletter,Losartan Potassium 50 MG Oral Tablet,""
401851,19021720,Clinical Drug,Noritren,1015,25,MG,tabletter,Nortriptyline 25 MG Oral Tablet,""
5635,1125112,Clinical Drug Comp,Oxynorm,1002,5,MG,"kapsler, hårde",Oxycodone 5 MG,""
5635,40228550,Clinical Drug Comp,Oxynorm,1002,5,MG,"kapsler, hårde",Oxycodone Hydrochloride 5 MG,""
55336,19080217,Clinical Drug,"Pantoprazol ""Nycomed""",999,40,MG,enterotabletter,pantoprazole 40 MG Delayed Release Oral Tablet,""
93427,40067083,Clinical Drug Form,Rocilin,995,1,MIU,filmovertrukne tabletter,Penicillin V Oral Tablet,""
93427,40016517,Clinical Drug Form,Rocilin,995,1,MIU,filmovertrukne tabletter,Bromhexine / Penicillin V Oral Tablet,""
435651,766820,Clinical Drug,Seroquel,991,25,MG,filmovertrukne tabletter,quetiapine 25 MG Oral Tablet,""
155432,19000959,Clinical Drug,Truxal,990,15,MG,filmovertrukne tabletter,Chlorprothixene 15 MG Oral Tablet,""
140202,19023636,Clinical Drug,Akarin,986,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
488619,19102189,Clinical Drug,Losec,985,20,MG,enterotabletter,Omeprazole 20 MG Delayed Release Oral Tablet,""
149815,19095006,Clinical Drug,Truxal,981,25,MG,filmovertrukne tabletter,Chlorprothixene 25 MG Oral Tablet,""
21568,929889,Clinical Drug,Lanzo,978,30,MG,enterokapsler,lansoprazole 30 MG Delayed Release Oral Capsule,""
416446,,Not Mapped*,Cozaar Comp.,960,,,filmovertrukne tabletter,,C09DA01
19455,957136,Clinical Drug,Furix,948,40,MG,tabletter,Furosemide 40 MG Oral Tablet,""
76097,1334492,Clinical Drug,"Ramipril ""HEXAL""",945,5,MG,tabletter,Ramipril 5 MG Oral Tablet,""
10264,,Not Mapped*,Ciflox,935,,,"øredråber, suspension",,S02CA03
108852,939259,Ingredient,Rhinocort Aqua,934,64,RGD,"næsespray, suspension",Budesonide,""
518720,1548199,Clinical Drug,"Østradiol ""DLF""",926,2,MG,filmovertrukne tabletter,Estradiol 2 MG Oral Tablet,""
4222,19019073,Clinical Drug,"Ibuprofen ""Actavis""",924,600,MG,filmovertrukne tabletter,Ibuprofen 600 MG Oral Tablet,""
559070,19135765,Clinical Drug,Nobligan,919,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
11461,957136,Clinical Drug,Furix,913,40,MG,tabletter,Furosemide 40 MG Oral Tablet,""
50963,907879,Ingredient,Brentan,903,20,MGG,mundhulegel,Miconazole,""
4045,19019073,Clinical Drug,"Ibuprofen ""Actavis""",894,600,MG,filmovertrukne tabletter,Ibuprofen 600 MG Oral Tablet,""
195149,,Not Mapped*,Betolvex,893,1,MGM,"injektionsvæske, suspension",,B03BA02
400044,,Not Mapped*,Sofradex,886,,,øjen- og øredråber,,S03CA01
162115,40162717,Clinical Drug,Saroten,875,25,MG,tabletter,Amitriptyline Hydrochloride 25 MG Oral Tablet,""
4017,40052436,Clinical Drug Form,Isodur,868,30,MG,depottabletter,Isosorbide Mononitrate Extended Release Tablet,""
116137,40132039,Clinical Drug Form,Elocon,867,0.1,PC,creme,Mometasone Topical Cream,""
515189,920301,Clinical Drug,"Nitrofurantoin ""DAK""",867,50,MG,tabletter,Nitrofurantoin 50 MG Oral Tablet,""
152197,40167211,Clinical Drug,"Metoprololsuccinat ""Hexal""",857,25,MG,depottabletter,metoprolol succinate 25 MG Extended Release Oral Tablet,""
398074,40164929,Clinical Drug,"Metformin ""Aurobindo""",857,500,MG,filmovertrukne tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
27886,905233,Ingredient,Nasonex,856,50,RGD,"næsespray, suspension",Mometasone,""
135384,40058083,Clinical Drug Form,Flixotide,853,500,RGD,inhalationspulver,fluticasone Inhalant Powder,""
135384,40058013,Clinical Drug Form,Flixotide,853,500,RGD,inhalationspulver,fluticasone / salmeterol Inhalant Powder,""
376434,1154415,Clinical Drug,Airomir,853,0.1,MGD,"inhalationsspray, suspension",Albuterol 0.1 MG/ACTUAT Inhalant Solution,""
192625,,Not Mapped*,Centyl med Kaliumklorid,850,,,overtrukne tabletter,,C03AB01
23703,1539407,Clinical Drug,"Simvastatin ""KRKA""",846,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
65722,40058182,Clinical Drug Form,Xalatan,833,50,RGM,"øjendråber, opløsning",latanoprost / Timolol Ophthalmic Solution,""
65722,40058188,Clinical Drug Form,Xalatan,833,50,RGM,"øjendråber, opløsning",latanoprost Ophthalmic Solution,""
22368,19073093,Clinical Drug,Norvasc,829,10,MG,tabletter,Amlodipine 10 MG Oral Tablet,""
42952,1195536,Clinical Drug,Todolac,826,300,MG,filmovertrukne tabletter,Etodolac 300 MG Oral Tablet,""
511303,,Not Mapped*,Trisekvens,822,,,filmovertrukne tabletter,,G03FB05
394858,920301,Clinical Drug,"Nitrofurantoin ""DAK""",822,50,MG,tabletter,Nitrofurantoin 50 MG Oral Tablet,""
45365,40185304,Clinical Drug,Ancozan,820,50,MG,filmovertrukne tabletter,Losartan Potassium 50 MG Oral Tablet,""
9783,19135765,Clinical Drug,Mandolgin,816,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
115642,19076734,Clinical Drug,Trusopt,814,20,MGM,"øjendråber, opløsning",dorzolamide 20 MG/ML Ophthalmic Solution,""
381197,19023636,Clinical Drug,"Citalopram ""Sandoz""",814,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
11007,19080217,Clinical Drug,Pantoloc,809,40,MG,enterotabletter,pantoprazole 40 MG Delayed Release Oral Tablet,""
61390,40163342,Clinical Drug,"Propranolol ""DAK""",808,40,MG,filmovertrukne tabletter,Propranolol Hydrochloride 40 MG Oral Tablet,""
14159,725180,Clinical Drug,Remeron,807,30,MG,filmovertrukne tabletter,Mirtazapine 30 MG Oral Tablet,""
493692,19103817,Clinical Drug,Furix Retard,798,30,MG,"depotkapsler, hårde",Furosemide 30 MG Extended Release Oral Capsule,""
9326,40167211,Clinical Drug,Selo-zok,797,25,MG,depottabletter,metoprolol succinate 25 MG Extended Release Oral Tablet,""
498485,1548195,Ingredient,Vagifem,795,25,RG,vaginaltabletter,Estradiol,""
497099,,Not Mapped*,Ketogan,793,,,tabletter,,N02AG02
489609,40162307,Clinical Drug,Voltaren Rapid,792,50,MG,overtrukne tabletter,Diclofenac Potassium 50 MG Oral Tablet,""
500678,40162728,Clinical Drug,Saroten Retard,790,50,MG,depotkapsler,Amitriptyline Hydrochloride 50 MG Extended Release Oral Capsule,""
159632,19023636,Clinical Drug,Cipramil,786,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
462028,40109001,Clinical Drug Form,Dermovat,785,0.5,MGG,creme,Clobetasol Topical Cream,""
458372,19088224,Clinical Drug,Selexid,779,200,MG,tabletter,Amdinocillin Pivoxil 200 MG Oral Tablet,""
15343,42902821,Clinical Drug,Levemir,762,100,UML,"injektionsvæske, opløsning, fyldt pen",insulin detemir 100 UNT/ML Pen Injector,""
418111,40051377,Clinical Drug Form,Insulatard Pen,761,100,IUM,"injektionsvæske, suspension","insulin, isophane / Regular Insulin, Human Injectable Suspension",""
102871,40052436,Clinical Drug Form,Imdur,759,60,MG,depottabletter,Isosorbide Mononitrate Extended Release Tablet,""
522730,19134047,Clinical Drug,Tradolan,757,50,MG,tabletter,tramadol hydrochloride 50 MG Oral Tablet,""
593392,798875,Clinical Drug,Rivotril,753,0.5,MG,tabletter,Clonazepam 0.5 MG Oral Tablet,""
71666,19004043,Clinical Drug,Hjerdyl,753,75,MG,tabletter,Aspirin 75 MG Oral Tablet,""
57215,1504672,Clinical Drug,Thycapzol,742,5,MG,tabletter,Methimazole 5 MG Oral Tablet,""
416784,19133858,Clinical Drug Comp,Primcillin,742,50,MGM,granulat til oral suspension,Penicillin V Potassium 50 MG/ML,""
147736,19135765,Clinical Drug,Mandolgin,741,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
431098,19063875,Clinical Drug,Surlid,739,150,MG,filmovertrukne tabletter,Roxithromycin 150 MG Oral Tablet,""
23824,40167216,Clinical Drug,"Metoprololsuccinat ""1A Farma""",739,50,MG,depottabletter,metoprolol succinate 50 MG Extended Release Oral Tablet,""
486860,19076141,Clinical Drug,Maxidex,738,1,MGM,"øjendråber, suspension",Dexamethasone 1 MG/ML Ophthalmic Suspension,""
373340,,Not Mapped*,Seretide,731,,,"inhalationspulver, afdelt",,R03AK06
428680,1713545,Clinical Drug Comp,Flemoxin Solutab,722,250,MG,opløselige tabletter,Amoxicillin 250 MG,""
73178,40164929,Clinical Drug,"Metformin ""Sandoz""",722,500,MG,filmovertrukne tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
2309,19019820,Clinical Drug,"Sulfametizol ""Actavis""",722,500,MG,tabletter,Sulfamethizole 500 MG Oral Tablet,""
56232,19020053,Clinical Drug,Pinex,721,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,""
575324,739209,Clinical Drug,Zoloft,721,50,MG,filmovertrukne tabletter,Sertraline 50 MG Oral Tablet,""
143685,19002396,Ingredient,Locoid,714,0.1,PC,creme,Hydrocortisone butyrate,""
91769,1597772,Clinical Drug,Amaryl,714,2,MG,tabletter,glimepiride 2 MG Oral Tablet,""
22269,1332419,Clinical Drug,Norvasc,710,5,MG,tabletter,Amlodipine 5 MG Oral Tablet,""
76106,1334492,Clinical Drug,"Ramipril ""HEXAL""",708,5,MG,tabletter,Ramipril 5 MG Oral Tablet,""
168740,740302,Clinical Drug,Tegretol Retard,707,200,MG,depottabletter,Carbamazepine 200 MG Extended Release Oral Tablet,""
515239,19111043,Clinical Drug Comp,"Nitroglycerin ""DAK""",705,0.25,MG,"resoribletter, sublinguale",Nitroglycerin 0.25 MG,""
494674,,Not Mapped*,Asasantin Retard,704,,,"depotkapsler, hårde",,B01AC30
59987,1539407,Clinical Drug,"Simvastatin ""Orion""",703,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
8086,920827,Clinical Drug Comp,Betnovat,692,1,MGG,creme,Betamethasone 1 MG,""
15301,1360411,Clinical Drug Comp,"Glucosamin ""Pharma Nord""",686,400,MG,"kapsler, hårde",Glucosamine 400 MG,""
15301,19132996,Clinical Drug Comp,"Glucosamin ""Pharma Nord""",686,400,MG,"kapsler, hårde",Glucosamine hydrochloride 400 MG,""
498048,920627,Clinical Drug,Diprospan,683,7,MGM,"injektionsvæske, suspension",betamethasone dipropionate 5 MG/ML / betamethasone sodium phosphate 2 MG/ML Injectable Suspension,""
