vnr,ingredient_concept_id,drug_concept_id,concept_class_id,ma,pname,frequency,streng,strengtodecimal,dosf_lt,ao,concept_name,ingredient_concept_name,amount_value,numerator_value,denominator_value,dose_concept_id
612,1351557,19113470,Clinical Drug Comp,|,Atacand,223,4 mg,4,tabletter,|,candesartan cilexetil 4 MG,candesartan,4,,,
622,1314002,1314044,Clinical Drug,|,Tenormin,34,100 mg,100,filmovertrukne tabletter,|,Atenolol 100 MG Oral Capsule,Atenolol,100,,,19082168
622,1314002,1314006,Clinical Drug,|,Tenormin,34,100 mg,100,filmovertrukne tabletter,|,Atenolol 100 MG Oral Tablet,Atenolol,100,,,19082573
622,1314002,1314047,Clinical Drug Comp,|,Tenormin,34,100 mg,100,filmovertrukne tabletter,|,Atenolol 100 MG,Atenolol,100,,,
646,1332418,19129155,Clinical Drug,|,Norvasc,386,10 mg,10,tabletter,|,Amlodipine 10 MG Disintegrating Oral Tablet,Amlodipine,10,,,19082076
646,1332418,19073093,Clinical Drug,|,Norvasc,386,10 mg,10,tabletter,|,Amlodipine 10 MG Oral Tablet,Amlodipine,10,,,19082573
646,1332418,1332448,Clinical Drug Comp,|,Norvasc,386,10 mg,10,tabletter,|,Amlodipine 10 MG,Amlodipine,10,,,
664,1314002,19018811,Clinical Drug,|,Tenormin,73,25 mg,25,filmovertrukne tabletter,|,Atenolol 25 MG Oral Tablet,Atenolol,25,,,19082573
664,1314002,1314048,Clinical Drug Comp,|,Tenormin,73,25 mg,25,filmovertrukne tabletter,|,Atenolol 25 MG,Atenolol,25,,,
675,1314002,1314043,Clinical Drug,|,Tenormin,80,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG Oral Capsule,Atenolol,50,,,19082168
675,1314002,1314008,Clinical Drug,|,Tenormin,80,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG Oral Tablet,Atenolol,50,,,19082573
675,1314002,1314049,Clinical Drug Comp,|,Tenormin,80,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG,Atenolol,50,,,
799,934075,,,|,Allergodil,34,"0,14 mg/dosis",0.14,"nÃ¦sespray, oplÃ¸sning",|,,azelastine,,,,
803,,,,|,Omnic,26,"0,4 mg",0.4,"depotkapsler, hÃ¥rde",|,,,,,,
820,,,,|,Ovestin,26,"0,5 mg",0.5,vagitorier,|,,,,,,
875,975125,19078312,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone 1 MG/MG Topical Powder,Hydrocortisone,,1,,19082286
875,975125,19008547,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
875,975125,43013660,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
875,975125,43013662,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Lotion,Hydrocortisone,,1,,19082225
875,975125,43013664,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Solution,Hydrocortisone,,1,,19082228
875,975125,43014078,Clinical Drug,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,hydrocortisone probutate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
875,975125,975953,Clinical Drug Comp,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone 1 MG/MG,Hydrocortisone,,1,,
875,975125,19083661,Clinical Drug Comp,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone 1 MG/ML,Hydrocortisone,,1,,
875,975125,43013659,Clinical Drug Comp,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML,Hydrocortisone,,1,,
875,975125,43014077,Clinical Drug Comp,|,"Hydrokortison ""DnE""",109,1%,1,creme,|,hydrocortisone probutate 1 MG/ML,Hydrocortisone,,1,,
884,735979,19102162,Clinical Drug,|,Risperdal,87,1 mg,1,filmovertrukne tabletter,|,Risperidone 1 MG Disintegrating Oral Tablet,Risperidone,1,,,19082076
884,735979,19079462,Clinical Drug,|,Risperdal,87,1 mg,1,filmovertrukne tabletter,|,Risperidone 1 MG Oral Tablet,Risperidone,1,,,19082573
884,735979,736015,Clinical Drug,|,Risperdal,87,1 mg,1,filmovertrukne tabletter,|,Risperidone 1 MG/ML Oral Solution,Risperidone,,1,,19082170
884,735979,736056,Clinical Drug Comp,|,Risperdal,87,1 mg,1,filmovertrukne tabletter,|,Risperidone 1 MG,Risperidone,1,,,
884,735979,736057,Clinical Drug Comp,|,Risperdal,87,1 mg,1,filmovertrukne tabletter,|,Risperidone 1 MG/ML,Risperidone,,1,,
892,975125,19078312,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone 1 MG/MG Topical Powder,Hydrocortisone,,1,,19082286
892,975125,19008547,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
892,975125,43013660,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
892,975125,43013662,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Lotion,Hydrocortisone,,1,,19082225
892,975125,43013664,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML Topical Solution,Hydrocortisone,,1,,19082228
892,975125,43014078,Clinical Drug,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,hydrocortisone probutate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
892,975125,975953,Clinical Drug Comp,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone 1 MG/MG,Hydrocortisone,,1,,
892,975125,19083661,Clinical Drug Comp,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone 1 MG/ML,Hydrocortisone,,1,,
892,975125,43013659,Clinical Drug Comp,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,Hydrocortisone butyrate 1 MG/ML,Hydrocortisone,,1,,
892,975125,43014077,Clinical Drug Comp,|,"Hydrokortison ""DnE""",39,1%,1,creme,|,hydrocortisone probutate 1 MG/ML,Hydrocortisone,,1,,
895,735979,19102163,Clinical Drug,|,Risperdal,69,2 mg,2,filmovertrukne tabletter,|,Risperidone 2 MG Disintegrating Oral Tablet,Risperidone,2,,,19082076
895,735979,736053,Clinical Drug,|,Risperdal,69,2 mg,2,filmovertrukne tabletter,|,Risperidone 2 MG Oral Tablet,Risperidone,2,,,19082573
895,735979,736058,Clinical Drug Comp,|,Risperdal,69,2 mg,2,filmovertrukne tabletter,|,Risperidone 2 MG,Risperidone,2,,,
898,975125,19078312,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone 1 MG/MG Topical Powder,Hydrocortisone,,1,,19082286
898,975125,19008547,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
898,975125,43013660,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone butyrate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
898,975125,43013662,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone butyrate 1 MG/ML Topical Lotion,Hydrocortisone,,1,,19082225
898,975125,43013664,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone butyrate 1 MG/ML Topical Solution,Hydrocortisone,,1,,19082228
898,975125,43014078,Clinical Drug,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,hydrocortisone probutate 1 MG/ML Topical Cream,Hydrocortisone,,1,,19082224
898,975125,975953,Clinical Drug Comp,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone 1 MG/MG,Hydrocortisone,,1,,
898,975125,19083661,Clinical Drug Comp,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone 1 MG/ML,Hydrocortisone,,1,,
898,975125,43013659,Clinical Drug Comp,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,Hydrocortisone butyrate 1 MG/ML,Hydrocortisone,,1,,
898,975125,43014077,Clinical Drug Comp,|,"Hydrokortison ""DnE""",32,1%,1,salve,|,hydrocortisone probutate 1 MG/ML,Hydrocortisone,,1,,
922,19069136,,,|,Fem-Mono Retard,78,60 mg,60,depottabletter,|,,Isosorbide Mononitrate,,,,
991,19069136,,,|,Fem-Mono Retard,490,60 mg,60,depottabletter,|,,Isosorbide Mononitrate,,,,
1008,778474,778505,Clinical Drug,|,Sirdalud,41,2 mg,2,tabletter,|,tizanidine 2 MG Oral Capsule,tizanidine,2,,,19082168
1008,778474,778478,Clinical Drug,|,Sirdalud,41,2 mg,2,tabletter,|,tizanidine 2 MG Oral Tablet,tizanidine,2,,,19082573
1008,778474,778481,Clinical Drug Comp,|,Sirdalud,41,2 mg,2,tabletter,|,tizanidine 2 MG,tizanidine,2,,,
1025,1307046,40167213,Clinical Drug,|,Selo-zok,272,25 mg,25,depottabletter,|,Metoprolol Tartrate 25 MG Oral Tablet,Metoprolol,25,,,19082573
1025,1307046,40167211,Clinical Drug,|,Selo-zok,272,25 mg,25,depottabletter,|,metoprolol succinate 25 MG Extended Release Oral Tablet,Metoprolol,25,,,19082079
1025,1307046,1307125,Clinical Drug Comp,|,Selo-zok,272,25 mg,25,depottabletter,|,Metoprolol 25 MG,Metoprolol,25,,,
1025,1307046,40167210,Clinical Drug Comp,|,Selo-zok,272,25 mg,25,depottabletter,|,Metoprolol Tartrate 25 MG,Metoprolol,25,,,
1025,1307046,43014171,Clinical Drug Comp,|,Selo-zok,272,25 mg,25,depottabletter,|,metoprolol succinate 25 MG,Metoprolol,25,,,
1068,,,,|,Sinemet Depot Mite,57,100+25 mg,,depottabletter,|,,,,,,
1115,778474,778504,Clinical Drug,|,Sirdalud,171,4 mg,4,tabletter,|,tizanidine 4 MG Oral Capsule,tizanidine,4,,,19082168
1115,778474,778479,Clinical Drug,|,Sirdalud,171,4 mg,4,tabletter,|,tizanidine 4 MG Oral Tablet,tizanidine,4,,,19082573
1115,778474,19086277,Clinical Drug Comp,|,Sirdalud,171,4 mg,4,tabletter,|,tizanidine 4 MG,tizanidine,4,,,
1167,1536743,,,|,Orgalutran,29,"0,25 mg/0,5 ml",,"injektionsvÃ¦ske, oplÃ¸sning",|,,ganirelix,,,,
1172,,,,|,Pirom,34,20 mg,20,"kapsler, hÃ¥rde",|,,,,,,
1191,718122,43013111,Clinical Drug,|,Apydan,295,300 mg,300,tabletter,|,oxcarbazepine 300 MG Extended Release Oral Tablet,oxcarbazepine,300,,,19082079
1191,718122,718128,Clinical Drug,|,Apydan,295,300 mg,300,tabletter,|,oxcarbazepine 300 MG Oral Tablet,oxcarbazepine,300,,,19082573
1191,718122,19085103,Clinical Drug Comp,|,Apydan,295,300 mg,300,tabletter,|,oxcarbazepine 300 MG,oxcarbazepine,300,,,
1194,1118084,19029025,Clinical Drug,|,Celebra,187,200 mg,200,"kapsler, hÃ¥rde",|,celecoxib 200 MG Oral Capsule,celecoxib,200,,,19082168
1194,1118084,19107261,Clinical Drug,|,Celebra,187,200 mg,200,"kapsler, hÃ¥rde",|,celecoxib 200 MG Oral Tablet,celecoxib,200,,,19082573
1194,1118084,19081053,Clinical Drug Comp,|,Celebra,187,200 mg,200,"kapsler, hÃ¥rde",|,celecoxib 200 MG,celecoxib,200,,,
1196,,,,|,Vioxx,96,25 mg,25,tabletter,|,,,,,,
1213,,,,|,Teveten,74,600 mg,600,filmovertrukne tabletter,|,,,,,,
1239,1545958,19103503,Clinical Drug,|,Zarator,188,80 mg,80,filmovertrukne tabletter,|,atorvastatin 80 MG Oral Capsule,atorvastatin,80,,,19082168
1239,1545958,1545959,Clinical Drug,|,Zarator,188,80 mg,80,filmovertrukne tabletter,|,atorvastatin 80 MG Oral Tablet,atorvastatin,80,,,19082573
1239,1545958,1545961,Clinical Drug Comp,|,Zarator,188,80 mg,80,filmovertrukne tabletter,|,atorvastatin 80 MG,atorvastatin,80,,,
1256,,,,|,Acepril,34,10 mg,10,tabletter,|,,,,,,
1295,,,,|,Lasix,27,40 mg,40,tabletter,|,,,,,,
1304,718122,43013114,Clinical Drug,|,Apydan,58,600 mg,600,tabletter,|,oxcarbazepine 600 MG Extended Release Oral Tablet,oxcarbazepine,600,,,19082079
1304,718122,718129,Clinical Drug,|,Apydan,58,600 mg,600,tabletter,|,oxcarbazepine 600 MG Oral Tablet,oxcarbazepine,600,,,19082573
1304,718122,19085104,Clinical Drug Comp,|,Apydan,58,600 mg,600,tabletter,|,oxcarbazepine 600 MG,oxcarbazepine,600,,,
1318,,,,|,Vioxx,60,25 mg,25,tabletter,|,,,,,,
1321,,,,|,Uniderm,51,1%,1,creme,|,,,,,,
1324,,,,|,Teveten,33,600 mg,600,filmovertrukne tabletter,|,,,,,,
1326,,,,|,Avirox,80,50 mg/g,50,creme,|,,,,,,
1340,,,,|,Vioxx,60,"12,5 mg",12.5,tabletter,|,,,,,,
1362,,,,|,Spersadex Comp.,1147,1+5 mg/ml,,"Ã¸jendrÃ¥ber, oplÃ¸sning",|,,,,,,
1394,904453,19123103,Clinical Drug,|,Nexium,170,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
1394,904453,904457,Clinical Drug,|,Nexium,170,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
1394,904453,904456,Clinical Drug,|,Nexium,170,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
1394,904453,19101746,Clinical Drug,|,Nexium,170,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
1394,904453,904455,Clinical Drug Comp,|,Nexium,170,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
1408,904453,19123103,Clinical Drug,|,Nexium,172,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
1408,904453,904457,Clinical Drug,|,Nexium,172,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
1408,904453,904456,Clinical Drug,|,Nexium,172,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
1408,904453,19101746,Clinical Drug,|,Nexium,172,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
1408,904453,904455,Clinical Drug Comp,|,Nexium,172,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
1417,904453,19123103,Clinical Drug,|,Nexium,85,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
1417,904453,904457,Clinical Drug,|,Nexium,85,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
1417,904453,904456,Clinical Drug,|,Nexium,85,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
1417,904453,19101746,Clinical Drug,|,Nexium,85,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
1417,904453,904455,Clinical Drug Comp,|,Nexium,85,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
1450,904453,19123105,Clinical Drug,|,Nexium,200,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Capsule,Esomeprazole,40,,,19082255
1450,904453,904458,Clinical Drug,|,Nexium,200,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Tablet,Esomeprazole,40,,,19001949
1450,904453,19101790,Clinical Drug,|,Nexium,200,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Capsule,Esomeprazole,40,,,19082168
1450,904453,19101745,Clinical Drug,|,Nexium,200,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Tablet,Esomeprazole,40,,,19082573
1450,904453,904454,Clinical Drug Comp,|,Nexium,200,40 mg,40,enterotabletter,|,Esomeprazole 40 MG,Esomeprazole,40,,,
1452,1307046,40167218,Clinical Drug,|,Metocar,29,50 mg,50,tabletter,|,Metoprolol Tartrate 50 MG Oral Tablet,Metoprolol,50,,,19082573
1452,1307046,40167216,Clinical Drug,|,Metocar,29,50 mg,50,tabletter,|,metoprolol succinate 50 MG Extended Release Oral Tablet,Metoprolol,50,,,19082079
1452,1307046,1307123,Clinical Drug Comp,|,Metocar,29,50 mg,50,tabletter,|,Metoprolol 50 MG,Metoprolol,50,,,
1452,1307046,40167215,Clinical Drug Comp,|,Metocar,29,50 mg,50,tabletter,|,Metoprolol Tartrate 50 MG,Metoprolol,50,,,
1452,1307046,43014173,Clinical Drug Comp,|,Metocar,29,50 mg,50,tabletter,|,metoprolol succinate 50 MG,Metoprolol,50,,,
1463,904453,19123105,Clinical Drug,|,Nexium,236,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Capsule,Esomeprazole,40,,,19082255
1463,904453,904458,Clinical Drug,|,Nexium,236,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Tablet,Esomeprazole,40,,,19001949
1463,904453,19101790,Clinical Drug,|,Nexium,236,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Capsule,Esomeprazole,40,,,19082168
1463,904453,19101745,Clinical Drug,|,Nexium,236,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Tablet,Esomeprazole,40,,,19082573
1463,904453,904454,Clinical Drug Comp,|,Nexium,236,40 mg,40,enterotabletter,|,Esomeprazole 40 MG,Esomeprazole,40,,,
1490,,,,|,NovoMix 30 Penfill,43,100 E/ml,100,"injektionsvÃ¦ske, suspension",|,,,,,,
1505,904453,19123105,Clinical Drug,|,Nexium,69,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Capsule,Esomeprazole,40,,,19082255
1505,904453,904458,Clinical Drug,|,Nexium,69,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Tablet,Esomeprazole,40,,,19001949
1505,904453,19101790,Clinical Drug,|,Nexium,69,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Capsule,Esomeprazole,40,,,19082168
1505,904453,19101745,Clinical Drug,|,Nexium,69,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Tablet,Esomeprazole,40,,,19082573
1505,904453,904454,Clinical Drug Comp,|,Nexium,69,40 mg,40,enterotabletter,|,Esomeprazole 40 MG,Esomeprazole,40,,,
1512,1331247,19111251,Clinical Drug,|,Trental,26,400 mg,400,depottabletter,|,Pentoxifylline 400 MG Extended Release Oral Capsule,Pentoxifylline,400,,,19082077
1512,1331247,19079220,Clinical Drug,|,Trental,26,400 mg,400,depottabletter,|,Pentoxifylline 400 MG Extended Release Oral Tablet,Pentoxifylline,400,,,19082079
1512,1331247,19101826,Clinical Drug,|,Trental,26,400 mg,400,depottabletter,|,Pentoxifylline 400 MG Oral Tablet,Pentoxifylline,400,,,19082573
1512,1331247,1331274,Clinical Drug Comp,|,Trental,26,400 mg,400,depottabletter,|,Pentoxifylline 400 MG,Pentoxifylline,400,,,
1527,904453,19123103,Clinical Drug,|,Nexium,92,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
1527,904453,904457,Clinical Drug,|,Nexium,92,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
1527,904453,904456,Clinical Drug,|,Nexium,92,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
1527,904453,19101746,Clinical Drug,|,Nexium,92,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
1527,904453,904455,Clinical Drug Comp,|,Nexium,92,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
