concept_id,concept_name,concept_code,frequency
8623,log reduction,lg({reduction}),1
9348,log10 unit per milliliter,lg([U])/mL,1
9347,long hundredweight,[lcwt_av],1
9354,long ton (British),[lton_av],1
9543,lumen,lm,1
9545,lux,lx,1
44777565,lyme index value,[LIV],1
8586,lymphocytes per 100 cells,{lymphos}/100.{cells},1
8506,lytic unit 30 (number of cells to achieve 30% lysis of the target cells),{LU30},1
9358,mac lagan unit,[mclg'U],1
9598,maxwell,Mx,1
9269,mean British Thermal Unit,[Btu_m],1
9476,mean calorie,cal_m,1
9581,mean gregorian month,mo_g,1
9449,mean gregorian year,a_g,1
9582,mean julian month,mo_j,1
9450,mean julian year,a_j,1
9440,megaequivalent per milliliter,10*6.eq/mL,1
9592,megasecond,Ms,1
9359,mesh,[mesh_i],1
9360,metabolic equivalent,[MET],1
9546,meter,m,1
9548,meter of mercury column,m[Hg],1
9547,meter of water column,m[H2O],1
44777606,meter per second,m/s,1
8927,meter per square kilogram,m/kg2,1
44777607,meter per square second,m/s2,1
9275,metric carat,[car_m],1
9568,mho,mho,1
9652,micro-international unit,10*-6.[iU],1
44777583,micro-international unit per liter,10*-6.[iU]/L,1
9093,micro-international unit per milliliter,10*-6.[iU]/mL,1
9653,microequivalent,10*-6.eq,1
8928,microequivalent per 24 hours,10*-6.eq/(24.h),1
8929,microequivalent per kilogram,10*-6.eq/kg,1
8875,microequivalent per liter,10*-6.eq/L,1
9654,microequivalent per milliliter,10*-6.eq/mL,1
9655,microgram,ug,1
9046,microgram equivalent per milliliter,ug{eq}/mL,1
8989,microgram of fibrinogen equivalent unit per milliliter,ug{FEU}/mL,1
9656,microgram per 100 gram,ug/100.g,1
8906,microgram per 24 hours,ug/(24.h),1
45891023,microgram per 72 hours,ug/(72.h),1
45891015,microgram per actuation,ug/{actuat},1
8837,microgram per deciliter,ug/dL,1
9659,microgram per deciliter of red blood cells,ug/dL{RBC},1
9061,microgram per deciliter of thyroxine,ug/dL{thyroxine},1
45890998,microgram per dose,ug/[dose],1
8720,microgram per gram,ug/g,1
9660,microgram per gram dry weight,ug/g{dry'wt},1
9014,microgram per gram of creatinine,ug/g{creat},1
9661,microgram per gram of hemoglobin,ug/g{HBG},1
44777644,microgram per gram wet weight,ug/g{wet'wt},1
44777645,microgram per hour,ug/h,1
9688,microgram per hour per minute,ug/kg/min,1
9662,microgram per kilogram,ug/kg,1
9690,microgram per kilogram per hour,ug/kg/h,1
8748,microgram per liter,ug/L,1
8953,microgram per milliequivalent,ug/10*-3.eq,1
8838,microgram per milligram,ug/mg,1
9072,microgram per milligram of creatinine,ug/mg{creat},1
8859,microgram per milliliter,ug/mL,1
44777646,microgram per millimole of creatinine,ug/mmol{creat},1
8774,microgram per minute,ug/min,1
9664,microgram per nanogram,ug/ng,1
9657,microgram per specimen,ug/{spec},1
45891027,microgram per square centimeter,ug/cm2,1
9663,microgram per square meter,ug/m2,1
8722,microgram per time,ug/{time},1
9658,microgram per total volume,ug/{tot'vol},1
44777647,microkatal,ukat,1
9665,microliter,uL,1
45891037,microliter per gram,uL/g,1
45891029,microliter per milliliter,uL/mL,1
9666,micrometer,um,1
8775,micrometer per liter,um/L,1
9667,micromole,umol,1
8907,micromole per 24 hours,umol/(24.h),1
8839,micromole per deciliter,umol/dL,1
9668,micromole per gram,umol/g,1
9015,micromole per gram of creatinine,umol/g{creat},1
44777648,micromole per gram of dry weight,umol/g{dry'wt},1
9669,micromole per gram of hemoglobin,umol/g{HBG},1
44777649,micromole per gram of wet weight,umol/g{wet'wt},1
44777650,micromole per hour and gram of hemoglobin,umol/h/g{HGB},1
44777651,micromole per hour and gram of protein,umol/h/g{prot},1
44777652,micromole per hour and liter,umol/h/L,1
44777653,micromole per hour and milliliter,umol/h/mL,1
44777654,micromole per kilogram,umol/kg,1
8749,micromole per liter,umol/L,1
9670,micromole per milligram,umol/mg,1
9671,micromole per milligram of creatinine,umol/mg{creat},1
9673,micromole per milliliter,umol/mL,1
44777656,micromole per millimole,umol/mmol,1
9073,micromole per millimole of creatinine,umol/mmol{creat},1
44777655,micromole per minute,umol/min,1
9672,micromole per minute and gram,umol/min/g,1
9674,micromole per mole,umol/mol,1
9675,micromole per mole of creatinine,umol/mol{creat},1
44777657,micromole per mole of hemoglobin,umol/mol{HGB},1
9676,microsecond,us,1
9016,microunit per gram of hemoglobin,10*-6.[U]/g{HGB},1
8750,microunit per liter,10*-6.[U]/L,1
9163,microunit per liter of thyroid stimulationg hormone (TSH),10*-6.[U]/L{TSH},1
8860,microunit per milliliter,10*-6.[U]/mL,1
44777584,microunit per specimen,10*-6.[U]/{spec},1
9365,mil (US),[mil_us],1
9364,mil (international),[mil_i],1
9361,mile (British),[mi_br],1
9363,mile (US),[mi_us],1
44777577,milli-international unit,10*-3.[iU],1
9040,milli-international unit per liter,10*-3.[iU]/L,1
9550,milli-international unit per milliliter,10*-3.[iU]/mL,1
44777582,milliequivalent per 24 hours,10*-3.eq/(24.h),1
9553,milliequivalent per deciliter,10*-3.eq/dL,1
9554,milliequivalent per gram,10*-3.eq/g,1
9555,milliequivalent per gram of creatinine,10*-3.eq/g{creat},1
9556,milliequivalent per kilogram,10*-3.eq/kg,1
9557,milliequivalent per liter,10*-3.eq/L,1
9559,milliequivalent per milliliter,10*-3.eq/mL,1
9552,milliequivalent per specimen,10*-3.eq/{spec},1
9558,milliequivalent per square meter,10*-3.eq/m2,1
9566,milligram of creatinine,mg{creat},1
44777663,milligram of fibrinogen equivalent unit per liter,mg{FEU}/L,1
9567,milligram of phenylketones per deciliter,mg{phenylketone}/dL,1
8908,milligram per 12 hours,mg/(12.h),1
45891021,milligram per 16 hours,mg/(16.h),1
8909,milligram per 24 hours,mg/(24.h),1
45891022,milligram per 72 hours,mg/(72.h),1
45891016,milligram per actuation,mg/{actuat},1
45891002,milligram per application,mg/[App],1
9564,milligram per cubic meter,mg/m3,1
8840,milligram per deciliter,mg/dL,1
8954,milligram per deciliter adult,mg/dL{adult},1
9028,milligram per deciliter calculated,mg/dL{calc},1
9098,milligram per deciliter of phenylalanine,mg/dL{phenylalanine},1
45890997,milligram per dose,mg/[dose],1
8723,milligram per gram,mg/g,1
44777608,milligram per gram dry weight,mg/g{dry'wt},1
9017,milligram per gram of creatinine,mg/g{creat},1
44777609,milligram per gram wet weight,mg/g{wet'wt},1
44777610,milligram per hour,mg/h,1
9562,milligram per kilogram,mg/kg,1
9691,milligram per kilogram per hour,mg/kg/h,1
9692,milligram per kilogram per minute,mg/kg/min,1
8751,milligram per liter,mg/L,1
9565,milligram per milligram,mg/mg,1
9074,milligram per milligram of creatinine,mg/mg{creat},1
8861,milligram per milliliter,mg/mL,1
44777612,milligram per millimole,mg/mmol,1
9075,milligram per millimole of creatinine,mg/mmol{creat},1
44777611,milligram per minute,mg/min,1
8776,milligram per sample,mg/{sample},1
45891036,milligram per square centimeter,mg/cm2,1
9563,milligram per square meter,mg/m2,1
8724,milligram per time,mg/{time},1
9560,milligram per total volume,mg/{tot'vol},1
9561,milligram per volume,mg/{vol},1
44777664,milliliter per 12 hours,mL/(12.h),1
8930,milliliter per 24 hours,mL/(24.h),1
9570,milliliter per deciliter,mL/dL,1
45891035,milliliter per gram,mL/g,1
9569,milliliter per heart beat,mL/{hb},1
44777613,milliliter per hour,mL/h,1
9571,milliliter per kilogram,mL/kg,1
45891013,milliliter per liter,mL/L,1
45891033,milliliter per milliliter,mL/mL,1
8795,milliliter per minute,mL/min,1
9117,milliliter per minute per 1.73 square meter,mL/min/1.73.m2,1
44777614,milliliter per second,mL/s,1
8675,milliliter per specimen,mL/{spec},1
8588,millimeter,mm,1
8876,millimeter mercury column,mm[Hg],1
8752,millimeter per hour,mm/h,1
8910,millimole per 24 hours,mmol/(24.h),1
9575,millimole per deciliter,mmol/dL,1
9576,millimole per gram,mmol/g,1
9018,millimole per gram of creatinine,mmol/g{creat},1
44777617,millimole per gram of dry weight,mmol/g{wet'wt},1
44777616,millimole per gram of wet weight,mmol/g{dry'wt},1
9577,millimole per kilogram,mmol/kg,1
8753,millimole per liter,mmol/L,1
45891014,millimole per milliliter,mmol/mL,1
44777618,millimole per millimole,mmol/mmol,1
44777619,millimole per millimole of creatinine,mmol/mmol{creat},1
9579,millimole per mole,mmol/mol,1
9019,millimole per mole of creatinine,mmol/mol{creat},1
44777620,millimole per mole of hemoglobin,mmol/mol{HGB},1
44777615,millimole per specimen,mmol/{spec},1
9578,millimole per square meter,mmol/m2,1
9574,millimole per total volume,mmol/{tot'vol},1
8549,million,10*6,1
44777585,million allergen-specific IgE antibody units per liter,10*6.[UA]/L,1
44777586,million cells per liter,10*6.{cells}/L,1
44777587,million copies per liter,10*6.{copies}/L,1
8931,million per cubic millimeter,10*6/mm3,1
9442,million per liter,10*6/L,1
8815,million per microliter,10*6/uL,1
8816,million per milliliter,10*6/mL,1
9441,million per specimen,10*6/{spec},1
8605,milliosmole,mosm,1
8862,milliosmole per kilogram,mosm/kg,1
8991,milliosmole per kilogram of H20,mosm/kg{H20},1
9591,milliosmole per liter,mosm/L,1
44777623,millipascal,mPas,1
44777622,millipascal second,mPa.s,1
9593,millisecond,ms,1
9594,milliunit per gram,10*-3.[U]/g,1
9595,milliunit per gram of hemoglobin,10*-3.[U]/g{HGB},1
44777578,milliunit per liter,10*-3.[U]/L,1
9596,milliunit per milligram,10*-3.[U]/mg,1
9597,milliunit per milligram of creatinine,10*-3.[U]/mg{creat},1
8719,milliunit per milliliter,10*-3.[U]/mL,1
9366,minim (British),[min_br],1
8550,minute,min,1
9211,minute,',1
9584,mole,mol,1
9587,mole per cubic meter,mol/m3,1
9585,mole per kilogram,mol/kg,1
9586,mole per liter,mol/L,1
9588,mole per milliliter,mol/mL,1
44777621,mole per second,mol/s,1
9580,month,mo,1
45891004,month supply,mo{supply},1
8494,multiple of the median,{MOM},1
9600,nanogram,ng,1
44777624,nanogram per 24 hours,ng/(24.h),1
8817,nanogram per deciliter,ng/dL,1
8992,nanogram per deciliter per hour,ng/dL/h,1
8701,nanogram per gram,ng/g,1
9601,nanogram per gram of creatinine,ng/g{creat},1
9145,nanogram per hour per milligram of total protein,ng/h/mg[{tot'prot}],1
9602,nanogram per kilogram,ng/kg,1
8725,nanogram per liter,ng/L,1
8818,nanogram per milligram,ng/mg,1
44777625,nanogram per milligram of creatinine,ng/mg{creat},1
9604,nanogram per milligram of protein,ng/mg{prot},1
8842,nanogram per milliliter,ng/mL,1
9020,nanogram per milliliter and hour,ng/mL/h,1
9113,nanogram per milliliter of red blood cells,ng/mL{RBC},1
9081,nanogram per milliliter of trypsinogen,ng/mL{trypsinogen},1
9603,nanogram per square meter,ng/m2,1
44777626,nanokatal,nkat,1
9606,nanoliter,nL,1
45891025,nanoliter per milliliter,nL/mL,1
8577,nanometer,nm,1
9607,nanomole,nmol,1
8665,nanomole of bone collagen equivalent,nmol{BColl}eq,1
8881,nanomole of bone collagen equivalent per liter,nmol{BColl}eq/L,1
9114,nanomole of bone collagen equivalent per millimole of creatinine,nmol{BColl}eq/mmol{creat},1
44777627,nanomole per 24 hours,nmol/(24.h),1
44777628,nanomole per billion platelets,nmol/10*9.{platelets},1
9608,nanomole per deciliter,nmol/dL,1
9609,nanomole per gram,nmol/g,1
9610,nanomole per gram of creatinine,nmol/g{creat},1
44777629,nanomole per hour and gram,nmol/h/g,1
44777630,nanomole per hour and liter,nmol/h/L,1
8993,nanomole per hour and milligram,nmol/h/mg,1
44777631,nanomole per hour and milliliter,nmol/h/mL,1
44777632,nanomole per hour and milliliter red blood cells,nmol/h/mL{RBC},1
44777633,nanomole per kilogram,nmol/kg,1
8736,nanomole per liter,nmol/L,1
9611,nanomole per milligram,nmol/mg,1
44777634,nanomole per milligram of creatinine,nmol/mg{creat},1
8843,nanomole per milliliter,nmol/mL,1
9612,nanomole per millimole,nmol/mmol,1
9063,nanomole per millimole of creatinine,nmol/mmol{creat},1
44777635,nanomole per minute and milliliter,nmol/min/mL,1
9614,nanomole per mole,nmol/mol,1
44777636,nanomole per mole of creatinine,nmol/mol{creat},1
44777637,nanomole per second,nmol/s,1
8955,nanomole per second and liter,nmol/s/L,1
9616,nanosecond,ns,1
9370,nautical mile (British),[nmi_br],1
9371,nautical mile (international),[nmi_i],1
8637,negative count,[neg'count],1
9615,neper,Np,1
9599,newton,N,1
8613,normal forms,%{normal'forms},1
9433,number ten,10*,1
9273,nutrition label calories,[Cal],1
9617,oersted,Oe,1
8578,of normal,[of'normal],1
9618,ohm,Ohm,1
9619,osmole,osm,1
9620,osmole per kilogram,osm/kg,1
9621,osmole per liter,osm/L,1
9372,ounce (apothecary),[oz_ap],1
9373,ounce (avoirdupois),[oz_av],1
9374,ounce (troy system),[oz_tr],1
8482,pH,pH,1
9375,pace,[pc_br],1
9624,parsec,pc,1
8703,parts per billion,[ppb],1
9387,parts per million,[ppm],1
9154,parts per thousand,[ppth],1
9155,parts per trillion,[pptr],1
9623,pascal,Pa,1
9382,peck (British),[pk_br],1
9383,peck (US),[pk_us],1
9392,pennyweight,[pwt_tr],1
9244,per 100 spermatozoa,/100.{sperm},1
9032,per 100 white blood cells,/100.{WBC},1
44777556,per 24 hours,/(24.h),1
9235,per arbitrary unit,/[arb'U],1
9242,per billion,/10*9,1
44777558,per cubic meter,/m3,1
8785,per cubic millimeter,/mm3,1
9245,per deciliter,/dL,1
9236,per entity,/{entity},1
9246,per gram,/g,1
9247,per gram of creatinine,/g{creat},1
9248,per gram of hemoglobin,/g{HBG},1
9249,per gram of total nitrogen,/g{tot'nit},1
9250,per gram of total protein,/g{tot'prot},1
9251,per gram of wet tissue,/g{wet'tis},1
8786,per high power field,/[HPF],1
44777557,per hour,/h,1
9243,per hundred,/100,1
9252,per kilogram,/kg,1
9253,per kilogram body weight,/kg{body'wt},1
9254,per liter,/L,1
8765,per low powered field,/[LPF],1
8647,per microliter,/uL,1
9256,per milligram,/mg,1
9257,per milliliter,/mL,1
9241,per million,/10*6,1
8541,per minute,/min,1
44777658,per month,/mo,1
44777659,per second,/s,1
9255,per square meter,/m2,1
9238,per ten billion,/10*10,1
9237,per total count,/{tot},1
9239,per trillion,/10*12,1
9240,per trillion red blood cells,/10*12.{RBC},1
44777559,per week,/w,1
44777560,per year,/y,1
9215,percent 0 to 3 hours,%{0'to3'hours},1
8659,percent CD19+ cells,%{CD19+'cells},1
9216,percent abnormal,%{abnormal},1
8687,percent activity,%{activity},1
8800,percent at 60 minutes,%{at'60'min},1
9217,percent basal activity,%{basal'activity},1
8688,percent baseline,%{baseline},1
9218,percent binding,%{binding},1
9219,percent blockade,%{blockade},1
9220,percent bound,%{bound},1
44777555,percent calculated,%{calc],1
9221,percent carboxyhemoglobin,%{carboxyhemoglobin},1
8849,percent enzyme activity,%(enzyme'activity},1
9222,percent eosinophils,%{eos},1
9223,percent excretion,%{excretion},1
9224,percent fetal erythrocytes,%{fetal'erythrocytes},1
8737,percent hemoglobin,%{of'HGB},1
9225,percent hemoglobin A1c,%{HbA1c},1
9226,percent hemolysis,%{hemolysis},1
8660,percent in gate,%{in'gate},1
8738,percent inhibition,%{inhibition},1
8604,percent mean normal,%{mean'normal},1
9681,percent normal pooled plasma,%{normal'plasma},1
9227,percent of bacteria,%{of'bacteria},1
9228,percent of lymphocytes,%{of'lymphos],1
8648,percent of normal,%{of'normal},1
8553,percent of sperm with positive binding,%{sperm'binding},1
9229,percent of white blood cells,%{of'WBC},1
9230,percent oxygen,%{oxygen},1
9231,percent positive,%{positive},1
8728,percent saturation,%{sat},1
9214,percent slope,%[slope],1
9232,percent sperm motility,%{sperm'motility},1
8632,percent total,%{tot},1
9233,percent total protein,%{tot'prot},1
8649,percent uptake,%{uptake},1
