dosf_lt,dosf_lt_corrected,dosf_lt_en,frequency,concept_id,concept_name,lev_score
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,46234466,auto-injector,15
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,46234469,injection,15
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,19016586,irrigation solution,15
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,46275062,jet injector,15
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,19135439,augmented topical lotion,16
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,45775491,powder for oral solution,16
,,#VALUE!,656,19124967,cement,7
,,#VALUE!,656,19110977,cream,7
,,#VALUE!,656,19112648,douche,7
,,#VALUE!,656,19112544,gel,7
,,#VALUE!,656,19135843,liquid,7
,,#VALUE!,656,19127776,pack,7
,,#VALUE!,656,19102295,paste,7
,,#VALUE!,656,19135790,powder,7
,,#VALUE!,656,19111155,solid,7
enterotabletter,enterotabletter,resistant tablets,607,19010962,vaginal tablet,8
enterotabletter,enterotabletter,resistant tablets,607,40175589,buccal tablet,9
enterotabletter,enterotabletter,resistant tablets,607,19082573,oral tablet,9
enterotabletter,enterotabletter,resistant tablets,607,19135866,chewable tablet,10
enterotabletter,enterotabletter,resistant tablets,607,19082285,sublingual tablet,10
enterotabletter,enterotabletter,resistant tablets,607,19082197,rectal cream,11
enterotabletter,enterotabletter,resistant tablets,607,19095917,rectal gel,11
enterotabletter,enterotabletter,resistant tablets,607,19082198,rectal powder,11
enterotabletter,enterotabletter,resistant tablets,607,19001943,tablet,11
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,46234469,injection,0
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19011932,lotion,5
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19111276,solution,5
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,46275062,jet injector,6
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,46234467,pen injector,6
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19001144,suspension,6
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19124967,cement,7
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19082627,enema,7
"infusionsvÃ¦ske, oplÃ¸sning",injektionsvæske,injection,521,19018195,inhalant,7
creme,creme,cream,509,19110977,cream,0
creme,creme,cream,509,19082102,foam,3
creme,creme,cream,509,19082653,bar,4
creme,creme,cream,509,19082254,beads,4
creme,creme,cream,509,19124967,cement,4
creme,creme,cream,509,19082627,enema,4
creme,creme,cream,509,40228366,gas,4
creme,creme,cream,509,19112544,gel,4
creme,creme,cream,509,19095899,spray,4
kapsler,kapsler,capsules,505,19021887,capsule,1
kapsler,kapsler,capsules,505,19135868,caplet,3
kapsler,kapsler,capsules,505,19102295,paste,5
kapsler,kapsler,capsules,505,19001943,tablet,5
kapsler,kapsler,capsules,505,40228366,gas,6
kapsler,kapsler,capsules,505,19082163,nasal gel,6
kapsler,kapsler,capsules,505,19082168,oral capsule,6
kapsler,kapsler,capsules,505,19135790,powder,6
kapsler,kapsler,capsules,505,19111155,solid,6
inhalationspulver,inhalationspulver,inhalation,452,19018195,inhalant,4
inhalationspulver,inhalationspulver,inhalation,452,46234469,injection,4
inhalationspulver,inhalationspulver,inhalation,452,19011932,lotion,5
inhalationspulver,inhalationspulver,inhalation,452,19111276,solution,5
inhalationspulver,inhalationspulver,inhalation,452,19082259,inhalant powder,7
inhalationspulver,inhalationspulver,inhalation,452,19095898,inhalant solution,7
inhalationspulver,inhalationspulver,inhalation,452,19082195,otic solution,7
inhalationspulver,inhalationspulver,inhalation,452,19001144,suspension,7
inhalationspulver,inhalationspulver,inhalation,452,19082225,topical lotion,8
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,45775488,powder for nasal solution,27
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,45775491,powder for oral solution,27
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,45775489,granules for oral solution,28
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,45775492,powder for oral suspension,28
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,45775490,granules for oral suspension,29
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,19059413,ophthalmic irrigation solution,30
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,19082106,intravenous solution,31
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,19082192,orderable drug form,31
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","pulver og solvens til injektionsvæske, opløsning",powder and solvent for solution for injection,426,19095898,inhalant solution,32
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19082653,bar,3
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,40228366,gas,3
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19112544,gel,3
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,40228565,oil,3
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19082630,disk,4
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19082102,foam,4
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19127776,pack,4
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19082627,enema,5
peritonealdialysevÃ¦ske,peritonealdialysevæske,PD,393,19082223,syrup,5
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19021887,capsule,1
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19135868,caplet,3
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19102295,paste,5
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19001943,tablet,5
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,40228366,gas,6
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19082163,nasal gel,6
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19082168,oral capsule,6
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19135790,powder,6
"depotkapsler, hÃ¥rde","kapsler, hårde",capsules,370,19111155,solid,6
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,45775491,powder for oral solution,22
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,45775492,powder for oral suspension,22
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,19082105,intraperitoneal solution,23
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,19082106,intravenous solution,23
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,45775488,powder for nasal solution,23
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,45775489,granules for oral solution,24
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,19082103,injectable solution,24
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,19082260,intrathecal suspension,24
"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","koncentrat til infusionsvæske, opløsning",concentrate for solution for infusion,370,19095915,intravenous suspension,24
oral oplÃ¸sning,oral opløsning,oral solution,347,19082170,oral solution,0
oral oplÃ¸sning,oral opløsning,oral solution,347,19082165,nasal solution,3
oral oplÃ¸sning,oral opløsning,oral solution,347,19082195,otic solution,3
oral oplÃ¸sning,oral opløsning,oral solution,347,19082283,rectal solution,4
oral oplÃ¸sning,oral opløsning,oral solution,347,19082228,topical solution,4
oral oplÃ¸sning,oral opløsning,oral solution,347,19111276,solution,5
oral oplÃ¸sning,oral opløsning,oral solution,347,19095898,inhalant solution,6
oral oplÃ¸sning,oral opløsning,oral solution,347,19095975,oral ointment,6
oral oplÃ¸sning,oral opløsning,oral solution,347,19082191,oral suspension,6
depotplastre,depotplastre,transdermal patches,338,19082229,transdermal patch,2
depotplastre,depotplastre,transdermal patches,338,19082252,weekly transdermal patch,9
depotplastre,depotplastre,transdermal patches,338,19082049,16 hour transdermal patch,10
depotplastre,depotplastre,transdermal patches,338,19082071,24 hour transdermal patch,10
depotplastre,depotplastre,transdermal patches,338,19082072,72 hour transdermal patch,10
depotplastre,depotplastre,transdermal patches,338,19082073,biweekly transdermal patch,11
depotplastre,depotplastre,transdermal patches,338,19095918,oral paste,12
depotplastre,depotplastre,transdermal patches,338,19082198,rectal powder,12
depotplastre,depotplastre,transdermal patches,338,19010962,vaginal tablet,13
salve,salve,ointment,335,19129401,ointment,0
salve,salve,ointment,335,19124967,cement,4
salve,salve,ointment,335,19018195,inhalant,5
salve,salve,ointment,335,19095975,oral ointment,5
salve,salve,ointment,335,19082194,otic ointment,5
salve,salve,ointment,335,19082627,enema,6
salve,salve,ointment,335,19011932,lotion,6
salve,salve,ointment,335,19082164,nasal ointment,6
salve,salve,ointment,335,19001943,tablet,6
infusionsvÃ¦ske,infusionsvæske,infusion,319,46234469,injection,4
infusionsvÃ¦ske,infusionsvæske,infusion,319,19111276,solution,4
infusionsvÃ¦ske,infusionsvæske,infusion,319,19011932,lotion,5
infusionsvÃ¦ske,infusionsvæske,infusion,319,19018195,inhalant,6
infusionsvÃ¦ske,infusionsvæske,infusion,319,19135843,liquid,6
infusionsvÃ¦ske,infusionsvæske,infusion,319,19001144,suspension,6
infusionsvÃ¦ske,infusionsvæske,infusion,319,19057400,bar soap,7
infusionsvÃ¦ske,infusionsvæske,infusion,319,19021887,capsule,7
infusionsvÃ¦ske,infusionsvæske,infusion,319,19018708,elixir,7
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19021887,capsule,7
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19135868,caplet,9
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19082075,chewable bar,9
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19011167,nasal spray,9
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19082161,nasal cream,10
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19082163,nasal gel,10
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19126919,nasal inhaler,10
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19000942,suppository,11
"enterokapsler, hÃ¥rde","enterokapsler, hårde","capsules, hard",317,19001943,tablet,11
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19082573,oral tablet,6
overtrukne tabletter,overtrukne tabletter,coated tablets,313,40175589,buccal tablet,7
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19135866,chewable tablet,7
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19001943,tablet,8
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19010962,vaginal tablet,8
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19135868,caplet,9
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19130329,medicated tape,9
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19082652,oral pellet,9
overtrukne tabletter,overtrukne tabletter,coated tablets,313,19009068,toothpaste,10
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082170,oral solution,0
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082165,nasal solution,3
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082195,otic solution,3
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082283,rectal solution,4
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082228,topical solution,4
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19111276,solution,5
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19095898,inhalant solution,6
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19095975,oral ointment,6
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",oral opløsning,oral solution,312,19082191,oral suspension,6
smeltetabletter,smeltetabletter,orodispersible tablets,299,19135866,chewable tablet,11
smeltetabletter,smeltetabletter,orodispersible tablets,299,19082573,oral tablet,12
smeltetabletter,smeltetabletter,orodispersible tablets,299,19082285,sublingual tablet,13
smeltetabletter,smeltetabletter,orodispersible tablets,299,19010962,vaginal tablet,13
smeltetabletter,smeltetabletter,orodispersible tablets,299,40175589,buccal tablet,14
smeltetabletter,smeltetabletter,orodispersible tablets,299,19082652,oral pellet,14
smeltetabletter,smeltetabletter,orodispersible tablets,299,19111148,oral crystals,15
smeltetabletter,smeltetabletter,orodispersible tablets,299,19082192,orderable drug form,15
smeltetabletter,smeltetabletter,orodispersible tablets,299,19082229,transdermal patch,15
injektionssubstans,injektionssubstans,powder for injection,282,45775491,powder for oral solution,9
injektionssubstans,injektionssubstans,powder for injection,282,19082258,gas for inhalation,10
injektionssubstans,injektionssubstans,powder for injection,282,46234467,pen injector,10
injektionssubstans,injektionssubstans,powder for injection,282,45775488,powder for nasal solution,10
injektionssubstans,injektionssubstans,powder for injection,282,46234469,injection,11
injektionssubstans,injektionssubstans,powder for injection,282,46275062,jet injector,11
injektionssubstans,injektionssubstans,powder for injection,282,45775492,powder for oral suspension,11
injektionssubstans,injektionssubstans,powder for injection,282,46234466,auto-injector,12
injektionssubstans,injektionssubstans,powder for injection,282,19082281,powder spray,12
mikstur,mikstur,mixture,271,19021887,capsule,5
mikstur,mikstur,mixture,271,19018708,elixir,5
mikstur,mikstur,mixture,271,19135843,liquid,5
mikstur,mikstur,mixture,271,19102295,paste,5
mikstur,mikstur,mixture,271,19082653,bar,6
mikstur,mikstur,mixture,271,40228565,oil,6
mikstur,mikstur,mixture,271,19082701,patch,6
mikstur,mikstur,mixture,271,19135790,powder,6
mikstur,mikstur,mixture,271,19082223,syrup,6
suppositorier,suppositorier,suppositories,258,19000942,suppository,3
suppositorier,suppositorier,suppositories,258,19001144,suspension,8
suppositorier,suppositorier,suppositories,258,19126316,oral strip,9
suppositorier,suppositorier,suppositories,258,19102295,paste,9
suppositorier,suppositorier,suppositories,258,19111276,solution,9
suppositorier,suppositorier,suppositories,258,40175589,buccal tablet,10
suppositorier,suppositorier,suppositories,258,19021887,capsule,10
suppositorier,suppositorier,suppositories,258,19011932,lotion,10
suppositorier,suppositorier,suppositories,258,19135790,powder,10
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19129634,ophthalmic solution,2
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19135925,ophthalmic ointment,7
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19095898,inhalant solution,8
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082166,ophthalmic gel,8
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082167,ophthalmic suspension,8
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082195,otic solution,8
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082283,rectal solution,8
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082576,ophthalmic cream,9
"Ã¸jendrÃ¥ber, oplÃ¸sning","øjendråber, opløsning",Ophthalmic Solution,255,19082228,topical solution,9
tyggetabletter,tyggetabletter,chewable,235,19082075,chewable bar,4
tyggetabletter,tyggetabletter,chewable,235,19135868,caplet,5
tyggetabletter,tyggetabletter,chewable,235,19021887,capsule,5
tyggetabletter,tyggetabletter,chewable,235,19110977,cream,5
tyggetabletter,tyggetabletter,chewable,235,19001943,tablet,5
tyggetabletter,tyggetabletter,chewable,235,19082254,beads,6
tyggetabletter,tyggetabletter,chewable,235,19082627,enema,6
tyggetabletter,tyggetabletter,chewable,235,19112544,gel,6
tyggetabletter,tyggetabletter,chewable,235,19102295,paste,6
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,45775491,powder for oral solution,15
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,45775488,powder for nasal solution,16
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,45775492,powder for oral suspension,16
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,19016586,irrigation solution,21
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,19082258,gas for inhalation,22
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,45775489,granules for oral solution,22
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,19082170,oral solution,22
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,46234467,pen injector,22
"pulver til injektionsvÃ¦ske, oplÃ¸sning","pulver til injektionsvæske, opløsning",powder for solution for injection,210,45775490,granules for oral suspension,23
depotkapsler,depotkapsler,release capsules,198,19082168,oral capsule,7
depotkapsler,depotkapsler,release capsules,198,19021887,capsule,9
depotkapsler,depotkapsler,release capsules,198,19082651,oral granules,10
depotkapsler,depotkapsler,release capsules,198,19082198,rectal powder,10
depotkapsler,depotkapsler,release capsules,198,19082652,oral pellet,11
depotkapsler,depotkapsler,release capsules,198,19082573,oral tablet,11
depotkapsler,depotkapsler,release capsules,198,19082197,rectal cream,11
depotkapsler,depotkapsler,release capsules,198,19095917,rectal gel,11
depotkapsler,depotkapsler,release capsules,198,19082199,rectal spray,11
gel,gel,gel,187,19112544,gel,0
gel,gel,gel,187,40228366,gas,2
gel,gel,gel,187,40228565,oil,2
gel,gel,gel,187,19082653,bar,3
gel,gel,gel,187,19082254,beads,4
gel,gel,gel,187,19110977,cream,4
gel,gel,gel,187,19082630,disk,4
gel,gel,gel,187,19082627,enema,4
gel,gel,gel,187,19082102,foam,4
oral suspension,oral suspension,oral suspension,177,19082191,oral suspension,0
oral suspension,oral suspension,oral suspension,177,19095977,nasal suspension,3
oral suspension,oral suspension,oral suspension,177,19082196,otic suspension,3
oral suspension,oral suspension,oral suspension,177,19082221,rectal suspension,4
oral suspension,oral suspension,oral suspension,177,46234410,topical suspension,4
oral suspension,oral suspension,oral suspension,177,19001144,suspension,5
oral suspension,oral suspension,oral suspension,177,19082170,oral solution,6
oral suspension,oral suspension,oral suspension,177,19082167,ophthalmic suspension,7
oral suspension,oral suspension,oral suspension,177,19082101,oral flakes,8
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082254,beads,6
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082223,syrup,6
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19057400,bar soap,7
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19018708,elixir,7
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082627,enema,7
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082102,foam,8
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19011932,lotion,8
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082169,oral cream,8
Ã¸jendrÃ¥ber,øjendråber,eye drops,170,19082193,otic cream,8
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,45775491,powder for oral solution,14
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,45775492,powder for oral suspension,14
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,45775488,powder for nasal solution,15
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,19016586,irrigation solution,20
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,45775489,granules for oral solution,21
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,45775490,granules for oral suspension,21
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,19082170,oral solution,21
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,19082105,intraperitoneal solution,22
"pulver til infusionsvÃ¦ske, oplÃ¸sning","pulver til infusionsvæske, opløsning",powder for solution for infusion,155,19082191,oral suspension,22
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19021887,capsule,7
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19135868,caplet,8
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19057400,bar soap,10
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19082163,nasal gel,10
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19011167,nasal spray,10
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19001943,tablet,10
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19000942,suppository,11
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19001144,suspension,11
"kapsler, blÃ¸de","kapsler, bløde","capsules, soft",154,19010879,vaginal foam,11
brusetabletter,brusetabletter,effervescent tablets,148,44817840,effervescent oral tablet,6
brusetabletter,brusetabletter,effervescent tablets,148,19135866,chewable tablet,11
