Drugid,Navn,,Lægemiddelform,Styrketekst,AktiveSubstanser,MftIndehaver,ATC-kode,Godkendt procedure,Godkendt rolle,Registreringsdato,Er i Medicinpriser,,Sidst opdateret: 15-03-2016
28103888106,Abilify,,"injektionsvæske, opløsning","7,5 mg/ml",Aripiprazol,Otsuka Pharmaceuticals Europe,N05AX12,Central,MOD,04-10-2006,Ja,,
28103765004,Abilify,,oral opløsning,1 mg/ml,Aripiprazol,Otsuka Pharmaceuticals Europe,N05AX12,Central,MOD,28-10-2005,Ja,,
28103686004,Abilify,,smeltetabletter,10 mg,Aripiprazol,Otsuka Pharmaceuticals Europe,N05AX12,Central,MOD,20-06-2005,Ja,,
28103686104,Abilify,,smeltetabletter,15 mg,Aripiprazol,Otsuka Pharmaceuticals Europe,N05AX12,Central,MOD,20-06-2005,Ja,,
28103686204,Abilify,,smeltetabletter,30 mg,Aripiprazol,Otsuka Pharmaceuticals Europe,N05AX12,Central,MOD,20-06-2005,Nej,,
28103334201,Abilify,,tabletter,10 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,04-06-2004,Ja,,
28103334301,Abilify,,tabletter,15 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,04-06-2004,Ja,,
28103334401,Abilify,,tabletter,30 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,04-06-2004,Ja,,
28103532903,Abilify,,tabletter,5 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,04-06-2004,Ja,,
28105583915,Abilify Maintena,,"injektionsvæske, suspension, fyldt injektionssprøjte",300 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,26-03-2015,Nej,,
28105229112,Abilify Maintena,,"pulver og solvens til depotinjektionsvæske, suspension",300 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,15-11-2013,Nej,,
28105229212,Abilify Maintena,,"pulver og solvens til depotinjektionsvæske, suspension",400 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,15-11-2013,Ja,,
28105584015,Abilify Maintena,,"pulver og solvens til depotinjektionsvæske, suspension i fyldt injektionssprøjte",400 mg,Aripiprazol,Otsuka Pharmaceutical Europe Ltd,N05AX12,Central,MOD,26-03-2015,Ja,,
28104011606,Abraxane,,"pulver til infusionsvæske, suspension",5 mg/ml,PACLITAXEL,Celgene Europe Ltd,L01CD01,Central,MOD,11-01-2008,Ja,,
28103922006,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","10000 IU/1,0 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921306,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","1000 IU/0,5 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28104646710,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","20000 IU / 0,5 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921406,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","2000 IU/1,0 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28104646810,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","30000 IU / 0,75 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921506,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","3000 IU/0,3 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28104646910,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","40000 IU / 1,0 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921606,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","4000 IU/0,4 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921706,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","5000 IU/0,5 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28104214907,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","7000 IU/0,7 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921906,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","8000 IU/0,8 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28104215007,Abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","9000 IU/0,9 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103921806,abseamed,,"injektionsvæske, opløsning, fyldt injektionssprøjte","6000 IU/0,6 ml",EPOETIN ALFA,MEDICE Arzneimittel,B03XA01,Central,MOD,15-06-2012,Nej,,
28103981706,Abstral,,"resoribletter, sublinguale",100 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28105729616,Abstral,,"resoribletter, sublinguale",100 mikrogram,FENTANYLCITRAT,Paranova Danmark A/S,N02AB03,Par-Imp,DKMA,09-03-2016,Nej,,
28103981806,Abstral,,"resoribletter, sublinguale",200 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28105729716,Abstral,,"resoribletter, sublinguale",200 mikrogram,FENTANYLCITRAT,Paranova Danmark A/S,N02AB03,Par-Imp,DKMA,09-03-2016,Nej,,
28103981906,Abstral,,"resoribletter, sublinguale",300 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28103982006,Abstral,,"resoribletter, sublinguale",400 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28103982106,Abstral,,"resoribletter, sublinguale",600 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28103982206,Abstral,,"resoribletter, sublinguale",800 mikrogram,FENTANYLCITRAT,ProStrakan Ltd,N02AB03,Decentral procedure,CMS,21-11-2008,Ja,,
28105502414,Acarizax,,frysetørret tablet,12 SQ-HDM,"Dermatophagoides farinae, Dermatophagoides pteronyssinus",ALK-Abello A/S,V01AA03,Decentral procedure,CMS,23-09-2015,Ja,,
28105408914,Accofil,,"injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte","30 ME/0,5ml",FILGRASTIM,Accord Healthcare Limited,L03AA02,Central,MOD,18-09-2014,Nej,,
28105409014,Accofil,,"injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte","48 ME/0,5ml",FILGRASTIM,Accord Healthcare Limited,L03AA02,Central,MOD,18-09-2014,Nej,,
28101342988,Accupro,,filmovertrukne tabletter,20 mg,QUINAPRILHYDROCHLORID,Pfizer ApS,C09AA06,National,DKMA,28-02-1990,Ja,,
28101384689,Accupro,,filmovertrukne tabletter,5 mg,QUINAPRILHYDROCHLORID,Pfizer ApS,C09AA06,National,DKMA,28-02-1990,Ja,,
28101342888,Accupro,,tabletter,10 mg,QUINAPRILHYDROCHLORID,Pfizer ApS,C09AA06,National,DKMA,28-02-1990,Ja,,
28103846605,Accusol 35,,"hæmodiafiltreringsvæske, opløsning",,"CALCIUMCHLORIDDIHYDRAT, MAGNESIUMCHLORIDHEXAHYDRAT, NATRIUMCHLORID, NATRIUMHYDROGENCARBONAT",Baxter A/S,B05ZB,MRP,CMS,08-03-2006,Ja,,
28103846705,Accusol 35 Kalium 2 mmol/l,,"hæmodiafiltreringsvæske, opløsning",2 mmol/l,"CALCIUMCHLORIDDIHYDRAT, Glucose, vandfri, GLUCOSEMONOHYDRAT, KALIUMCHLORID, MAGNESIUMCHLORIDHEXAHYDRAT, NATRIUMCHLORID, NATRIUMHYDROGENCARBONAT",Baxter A/S,B05ZB,MRP,CMS,08-03-2006,Ja,,
28103846805,Accusol 35 Kalium 4 mmol/l,,"hæmodiafiltreringsvæske, opløsning",4 mmol/l,"CALCIUMCHLORIDDIHYDRAT, Glucose, vandfri, GLUCOSEMONOHYDRAT, KALIUMCHLORID, MAGNESIUMCHLORIDHEXAHYDRAT, NATRIUMCHLORID, NATRIUMHYDROGENCARBONAT",Baxter A/S,B05ZB,MRP,CMS,08-03-2006,Ja,,
28103153100,Accutin,,"kapsler, bløde",10 mg,Isotretinoin,Sandoz A/S,D10BA01,National,DKMA,02-07-2001,Ja,,
28103153200,Accutin,,"kapsler, bløde",20 mg,Isotretinoin,Sandoz A/S,D10BA01,National,DKMA,02-07-2001,Ja,,
28100859185,"Acetylcystein ""SAD""",,"koncentrat til infusionsvæske, opløsning",200 G/L,ACETYLCYSTEIN,Amgros I/S,V03AB23,National,DKMA,02-02-1987,Nej,,
28103002898,Aciclodan,,creme,50 mg/g,ACICLOVIR,PharmaCoDane ApS,D06BB03,MRP,CMS,16-03-2000,Ja,,
28101863196,Aciclodan,,tabletter,200 mg,ACICLOVIR,PharmaCoDane ApS,J05AB01,MRP,CMS,17-11-1997,Ja,,
28101863296,Aciclodan,,tabletter,400 mg,ACICLOVIR,PharmaCoDane ApS,J05AB01,MRP,CMS,17-11-1997,Ja,,
28101863396,Aciclodan,,tabletter,800 mg,ACICLOVIR,PharmaCoDane ApS,J05AB01,MRP,CMS,17-11-1997,Ja,,
28103529203,"Aciclovir ""1A Farma""",,tabletter,200 mg,ACICLOVIR,1A Farma A/S,J05AB01,National,DKMA,29-07-2005,Ja,,
28103529303,"Aciclovir ""1A Farma""",,tabletter,400 mg,ACICLOVIR,1A Farma A/S,J05AB01,National,DKMA,29-07-2005,Ja,,
28103529403,"Aciclovir ""1A Farma""",,tabletter,800 mg,ACICLOVIR,1A Farma A/S,J05AB01,National,DKMA,29-07-2005,Ja,,
28104607109,"Aciclovir ""2care4""",,tabletter,200 mg,ACICLOVIR,2care4 ApS,J05AB01,Par-Imp,DKMA,29-01-2010,Ja,,
28104607209,"Aciclovir ""2care4""",,tabletter,400 mg,ACICLOVIR,2care4 ApS,J05AB01,Par-Imp,DKMA,29-01-2010,Ja,,
28104607309,"Aciclovir ""2care4""",,tabletter,800 mg,ACICLOVIR,2care4 ApS,J05AB01,Par-Imp,DKMA,29-01-2010,Ja,,
28101859396,"Aciclovir ""Actavis""",,tabletter,200 mg,ACICLOVIR,Actavis Group hf.,J05AB01,National,DKMA,26-01-1998,Ja,,
28101859496,"Aciclovir ""Actavis""",,tabletter,400 mg,ACICLOVIR,Actavis Group hf.,J05AB01,National,DKMA,26-01-1998,Ja,,
28101859596,"Aciclovir ""Actavis""",,tabletter,800 mg,ACICLOVIR,Actavis Group hf.,J05AB01,National,DKMA,26-01-1998,Ja,,
28105477314,"Aciclovir ""Alternova""",,tabletter,200 mg,ACICLOVIR,Alternova A/S,J05AB01,National,DKMA,13-01-2016,Nej,,
28105369214,"Aciclovir ""Copharma""",,tabletter,400 mg,ACICLOVIR,COPHARMA ApS,J05AB01,Par-Imp,DKMA,04-03-2014,Ja,,
28105369314,"Aciclovir ""Copharma""",,tabletter,800 mg,ACICLOVIR,COPHARMA ApS,J05AB01,Par-Imp,DKMA,04-03-2014,Ja,,
28103032498,"Aciclovir ""Hospira""",,"koncentrat til infusionsvæske, opløsning",25 mg/ml,ACICLOVIR,Hospira UK Limited,J05AB01,MRP,CMS,16-02-1999,Ja,,
28105026712,"Aciclovir ""Mylan""",,"pulver til infusionsvæske, opløsning",25 mg/ml,ACICLOVIRNATRIUM,Mylan Hospital AS,J05AB01,Decentral procedure,CMS,29-01-2014,Nej,,
28105508914,"Aciclovir ""Orifarm""",,tabletter,200 mg,ACICLOVIR,Orifarm Generics A/S,J05AB01,Par-Imp,DKMA,22-01-2015,Ja,,
28105236813,"Aciclovir ""Orifarm""",,tabletter,400 mg,ACICLOVIR,Orifarm Generics A/S,J05AB01,Par-Imp,DKMA,17-09-2013,Ja,,
28105236913,"Aciclovir ""Orifarm""",,tabletter,800 mg,ACICLOVIR,Orifarm Generics A/S,J05AB01,Par-Imp,DKMA,17-09-2013,Ja,,
28103872905,Acikure,,filmovertrukne tabletter,150 mg,RANITIDINHYDROCHLORID,Orifarm Generics A/S,A02BA02,National,DKMA,22-06-2007,Ja,,
28103873005,Acikure,,filmovertrukne tabletter,300 mg,RANITIDINHYDROCHLORID,Orifarm Generics A/S,A02BA02,National,DKMA,22-06-2007,Ja,,
28103030998,Acivir,,creme,50 mg/g,ACICLOVIR,PharmaCoDane ApS,D06BB03,MRP,CMS,30-12-1999,Ja,,
28103672604,Aclasta,,"infusionsvæske, opløsning",5 mg/100 ml,"ZOLEDRONSYRE, MONOHYDRAT",Novartis Pharmaceuticals,M05BA08,Central,MOD,15-04-2005,Ja,,
28104895411,Acnatac,,gel,"10 mg/g+0,25 mg/g","CLINDAMYCINPHOSPHAT, Tretinoin",Meda AS,D10AF51,Decentral procedure,CMS,16-04-2013,Ja,,
28105147912,Acnenor,,"kapsler, bløde",10 mg,Isotretinoin,Actavis Group PTC ehf.,D10BA01,Decentral procedure,RMS,07-10-2013,Nej,,
28105148012,Acnenor,,"kapsler, bløde",20 mg,Isotretinoin,Actavis Group PTC ehf.,D10BA01,Decentral procedure,RMS,07-10-2013,Nej,,
28104448908,Actamone,,filmovertrukne tabletter,10 mg,MONTELUKASTNATRIUM,Actavis Group PTC ehf.,R03DC03,Decentral procedure,RMS,10-06-2010,Nej,,
28104447408,Actamone,,tyggetabletter,4 mg,MONTELUKASTNATRIUM,Actavis Group PTC ehf.,R03DC03,Decentral procedure,RMS,10-06-2010,Nej,,
28104447508,Actamone,,tyggetabletter,5 mg,MONTELUKASTNATRIUM,Actavis Group PTC ehf.,R03DC03,Decentral procedure,RMS,10-06-2010,Nej,,
28101457491,Act-hib,,"pulver og solvens til injektionsvæske, opløsning",,Haemophilus influenza type b polysaccharid,Sanofi Pasteur MSD Belgium,J07AG01,National,DKMA,25-06-1992,Ja,,
28104227807,Acticam,,"injektionsvæske, opløsning",5 mg/ml,MELOXICAM,Ecuphar NV,QM01AC06,Central,MOD,09-12-2008,Nej,,
28104227707,Acticam,,oral suspension,"1,5 mg/ml",MELOXICAM,Ecuphar NV,QM01AC06,Central,MOD,09-12-2008,Nej,,
28105006111,Actikerall,,kutanopløsning,5 mg/g+100 mg/g,"FLUORURACIL, SALICYLSYRE",Almirall Hermal GmbH,L01BC52,Decentral procedure,CMS,30-01-2013,Ja,,
28103282401,Actilax,,"orale dråber, opløsning","7,5 mg/ml",NATRIUMPICOSULFAT,Meda AS,A06AB08,National,DKMA,19-11-2001,Ja,,
28101415990,Actilyse,,"pulver og solvens til injektions- og infusionsvæske, opløsning",,ALTEPLASE,Boehringer Ingelheim Int. GmbH,B01AD02,MRP,CMS,08-01-1991,Ja,,
28105244613,Actilyse,,"pulver og solvens til injektions- og infusionsvæske, opløsning",,ALTEPLASE,Orifarm A/S,B01AD02,Par-Imp,DKMA,10-01-2014,Nej,,
28105568315,Actiproplex,,"pulver og solvens til infusionsvæske, opløsning",25 IE/ml,Koagulationsfaktor VIII inhibitor passerende aktivitet,Baxalta Innovations GmbH,B02BD03,MRP,CMS,26-08-2015,Nej,,
28105568415,Actiproplex,,"pulver og solvens til infusionsvæske, opløsning",50 IE/ml,Koagulationsfaktor VIII inhibitor passerende aktivitet,Baxalta Innovations GmbH,B02BD03,MRP,CMS,26-08-2015,Nej,,
28103232101,Actiq,,sugetabletter,1200 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103232201,Actiq,,sugetabletter,1600 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103231701,Actiq,,sugetabletter,200 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103231801,Actiq,,sugetabletter,400 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103231901,Actiq,,sugetabletter,600 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103232001,Actiq,,sugetabletter,800 mikrogram,FENTANYLCITRAT,Teva Pharma B.V.,N02AB03,MRP,CMS,23-10-2001,Ja,,
28103009598,Activelle,,filmovertrukne tabletter,"0,5 + 1 mg","ESTRADIOL, NORETHISTERONACETAT",Novo Nordisk A/S,G03FA01,MRP,CMS,21-07-1998,Ja,,
28104202307,Activelle low,,filmovertrukne tabletter,"0,5+0,1 mg","ESTRADIOLHEMIHYDRAT, NORETHISTERONACETAT",Novo Nordisk A/S,G03FA01,MRP,CMS,07-04-2008,Nej,,
28104858010,Activyl Tick Plus,,"spot-on, opløsning",150 mg/ml,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,09-01-2011,Nej,,
28105153012,Activyl Tick Plus til ekstra store hunde,,"spot-on, opløsning",900 mg + 2880 mg,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,14-09-2012,Nej,,
28105152812,Activyl Tick Plus til mellemstore hunde,,"spot-on, opløsning",300 mg + 960 mg,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,14-09-2012,Nej,,
28105152612,Activyl Tick Plus til miniaturehunde,,"spot-on, opløsning",75 mg + 240 mg,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,14-09-2012,Nej,,
28105152712,Activyl Tick Plus til små hunde,,"spot-on, opløsning",150 mg + 480 mg,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,14-09-2012,Nej,,
28105152912,Activyl Tick Plus til store hunde,,"spot-on, opløsning",600 mg + 1920 mg,"Indoxacarb, PERMETHRIN",Intervet International B.V.,QP53AX27,Central,MOD,14-09-2012,Nej,,
28105059412,Activyl til ekstra storehunde,,"spot-on, opløsning",900 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28105059212,Activyl til mellemstore hunde,,"spot-on, opløsning",300 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28104618409,Activyl til miniaturehunde,,"spot-on, opløsning",100 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28105059112,Activyl til små hunde,,"spot-on, opløsning",150 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28105059512,Activyl til små katte,,"spot-on, opløsning",100 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28105059312,Activyl til store hunde,,"spot-on, opløsning",600 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28105059612,Activyl til store katte,,"spot-on, opløsning",200 mg,Indoxacarb,Intervet International B.V.,QP53AX27,Central,MOD,18-02-2011,Ja,,
28103052198,Actos,,tabletter,15 mg,PIOGLITAZONHYDROCHLORID,Takeda Pharma A/S,A10BG03,Central,MOD,13-10-2000,Ja,,
28103089399,Actos,,tabletter,30 mg,PIOGLITAZONHYDROCHLORID,Takeda Pharma A/S,A10BG03,Central,MOD,13-10-2000,Ja,,
28103461102,Actos,,tabletter,45 mg,PIOGLITAZONHYDROCHLORID,Takeda Pharma A/S,A10BG03,Central,MOD,16-09-2003,Nej,,
28103269101,Actraphane 10 NovoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269201,Actraphane 20 NovoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103268501,Actraphane 30,,"injektionsvæske, suspension",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103268401,Actraphane 30,,"injektionsvæske, suspension",40 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269701,Actraphane 30 FlexPen,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269601,Actraphane 30 InnoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269301,Actraphane 30 NovoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103268801,Actraphane 30 Penfill,,"injektionsvæske, suspension, flerdosispen",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269401,Actraphane 40 NovoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103268901,Actraphane 40 Penfill,,"injektionsvæske, suspension, flerdosispen",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269501,Actraphane 50 NovoLet,,"injektionsvæske, suspension, fyldt injektionssprøjte",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28103269001,Actraphane 50 Penfill,,"injektionsvæske, suspension, flerdosispen",100 IU/ml,"INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA)",Novo Nordisk A/S,A10AD01,Central,RAP,07-10-2002,Nej,,
28101140183,Actrapid,,"injektionsvæske, opløsning",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,MRP,RMS,14-02-1985,Nej,,
28101094081,Actrapid,,"injektionsvæske, opløsning",40 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,MRP,RMS,25-08-1982,Nej,,
28103253301,Actrapid,,"injektionsvæske, opløsning, hætteglas",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Ja,,
28103253201,Actrapid,,"injektionsvæske, opløsning, hætteglas",40 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Nej,,
28103204000,Actrapid FlexPen,,"injektionsvæske, opløsning, fyldt pen",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,MRP,RMS,12-09-2001,Nej,,
28103253701,Actrapid FlexPen,,"injektionsvæske, opløsning, fyldt pen",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Nej,,
28103111399,Actrapid InnoLet,,"injektionsvæske, opløsning",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,MRP,RMS,20-01-2000,Nej,,
28103253601,Actrapid InnoLet,,"injektionsvæske, opløsning, fyldt pen",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Nej,,
28103253501,Actrapid Novolet,,"injektionsvæske, opløsning, fyldt pen",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Nej,,
28101178984,Actrapid Penfill,,"injektionsvæske, opløsning",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,MRP,RMS,14-02-1985,Nej,,
28103253401,Actrapid Penfill,,"injektionsvæske, opløsning, cylinderampul",100 IE/ml,"Insulin, humant (rDNA)",Novo Nordisk A/S,A10AB01,Central,RAP,07-10-2002,Ja,,
28101575493,Acular,,"øjendråber, opløsning",5 mg/ml,Ketorolactrometamol,Allergan Pharmaceuticals Ireland,S01BC05,National,DKMA,26-02-1996,Ja,,
28104878111,Acular,,"øjendråber, opløsning",5 mg/ml,Ketorolactrometamol,EuroPharma.DK ApS,S01BC05,Par-Imp,DKMA,16-06-2011,Ja,,
28104998811,Acular,,"øjendråber, opløsning",5 mg/ml,Ketorolactrometamol,2care4 ApS,S01BC05,Par-Imp,DKMA,15-05-2012,Ja,,
