dosf_lt,frequency,dosf_lt_en,RXNorm ID,RXNorm term,Other options,Remarks
drageer,47,dragees,19082573,Oral Tablet,Tablet,
"pulver og solvens til infusionsvÌ_ske, oplÌüsning",45,powder and solvent for solution for infusion,19135790,Powder,,
nÌ_sespray,45,nasal spray,19011167,nasal spray,,
injektions-/infusionsvÌ_ske,45,injection / infusion,46234469,Injection,,
premix,44,premix,,,not possible to map ,
"orale drÌ´ber, oplÌüsning",44,oral solution,19082170,oral solution,,
"depotinjektionsvÌ_ske, pulver og solvens til suspension",43,depot injection powder and solvent for suspension,19135790,Powder,,
pulver,42,powder,19135790,powder,,
lancet,41,lancet,,,,
pulver til oral suspension,40,powder for oral suspension,,,,
medicinsk gas,40,medical gas,,,,
implantat,39,implant,,,,
"lyofilisat og solvens til injektionsvÌ_ske, suspension",38,lyophilisate and solvent for suspension for injection,,,,
shampoo,38,shampoo,,,,
Ìüjensalve,38,eye ointment,,,,
vagitorier,37,pessaries,,,,
"pulver, oplÌüseligt",37,"powders, soluble",,,,
solvens til parenteral anvendelse,37,solvent for parenteral use,,,,
"injektionsvÌ_ske, suspension, fyldt injektionssprÌüjte",36,"suspension for injection, pre-filled syringe",,,,
"peritonealdialysevÌ_ske, to-kammer system",35,"peritoneal dialysis, two-chamber system",,,,
intramammÌ_r salve,34,intramammary ointment,,,,
oplÌüsning til priktest,33,solution for skin prick test,,,,
"pour-on, oplÌüsning",33,pour-on solution,,,,
intrauterint pessar,33,intrauterine pessary,,,,
pudder,33,powder,,,,
oplÌüsning til desinfektion,33,solution for disinfection,,,,
granulat til oral suspension,33,granules for oral suspension,,,,
"pulver og solvens til injektionsvÌ_ske, oplÌüsning, fyldt injektionssprÌüjte",32,"powder and solvent for solution for injection, pre-filled syringe",,,,
resoribletter,31,tablets,,,,
"injektions-/infusionsvÌ_ske, emulsion",29,injection / infusion emulsion,,,,
"inhalationspulver, hÌ´rd kapsel",29,"inhalation powder, hard capsule",,,,
"nÌ_sedrÌ´ber, oplÌüsning",28,"nasal drops, solution",,,,
"rektalvÌ_ske, oplÌüsning",27,rectal solution,,,,
"pulver og solvens til injektions- og infusionsvÌ_ske, oplÌüsning",27,powder and solvent for solution for injection or infusion,,,,
injektionssubstans med albumin-diluent,27,powder for injection with the albumin diluent,,,,
premix til foderlÌ_gemiddel,27,premix for medicated feed,,,,
granulat til mikstur,26,granules for oral,,,,
vÌ_ske til inhalationsdamp,26,liquid Inhalation,,,,
saft,26,juice,,,,
"inhalationsspray, oplÌüsning",26,inhalation solution,,,,
oplÌüsning til priktest (Soluprick-SQ),25,solution for skin prick test (Soluprick-SQ),,,,
frysetÌürret tablet,25,freeze-dried tablet,,,,
injektionssubstans med glycerol-diluent,25,powder for injection with glycerol diluent,,,,
vaginaltabletter,24,vaginal tablets,,,,
"pulver og solvens til depotinjektionsvÌ_ske, suspension",24,powder and solvent for prolonged release suspension for injection,,,,
lyofilisat til suspension,23,lyophilisate for suspension,,,,
"injektionsvÌ_ske, oplÌüsning, cylinderampul",23,"injection, cartridge",,,,
vaginalcreme,23,vaginal cream,,,,
konc.t.inf.vÌ_sk.opl.,22,konc.t.inf.vÌ_sk.opl.,,,,
"inhalationsvÌ_ske til nebulisator, oplÌüsning",22,nebuliser solution,,,,
"injektionsvÌ_ske, suspension, fyldt pen",22,"suspension for injection, pre-filled pen",,,,
oplÌüsning til blodstabilisering,21,solution to the stabilization of blood,,,,
"depotinjektionsvÌ_ske, suspension",21,prolonged release suspension for injection,,,,
depottabletter (duretter),21,release tablets (duretter),,,,
ÌüredrÌ´ber,21,ear drops,,,,
nÌ_sedrÌ´ber,21,nasal drops,,,,
injektions- og infusionssubstans,20,injection and infusionssubstans,,,,
oral gel,20,oral gel,,,,
"kutanspray, oplÌüsning",20,"cutaneous spray, solution",,,,
"rektalvÌ_ske, oplÌüsning, enkeltdosisbeholder",20,rectal solution in single-dose container,,,,
spot-on,19,spot-on,,,,
pasta,19,assert,,,,
syrup,18,syrup,,,,
kutanemulsion,18,kutanemulsion,,,,
"uteritorier, tabletter",17,"uteritorier, tablets",,,,
"injektionsvÌ_ske/konc. til infusionsvÌ_ske, oplÌüsning",17,injection / conc. for solution for infusion,,,,
injektionssubstans med depot-diluent,17,powder for injection of depot-diluent,,,,
afdelte granulater,17,divisional granules,,,,
fedtcreme,17,fat cream,,,,
granulat til oral oplÌüsning,17,granules for oral solution,,,,
injektionssubstans og solvens,16,powder for injection and solvent,,,,
"pulver til injektionsvÌ_ske, suspension",16,powder for suspension for injection,,,,
oplÌüsnings- og fortyndingsvÌ_ske,16,solvents and diluent,,,,
medicinsk plaster,16,medicated plaster,,,,
"medicinsk gas, flydende",16,"medical gas, liquid",,,,
"pulver, vandoplÌüseligt",16,"powder, water-soluble",,,,
"pulver til oral oplÌüsning, enkeltdosisbeholder",16,"powder for oral solution, single dose container",,,,
intramammarier,16,intra mammary arteries,,,,
vÌ_vsklÌ_ber,15,tissue adhesive,,,,
hÌ_modialysekoncentrat,15,hÌ_modialysekoncentrat,,,,
Ìüjengel,15,eye gel,,,,
"pulver til koncentrat til injektions- og infusionsvÌ_ske, oplÌüsning",15,powder for concentrate for solution for infusion,,,,
imprÌ_gneret gaze,15,impregnated gauze,,,,
kontinuert intraruminalt indlÌ_g,15,continuous intraruminal posts,,,,
injektionssubstans + injektionsvÌ_ske (vaccine),15,powder for injection + injection (vaccine),,,,
pulver til mikstur,14,powder for oral,,,,
"inhalationsvÌ_ske til nebulisator, suspension",14,nebuliser suspension,,,,
uretralstift,14,uretralstift,,,,
"ÌüredrÌ´ber, suspension",13,ear drops suspension,,,,
infusionsvÌ_ske i viaflexbeholder,13,infusion in viaflexbeholder,,,,
bolus,13,bolus,,,,
"inhalationsvÌ_ske til nebulisator, oplÌüsning, enkeltdosisbeholder",13,"nebuliser solution, single-dose container",,,,
"rektalvÌ_ske, suspension, enkeltdosisbeholder",12,"rectal suspension, single-dose container",,,,
periodevis intraruminalt indlÌ_g,12,periodically intraruminal posts,,,,
injektionsvÌ_ske olieoplÌüsning,12,injection oil solution,,,,
"pulver, uoplÌüseligt",11,"powder, insoluble",,,,
intrauterint indlÌ_g,11,IUS,,,,
"pulver og solvens til injektionsvÌ_ske, suspension, fyldt injektionssprÌüjte",11,"powder and solvent for suspension for injection, pre-filled syringe",,,,
"pulver til oral suspension, enkeltdosisbeholder",11,"powder for oral suspension, single-dose container",,,,
koncentrat til kutanoplÌüsning,11,concentrate for cutaneous solution,,,,
"injektions-/infusionsvÌ_ske, oplÌüsning, flerdosisbeholder",11,"injection / infusion, multidose container",,,,
pulver til injektionsvÌ_ske,11,powder for injection,,,,
medicinsk neglelak,11,medical nail polish,,,,
vaginalindlÌ_g,11,vaginal delivery,,,,
granulat til anvendelse i drikkevand,11,granules for use in drinking water,,,,
rektalskum,10,rectal,,,,
oplÌüsning til intraokulÌ_r anvendelse,10,solution for intraocular use,,,,
intramammÌ_r emulsion,10,intramammary emulsion,,,,
"kutanspray, suspension",10,"cutaneous spray, suspension",,,,
vaginalgel,10,vaginal,,,,
nÌ_sepudder,10,nasal powder,,,,
uretral gel,10,urethral gel,,,,
bukkaltabletter,10,buccal tablets,,,,
"medicinsk gas, kryogen",10,"medical gas, cryogenic",,,,
mundskyllevÌ_ske,9,Mouthwash,,,,
hÌ_mofiltreringsvÌ_ske,9,haemofiltration,,,,
injektionssubstans (aquagen-sq),9,powder for injection (Aquagen-sq),,,,
"mundhulespray, oplÌüsning",9,oromucosal spray solution,,,,
pulver til brug i drikkevand eller spray,9,powder for use in drinking water or spray,,,,
pulver til koncentrat til infusionsvÌ_ske,9,powder for concentrate for solution for infusion,,,,
piller,9,pills,,,,
nÌ_seaerosol,9,nÌ_seaerosol,,,,
solubletter,9,solubletter,,,,
gazebind,8,roll bandages,,,,
"koncentrat og solvens til infusionsvÌ_ske, oplÌüsning",8,concentrate and solvent for solution for infusion,,,,
"injektionsvÌ_ske, oplÌüsning, flerdosispen",8,"solution for injection, multidose",,,,
pulver til anvendelse i drikkevand,8,powder for use in drinking water,,,,
intraruminalt indlÌ_g,8,intraruminal posts,,,,
Ìüjen- og ÌüredrÌ´ber,8,eye and ear drops,,,,
pulver til brug i drikkevand (vaccine),8,powder for use in drinking water (vaccine),,,,
sprit,8,alcohol,,,,
injektionsprÌ_parat,8,injection preparation,,,,
"inhalationsvÌ_ske, oplÌüsning",8,inhalation solution,,,,
rektalcreme,8,rektalcreme,,,,
"injektionsvÌ_ske, suspension, cylinderampul",8,"suspension for injection, cartridge",,,,
enterogranulat,8,enteric,,,,
"pulver til implantation, suspension",8,powder for suspension for implantation,,,,
bukkalfilm,8,bukkalfilm,,,,
"granulat til orale drÌ´ber, oplÌüsning",8,granules for oral solution,,,,
"pulver til oral suspension/rektalvÌ_ske, suspension",8,powder for oral suspension / rectal suspension,,,,
"hÌ_mofiltreringsvÌ_ske, hÌ_modialysevÌ_ske til kontinuerlig hÌ_modialyse",8,"haemofiltration, hemodialysis for continuous hemodialysis",,,,
plaster til provokationstest,7,patch for provocation test,,,,
gelatinesvamp,7,gelatin sponge,,,,
dentalsuspension,7,dental suspension,,,,
rektalsalve,7,Rectal,,,,
sublingualspray,7,sublingual,,,,
"ÌüredrÌ´ber, suspension og kutansuspension",7,ear drops suspension and kutansuspension,,,,
kutanpasta,7,kutanpasta,,,,
knoglecement,7,bone cement,,,,
dentalgel,7,dental gel,,,,
"pulver og solvens til koncentrat til infusionsvÌ_ske, oplÌüsning",7,powder and solvent for concentrate for solution for infusion,,,,
"injektionsvÌ_ske, suspension, hÌ_tteglas",7,"suspension for injection, vials",,,,
kÌ_de til implantation,7,chain for implantation,,,,
oplÌüsning til pensling,7,solution for brushing,,,,
"injektionsvÌ_ske, oplÌüsning, enkeltdosisbeholder, i.v.",7,"solution for injection, single dose container, i.v.",,,,
oplÌüsning til anvendelse i drikkevand,6,solution for use in drinking water,,,,
"injektionsvÌ_ske, suspension, i.m.",6,"suspension for injection, IM",,,,
"mikstur, suspension",6,oral suspension,,,,
"mikstur, enkeltdosisbeholder",6,oral single-dose container,,,,
"endotracheopulmonal instillationsvÌ_ske, suspension",6,"endotracheopulmonal instillation, suspension",,,,
VÌ_vsklÌ_bermatrix,6,VÌ_vsklÌ_bermatrix,,,,
brusegranulat,6,effervescent granules,,,,
depotÌüjendrÌ´ber,6,prolonged-release eye-drops,,,,
oral emulsion,6,oral emulsion,,,,
inhalationsdamp,6,Inhalation,,,,
kutanspray,6,cutaneous spray,,,,
"koncentrat til injektions- og infusionsvÌ_ske, oplÌüsning",6,concentrate for solution for infusion,,,,
"Ìüjengel, enkeltdosisbeholder",6,"eye gel, single-dose container",,,,
"injektionsvÌ_ske, oplÌüsning, i.v.",6,"injection, i.v.",,,,
stift,6,pin,,,,
oral suspension til brug i drikkevand,6,oral suspension for use in drinking water,,,,
infusions-injektionssÌ_t,6,infusion venipuncture,,,,
"ÌüjendrÌ´ber, enkeltdosisbeholder",6,"eye drops, single-dose container",,,,
vaginaltabletter og creme,6,vaginal tablets and cream,,,,
gel til overfladeanalgesi,6,gel for overfladeanalgesi,,,,
oral suspension til brug i drikkevand og koncentrat til spray suspension,6,oral suspension for use in drinking water and concentrate for spray suspension,,,,
infusionsvÌ_ske i excel,6,infusion in excel,,,,
kutan vÌ_ske,6,cutaneous liquid,,,,
Ìüjenbadevand,5,collyrium,,,,
kutanskum,5,kutanskum,,,,
rektalvÌ_ske,5,rectal,,,,
"koncentrat til injektionsvÌ_ske, oplÌüsning",5,concentrate for solution for injection,,,,
"oralt pulver, enkeltdosisbeholder",5,"oral powder, single-dose container",,,,
"depotgranulat til oral suspension, enkeltdosisbeholder",5,"prolonged-release granules for oral suspension, single-dose container",,,,
"pulver og solvens til injektionsvÌ_ske, oplÌüsning i fyldt pen",5,powder and solvent for solution for injection in pre-filled pen,,,,
koncentrat til oral oplÌüsning til brug i drikkevand,5,concentrate for oral solution for use in drinking water,,,,
"injektionsvÌ_ske, oplÌüsning, enkeltdosisbeholder",5,"solution for injection, single dose container",,,,
Ìüjenlamel,5,Ìüjenlamel,,,,
"ÌüredrÌ´ber, oplÌüsning",5,"ear drops, solution",,,,
"lyofilisat og solvens til injektionsvÌ_ske, oplÌüsning, cylinderampul",5,"Lyophilisate and solvent for solution for injection, cartridge",,,,
filmovertrukne depottabletter,5,film-coated extended release tablets,,,,
oral oplÌüsning til brug i drikkevand,5,oral solution for use in drinking water,,,,
"inhalationsspray, emulsion",5,Inhaler Emulsion,,,,
"depotgranulat, enkeltdosisbeholder",5,"prolonged-release granules, single-dose container",,,,
medicinsk svamp,5,medical sponge,,,,
intramammÌ_r oplÌüsning,5,intramammary solution,,,,
"mundhulevÌ_ske, oplÌüsning",4,oromucosal solution,,,,
enterogranulat til oral suspension,4,gastro-resistant granules for oral suspension,,,,
pour-on,4,pour-on,,,,
injektionssubstans (vaccine),4,powder for injection (vaccine),,,,
"injektionsvÌ_ske, oplÌüsning, hÌ_tteglas",4,"solution for injection, vials",,,,
depotbolus,4,depotbolus,,,,
uteritorier,4,uteritorier,,,,
sterilt vand,4,sterile water,,,,
mundhulegel,4,mundhulegel,,,,
"injektionsvÌ_ske, suspension, enkeltdosisbeholder",4,"suspension for injection, single dose container",,,,
"pulver til oplÌüsning, vaccine",4,"powder for solution, Vaccine",,,,
"injektionsvÌ_ske, i.m.",4,injection i.m.,,,,
suspension,4,suspension,,,,
enterodepottabletter,4,enterodepottabletter,,,,
inhalator,4,inhalator,,,,
"oral suspension og rektalvÌ_ske, suspension",4,"rectal and oral suspension, suspension",,,,
"koncentrat og solvens til injektionsvÌ_ske, oplÌüsning",4,concentrate and solvent for solution for injection,,,,
kutansuspension,4,kutansuspension,,,,
gel til desinfektion,4,gel for disinfection,,,,
"pulver til injektionsvÌ_ske, oplÌüsning/suspension",4,powder for solution for injection / suspension,,,,
"kutanspray, pulver",4,"cutaneous spray, powder",,,,
nÌ_sesalve,4,nasal ointment,,,,
depotresoribletter,4,depotresoribletter,,,,
halsbÌ´nd,4,collars,,,,
vaginalkapsler,4,vaginalkapsler,,,,
injektionsvÌ_ske (serum),4,injection (serum),,,,
"rektalvÌ_ske, suspension",4,rectal suspension,,,,
"vaginalkapsler, blÌüde",4,"vaginalkapsler, soft",,,,
"nÌ_sedrÌ´ber, suspension",4,"nose drops, suspension",,,,
spot-on oplÌüsning,4,spot-on solution,,,,
"pulver og solvens til nÌ_sedrÌ´ber, suspension",4,"powder and solvent for nose drops, suspension",,,,
"pulver, enkeltdosisbeholder",4,"powder, single-dose container",,,,
injektionssubstans + solvens,4,powder for injection + solvent,,,,
"pulver og solvens til ÌüjendrÌ´ber, oplÌüsning",4,powder and solvent for eye drops solution,,,,
koncentrat til oral oplÌüsning,4,Oral Concentrate,,,,
depotgranulat,4,depot granulate,,,,
lyofilisat og solvens til oral suspension,3,lyophilisate and solvent for oral suspension,,,,
koncentrat til vaccination,3,concentrate for vaccination,,,,
lyofilisat til anvendelse i drikkevand,3,lyophilisate for use in drinking water,,,,
pulver til blÌ_reskyllevÌ_ske,3,powder bladder irrigation fluid,,,,
anÌ_stesivÌ_ske,3,anesthesia fluid,,,,
"lyofilisat og solvens til injektionsvÌ_ske, oplÌüsning",3,Lyophilisate and solvent for solution for injection,,,,
diverse former,3,various forms,,,,
"injektions-/infusions-/rektalvÌ_ske, oplÌüsning",3,injection / infusion / rectal solution,,,,
koncentrat,3,concentrate,,,,
pulver til koncentrat og oplÌüsningsvÌ_ske til infusionsvÌ_ske,3,powder for concentrate and diluent for solution for infusion,,,,
"pulver til oral oplÌüsning, breve",3,"powder for oral solution, letters",,,,
"pulver til rektalvÌ_ske, suspension",3,Powder for rectal suspension,,,,
pulver til infusionsvÌ_ske,3,powder for infusion,,,,
tandpasta,3,toothpaste,,,,
enteralgel,3,enteralgel,,,,
"koncentrat og solvens til injektionsvÌ_ske, suspension",3,concentrate and solvent for suspension for injection,,,,
"granulat til oral suspension, enkeltdosisbeholder",3,"granules for oral suspension, single-dose container",,,,
oplÌüsning til anvendelse pÌ´ huden,3,solution for application to the skin,,,,
hÌ_modialysesubstans,3,hÌ_modialysesubstans,,,,
kapsler med modificeret udlÌüsning,3,modified release capsule,,,,
orale drÌ´ber,3,oral drops,,,,
"injektionsvÌ_ske, oplÌüsning, fyldt injektionssprÌüjte, enkeltdosisbeholder, i.v.",3,"solution for injection, pre-filled syringe, single-dose container, i.v.",,,,
"lyofilisat til injektionsvÌ_ske, suspension",3,lyophilisate for suspension for injection,,,,
"injektionsvÌ_ske, Alutard-sq",3,injection Alutard-sq,,,,
solvens,3,solvency,,,,
"lyofilisat til Ìüjen- og nÌ_sedrÌ´ber, suspension",3,"lyophilisate for eye and nose drops, suspension",,,,
"koncentrat til infusionsvÌ_ske, emulsion",3,concentrate for infusion emulsion,,,,
imprÌ_gneret trÌ´d,3,impregnated thread,,,,
"pulver til infusionsvÌ_ske, suspension",3,powder for suspension for infusion,,,,
"hÌ_modiafiltreringsvÌ_ske, oplÌüsning",3,hÌ_modiafiltreringsvÌ_ske Solution,,,,
intramammarier oliesuspension,3,intra mammary arteries oil suspension,,,,
tÌürstof,3,dry,,,,
Ìüjen- og Ìüresalve,3,eye and Ìüresalve,,,,
pulver til oplÌüsning til nebulisator,3,powder for nebuliser solution,,,,
"infusionsvÌ_ske, hypertonisk",3,"infusion, hypertonic",,,,
koncentrat til kutanvÌ_ske,3,concentrate for kutanvÌ_ske,,,,
pulver til oplÌüsning til kutan og intrakavernal anvendelse,3,powder for solution for cutaneous and intrakavernal use,,,,
oplÌüsning til fortynding,3,solution for dilution,,,,
"granulat, enkeltdosisbeholder",2,"granules, single-dose container",,,,
afdelte enterogranulater,2,divisional gastro-resistant granules,,,,
granulat og solvens til oral suspension,2,granules and solvent for oral suspension,,,,
oplÌüsning til priktest (Soluprick-SQU),2,solution to prick test (Soluprick-SQU),,,,
"Ìüjen- og ÌüredrÌ´ber, suspension",2,"eye and ear drops, suspension",,,,
instillationsvÌ_ske,2,instillation,,,,
pulver til suspension ventrikel,2,powder for suspension ventricle,,,,
oplÌüsning til vaccination,2,solution for vaccination,,,,
pulver og solvens til oral suspension,2,powder and solvent for oral suspension,,,,
pulver til suspension,2,powder for suspension,,,,
pulver og solvens til intravesikal suspension,2,powder and solvent for intravesical suspension,,,,
"ekstrakt, tÌür ublandet",2,"extract, dry unmixed",,,,
"mikstur, sukkerfri",2,"potion, sugarless",,,,
fortyndingsvÌ_ske,2,diluent,,,,
hÌ_modialysekoncentra,2,hÌ_modialysekoncentra,,,,
"koncentrat og solvens til injektionsvÌ_ske, susp.",2,concentrate and solvent for solution for injection susp.,,,,
vandig oplÌüsning,2,aqueous solution,,,,
koncentrat til oral suspension til anvendelse i foder,2,concentrate for oral suspension for use in feed,,,,
"pulver og solvens til injektionsvÌ_ske, emulsion",2,powder and solvent for emulsion for injection,,,,
oplÌüsning til tandkÌüd,2,solution to the gums,,,,
kutanplaster,2,cutaneous,,,,
pulver og gel til gel,2,powder and gel to gel,,,,
pulver til brug i drikkevand,2,powder for use in drinking water,,,,
"vaginalgel, enkeltdosisbeholder",2,"vaginal, single-dose container",,,,
infusions-/injektionssubstans,2,infusion / injection substance,,,,
"implantat, fyldt injektionssprÌüjte",2,implant filled syringe,,,,
"enterodepotgranulat, breve",2,"enterodepotgranulat, letters",,,,
inhalationsgas,2,for inhalation,,,,
"oral suspension, enkeltdosisbeholder",2,"oral suspension, single-dose container",,,,
"instillationsvÌ_ske, suspension",2,"instillation, suspension",,,,
"koncentrat til infusionsvÌ_ske, suspension",2,Concentrate for suspension for infusion,,,,
cigaretter,2,cigarettes,,,,
"injektionsvÌ_ske, suspension, flerdosispen",2,"suspension for injection, multidose",,,,
"ÌüjendrÌ´ber, suspension, enkeltdosisbeholder",2,"eye drops, suspension, single-dose container",,,,
pulver til nasal inhalation (kapsler),2,powder for nasal inhalation (capsules),,,,
injektionssÌ_t,2,venipuncture,,,,
elektuarium,2,electuary,,,,
"pulver til implantation, oplÌüsning",2,powder for implantation solution,,,,
"resoribletter, slimhindeklÌ_bende",2,"tablets, mucoadhesive",,,,
"injektionssubstans, intramuskulÌ_r",2,"powder for injection, intramuscular",,,,
"infusionsvÌ_ske, isotonisk",2,infusion of isotonic,,,,
"granulat, oplÌüseligt",2,"granules, soluble",,,,
tab,2,loss,,,,
"oplÌüsning, vandig",2,"solution, aqueous",,,,
"injektionsvÌ_ske, oplÌüsning, i.m.",2,"solution for injection, IM",,,,
"koncentrat til badevand, suspension",2,"concentrate for bathing, suspension",,,,
tabletter og vaginaltabletter,2,tablets and vaginal tablets,,,,
"salve, steril",2,"ointment, sterile",,,,
oralt pulver i brev,2,oral powder letter,,,,
inhalationsspray,2,inhaler,,,,
pulver til instillationsvÌ_ske,2,powder for instillation fluid,,,,
Ìüregel,1,ear gels,,,,
"injektionsvÌ_ske, vaccine",1,injection vaccine,,,,
"liniment, spritholdig",1,"liniment, ethanol-containing",,,,
intramammÌ_r oliesuspension,1,intramammary oil suspension,,,,
"pulver og solvens til injektionsvÌ_ske, dispergering",1,powder and solvent for solution for injection dispersion,,,,
organopbevaringsvÌ_ske,1,organ preservation fluid,,,,
"oplÌüselige tabletter og pulver til oral oplÌüsning, kombinationspakning",1,"soluble tablets and powder for oral solution, combination pack",,,,
"vaginaltampon, medicinsk",1,"vaginaltampon, medical",,,,
vaginalskyllevÌ_ske,1,vaginalskyllevÌ_ske,,,,
"injektionsvÌ_ske, suspension (frossen)",1,suspension for injection (frozen),,,,
infusionsvÌ_ske (kombipakning),1,infusion (Combo Pack),,,,
