dosf_lt,auh_freq,dosf_lt_manual,dosf_lt_en
"pulver til infusionsvÃ¦ske, suspension",3,"pulver til infusionsvæske, suspension",powder for suspension for infusion
"hÃ¦modiafiltreringsvÃ¦ske, oplÃ¸sning",3,"hæmodiafiltreringsvæske, opløsning",hæmodiafiltreringsvæske Solution
intramammarier oliesuspension,3,intramammarier oliesuspension,intra mammary arteries oil suspension
tÃ¸rstof,3,tørstof,dry
Ã¸jen- og Ã¸resalve,3,øjen- og øresalve,eye and øresalve
pulver til oplÃ¸sning til nebulisator,3,pulver til opløsning til nebulisator,powder for nebuliser solution
"infusionsvÃ¦ske, hypertonisk",3,"infusionsvæske, hypertonisk","infusion, hypertonic"
koncentrat til kutanvÃ¦ske,3,koncentrat til kutanvæske,concentrate for kutanvæske
pulver til oplÃ¸sning til kutan og intrakavernal anvendelse,3,pulver til opløsning til kutan og intrakavernal anvendelse,powder for solution for cutaneous and intrakavernal use
oplÃ¸sning til fortynding,3,opløsning til fortynding,solution for dilution
"granulat, enkeltdosisbeholder",2,"granulat, enkeltdosisbeholder","granules, single-dose container"
afdelte enterogranulater,2,afdelte enterogranulater,divisional gastro-resistant granules
granulat og solvens til oral suspension,2,granulat og solvens til oral suspension,granules and solvent for oral suspension
oplÃ¸sning til priktest (Soluprick-SQU),2,opløsning til priktest (Soluprick-SQU),solution to prick test (Soluprick-SQU)
"Ã¸jen- og Ã¸redrÃ¥ber, suspension",2,"øjen- og øredråber, suspension","eye and ear drops, suspension"
instillationsvÃ¦ske,2,instillationsvæske,instillation
pulver til suspension ventrikel,2,pulver til suspension ventrikel,powder for suspension ventricle
oplÃ¸sning til vaccination,2,opløsning til vaccination,solution for vaccination
pulver og solvens til oral suspension,2,pulver og solvens til oral suspension,powder and solvent for oral suspension
pulver til suspension,2,pulver til suspension,powder for suspension
pulver og solvens til intravesikal suspension,2,pulver og solvens til intravesikal suspension,powder and solvent for intravesical suspension
"ekstrakt, tÃ¸r ublandet",2,"ekstrakt, tør ublandet","extract, dry unmixed"
"mikstur, sukkerfri",2,"mikstur, sukkerfri","potion, sugarless"
fortyndingsvÃ¦ske,2,fortyndingsvæske,diluent
hÃ¦modialysekoncentra,2,hæmodialysekoncentra,hæmodialysekoncentra
"koncentrat og solvens til injektionsvÃ¦ske, susp.",2,"koncentrat og solvens til injektionsvæske, susp.",concentrate and solvent for solution for injection susp.
vandig oplÃ¸sning,2,vandig opløsning,aqueous solution
koncentrat til oral suspension til anvendelse i foder,2,koncentrat til oral suspension til anvendelse i foder,concentrate for oral suspension for use in feed
"pulver og solvens til injektionsvÃ¦ske, emulsion",2,"pulver og solvens til injektionsvæske, emulsion",powder and solvent for emulsion for injection
oplÃ¸sning til tandkÃ¸d,2,opløsning til tandkød,solution to the gums
kutanplaster,2,kutanplaster,cutaneous
pulver og gel til gel,2,pulver og gel til gel,powder and gel to gel
pulver til brug i drikkevand,2,pulver til brug i drikkevand,powder for use in drinking water
"vaginalgel, enkeltdosisbeholder",2,"vaginalgel, enkeltdosisbeholder","vaginal, single-dose container"
infusions-/injektionssubstans,2,infusions-/injektionssubstans,infusion / injection substance
"implantat, fyldt injektionssprÃ¸jte",2,"implantat, fyldt injektionssprøjte",implant filled syringe
"enterodepotgranulat, breve",2,"enterodepotgranulat, breve","enterodepotgranulat, letters"
inhalationsgas,2,inhalationsgas,for inhalation
"oral suspension, enkeltdosisbeholder",2,"oral suspension, enkeltdosisbeholder","oral suspension, single-dose container"
"instillationsvÃ¦ske, suspension",2,"instillationsvæske, suspension","instillation, suspension"
"koncentrat til infusionsvÃ¦ske, suspension",2,"koncentrat til infusionsvæske, suspension",Concentrate for suspension for infusion
cigaretter,2,cigaretter,cigarettes
"injektionsvÃ¦ske, suspension, flerdosispen",2,"injektionsvæske, suspension, flerdosispen","suspension for injection, multidose"
"Ã¸jendrÃ¥ber, suspension, enkeltdosisbeholder",2,"øjendråber, suspension, enkeltdosisbeholder","eye drops, suspension, single-dose container"
pulver til nasal inhalation (kapsler),2,pulver til nasal inhalation (kapsler),powder for nasal inhalation (capsules)
injektionssÃ¦t,2,injektionssæt,venipuncture
elektuarium,2,elektuarium,electuary
"pulver til implantation, oplÃ¸sning",2,"pulver til implantation, opløsning",powder for implantation solution
"resoribletter, slimhindeklÃ¦bende",2,"resoribletter, slimhindeklæbende","tablets, mucoadhesive"
"injektionssubstans, intramuskulÃ¦r",2,"injektionssubstans, intramuskulær","powder for injection, intramuscular"
"infusionsvÃ¦ske, isotonisk",2,"infusionsvæske, isotonisk",infusion of isotonic
"granulat, oplÃ¸seligt",2,"granulat, opløseligt","granules, soluble"
tab,2,tab,loss
"oplÃ¸sning, vandig",2,"opløsning, vandig","solution, aqueous"
"injektionsvÃ¦ske, oplÃ¸sning, i.m.",2,"injektionsvæske, opløsning, i.m.","solution for injection, IM"
"koncentrat til badevand, suspension",2,"koncentrat til badevand, suspension","concentrate for bathing, suspension"
tabletter og vaginaltabletter,2,tabletter og vaginaltabletter,tablets and vaginal tablets
"salve, steril",2,"salve, steril","ointment, sterile"
oralt pulver i brev,2,oralt pulver i brev,oral powder letter
inhalationsspray,2,inhalationsspray,inhaler
pulver til instillationsvÃ¦ske,2,pulver til instillationsvæske,powder for instillation fluid
Ã¸regel,1,øregel,ear gels
"injektionsvÃ¦ske, vaccine",1,"injektionsvæske, vaccine",injection vaccine
"liniment, spritholdig",1,"liniment, spritholdig","liniment, ethanol-containing"
intramammÃ¦r oliesuspension,1,intramammær oliesuspension,intramammary oil suspension
"pulver og solvens til injektionsvÃ¦ske, dispergering",1,"pulver og solvens til injektionsvæske, dispergering",powder and solvent for solution for injection dispersion
organopbevaringsvÃ¦ske,1,organopbevaringsvæske,organ preservation fluid
"oplÃ¸selige tabletter og pulver til oral oplÃ¸sning, kombinationspakning",1,"opløselige tabletter og pulver til oral opløsning, kombinationspakning","soluble tablets and powder for oral solution, combination pack"
"vaginaltampon, medicinsk",1,"vaginaltampon, medicinsk","vaginaltampon, medical"
vaginalskyllevÃ¦ske,1,vaginalskyllevæske,vaginalskyllevæske
"injektionsvÃ¦ske, suspension (frossen)",1,"injektionsvæske, suspension (frossen)",suspension for injection (frozen)
infusionsvÃ¦ske (kombipakning),1,infusionsvæske (kombipakning),infusion (Combo Pack)
infus,1,infus,infus
pasta/cement,1,pasta/cement,pasta / cement
"tabletter til rektalvÃ¦ske, suspension",1,"tabletter til rektalvæske, suspension",tablets for rectal suspension
"lyofilisat og suspension til injektionsvÃ¦ske, suspension",1,"lyofilisat og suspension til injektionsvæske, suspension",Lyophilisate and suspension for suspension for injection
pulver og solvens til oplÃ¸sning til intravesikal anvendelse,1,pulver og solvens til opløsning til intravesikal anvendelse,powder and solvent for solution for intravesical use
tyggegummi,1,tyggegummi,chewing gum
"pulver og solvens til tandkÃ¸dsgel, fyldt injektionssprÃ¸jte",1,"pulver og solvens til tandkødsgel, fyldt injektionssprøjte",powder and solvent for tandkødsgel prefilled syringe
intramammarier i engangssprÃ¸jter,1,intramammarier i engangssprøjter,intra mammary arteries in disposable syringes
vaselin,1,vaselin,Petrolatum
peritonaeldialysevÃ¦ske,1,peritonaeldialysevæske,peritonaeldialysevæske
pulver til Ã¸jendrÃ¥ber,1,pulver til øjendråber,powder for eye drops
"pulver til oplÃ¸sning til intravesikal anvendelse og til injektionsvÃ¦ske, oplÃ¸sning",1,"pulver til opløsning til intravesikal anvendelse og til injektionsvæske, opløsning",powder for solution for intravesical use and for injection
inhalationsvÃ¦ske (endosisbeholder),1,inhalationsvæske (endosisbeholder),inhalation (endosisbeholder)
dentalindlÃ¦g,1,dentalindlæg,dental posts
"suspension og emulsion til injektionsvÃ¦ske, emulsion",1,"suspension og emulsion til injektionsvæske, emulsion",suspension and emulsion for emulsion for injection
oplÃ¸sning til lokal anvendelse (tÃ¸rstof),1,opløsning til lokal anvendelse (tørstof),solution for topical use (dry matter)
gazetamponer,1,gazetamponer,gauze pads
"liniment, viskÃ¸s",1,"liniment, viskøs","liniment, viscous"
"lyofilisat og solvens til injektionsvÃ¦ske, susp.",1,"lyofilisat og solvens til injektionsvæske, susp.",Lyophilisate and solvent for solution for injection susp.
Ã¸jendrÃ¥ber/Ã¸jensalve,1,øjendråber/øjensalve,eye drops / eye ointment
"piller, overtrukne",1,"piller, overtrukne","pills, coated"
"lyofilisat og solvens, suspension til nasal administration",1,"lyofilisat og solvens, suspension til nasal administration",Lyophilisate and solvent for suspension for nasal administration
hÃ¦modialyse-/hÃ¦mofiltreringsvÃ¦ske,1,hæmodialyse-/hæmofiltreringsvæske,hemodialysis / haemofiltration
"pour-on, suspension",1,"pour-on, suspension","pour-on, suspension"
tinktur,1,tinktur,tincture
olie,1,olie,oil
"Ã¸jen- og Ã¸redrÃ¥ber, oplÃ¸sning",1,"øjen- og øredråber, opløsning","eye and ear drops, solution"
koncentrat til infusionsvÃ¦ske,1,koncentrat til infusionsvæske,concentrate for solution for infusion
dentalpasta,1,dentalpasta,dental paste
"gel, brev",1,"gel, brev","gel, letter"
periodontalgel,1,periodontalgel,periodontalgel
Ã¸jen- og nÃ¦sesalve,1,øjen- og næsesalve,Eye and nose ointment
"injektionsvÃ¦ske, oplÃ¸sning, til subkutan injektion",1,"injektionsvæske, opløsning, til subkutan injektion","solution for injection, for subcutaneous injection"
katetercreme,1,katetercreme,catheter cream
badevand,1,badevand,bathing water
"infusionsvÃ¦ske, oplÃ¸sning og oral oplÃ¸sning",1,"infusionsvæske, opløsning og oral opløsning",infusion and oral solution
"injektionssubstans, intravenÃ¸s",1,"injektionssubstans, intravenøs","powder for injection, intravenous"
"endocervikalgel, enkeltdosisbeholder",1,"endocervikalgel, enkeltdosisbeholder","endocervikalgel, single-dose container"
pulver og solvens til oplÃ¸sning til nebulisator,1,pulver og solvens til opløsning til nebulisator,powder and solvent for nebuliser solution
sprayoplÃ¸sning,1,sprayopløsning,spray solution
matrix til implantation,1,matrix til implantation,matrix for implantation
badeadditiv,1,badeadditiv,bath additive
koncentrat til oplÃ¸sning til behandling af fisk,1,koncentrat til opløsning til behandling af fisk,concentrate for solution for the treatment of fish
depotgranulat til oral suspension,1,depotgranulat til oral suspension,prolonged-release granules for oral suspension
pulver til oplÃ¸sning til lokal anvendelse,1,pulver til opløsning til lokal anvendelse,powder for solution for local use
mundhulepasta,1,mundhulepasta,oral cavity pasta
pulver til anvendelse i drikkevand/mÃ¦lk,1,pulver til anvendelse i drikkevand/mælk,powder for use in drinking water / milk
tabletter SR (Sustained Release),1,tabletter SR (Sustained Release),SR tablets (sustained release)
pulver til inhalationsvÃ¦ske,1,pulver til inhalationsvæske,Powder for inhalation
tabletter IR (Immediate Release),1,tabletter IR (Immediate Release),IR tablets (Immediate Release)
"oralt pulver, oplÃ¸seligt",1,"oralt pulver, opløseligt","oral powder, soluble"
injektions- og infusionskoncentrat,1,injektions- og infusionskoncentrat,injection and infusion
oplÃ¸seligt pulver,1,opløseligt pulver,soluble powder
"sÃ¦be, medicinsk",1,"sæbe, medicinsk","soap, medicinal"
sterilt tÃ¸rstof,1,sterilt tørstof,sterile dry
"pulver og suspension til injektionsvÃ¦ske, suspension i fyldt injektionssprÃ¸jte",1,"pulver og suspension til injektionsvæske, suspension i fyldt injektionssprøjte",powder and suspension for suspension for injection in pre-filled syringe
"koncentrat til badevand, suspension og injektionsvÃ¦ske, suspension",1,"koncentrat til badevand, suspension og injektionsvæske, suspension","concentrate for bathing, suspension and suspension for injection"
"lyofilisat til injektionsvÃ¦ske, oplÃ¸sning",1,"lyofilisat til injektionsvæske, opløsning",lyophilisate for solution for injection
"pulver og oplÃ¸sning til injektionsvÃ¦ske, oplÃ¸sning",1,"pulver og opløsning til injektionsvæske, opløsning",powder and solvent for solution for injection
stave,1,stave,spell
lotion,1,lotion,lotion
fedtsalve,1,fedtsalve,fat ointment
injektionsvÃ¦ske til primÃ¦r vaccination,1,injektionsvæske til primær vaccination,injections for primary vaccination
"solvens til parenteral anvendelse/injektionsvÃ¦ske, oplÃ¸sning",1,"solvens til parenteral anvendelse/injektionsvæske, opløsning",solvent for parenteral use / injection
koncentrat til liniment,1,koncentrat til liniment,concentrate for liniment
pulver til vaskbehandling,1,pulver til vaskbehandling,powder for washing treatment
"Ã¸jendrÃ¥ber, ukons.",1,"øjendråber, ukons.","eye drops, ukons."
transdermalt system,1,transdermalt system,transdermal system
salvekompres,1,salvekompres,salvekompres
radiofarmaceutisk prÃ¦parationssÃ¦t til infusion,1,radiofarmaceutisk præparationssæt til infusion,radiopharmaceutical preparations for infusion
"orale drÃ¥ber, emulsion",1,"orale dråber, emulsion","oral drops, emulsion"
oral suspension i brev,1,oral suspension i brev,oral suspension in letter
tandproteselak,1,tandproteselak,denture lacquer
pasta til rÃ¸ntgenundersÃ¸gelse,1,pasta til røntgenundersøgelse,pasta radiography
"injektionsvÃ¦ske, oplÃ¸sning, nÃ¥lefri injektor",1,"injektionsvæske, opløsning, nålefri injektor","injection, needle-free injector"
"peritonealdialysevÃ¦ske, oplÃ¸sning",1,"peritonealdialysevæske, opløsning",peritoneal dialysis solution
"koncentrat og solvens til koncentrat til infusionsvÃ¦ske, oplÃ¸sning",1,"koncentrat og solvens til koncentrat til infusionsvæske, opløsning",concentrate and solvent for concentrate for solution for infusion
